match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_fouls,stat_totalOffside,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed
12763940,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15470,M,MMaignan,191210,EUR,804729600,G,16,16,False,31.0,26.0,8.0,3.0,0.0,26.0,28.0,3.0,1.0,2.0,6.0,1.0,1.0,3.0,5.0,1.0,51.0,43.0,7.7,5.0,8.035e-05,0,0.0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763940,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2434,M,,318607,EUR,849830400,D,2,2,False,32.0,29.0,,,0.0,21.0,22.0,12.0,1.0,3.0,2.0,,,,,,70.0,50.0,5.8,6.0,0.0167433,0,,True,8.0,2.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12763940,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7149,M,fikayotomori,788255,EUR,882489600,D,23,23,False,55.0,45.0,7.0,2.0,0.0,38.0,44.0,11.0,3.0,2.0,4.0,,,,,,84.0,63.0,6.5,10.0,0.00691042,0,,,7.0,,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12763940,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194,8736,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,68.0,56.0,8.0,1.0,0.0,50.0,57.0,12.0,2.0,3.0,3.0,,,,,,90.0,78.0,6.2,13.0,0.0257969,0,,,7.0,1.0,,,3.0,2.0,1.0,,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12763940,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26472,M,TheoHdez,788027,EUR,876096000,D,19,19,False,34.0,27.0,3.0,,0.0,18.0,22.0,16.0,4.0,1.0,7.0,3.0,,,,,90.0,63.0,6.3,13.0,0.145031,1,,,10.0,4.0,,,2.0,1.0,1.0,,,1.0,,3.0,1.0,,1.0,1.0,2.0,0.0136,,,,,,,,,,,,,,
12763940,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6195,M,YFofana19_,945062,EUR,915926400,M,29,29,False,52.0,44.0,2.0,2.0,0.0,26.0,29.0,23.0,6.0,1.0,7.0,1.0,,,,,90.0,63.0,6.3,12.0,0.0160055,0,,,18.0,,,2.0,8.0,3.0,1.0,1.0,,,1.0,1.0,3.0,1.0,,,,,3.0,,,,,,,,,,,,,
12763940,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7204,M,rlc,284441,EUR,822355200,M,8,8,False,20.0,17.0,,,0.0,12.0,14.0,6.0,3.0,1.0,,,,,,,69.0,28.0,6.5,6.0,0.00520807,0,,,5.0,,1.0,,1.0,,1.0,,,,,,2.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,
12763940,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37634,M,CMPulisic,817957,EUR,906076800,M,11,11,False,37.0,29.0,4.0,4.0,0.0,11.0,15.0,25.0,3.0,,2.0,1.0,,,,,90.0,49.0,7.5,13.0,0.13964,1,,,20.0,3.0,,,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,,3.0,0.0349,1.0,1.0,1.0,1.0,1.0,0.3932,,,,,,,,
12763940,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38547,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,29.0,28.0,1.0,1.0,0.0,19.0,20.0,9.0,1.0,,5.0,,,,,,90.0,40.0,6.5,5.0,0.0135454,3,,,9.0,,,,3.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,0.2158,1.0,,,,,,2.0,,,,,,,
12763940,home,Milan,Rafael Leão,rafael-leao,R. Leão,M,10,188,75257,M,RLeão,851284,EUR,928972800,M,10,10,False,23.0,16.0,1.0,1.0,0.0,6.0,9.0,16.0,6.0,,1.0,,,,,,90.0,39.0,6.8,15.0,0.0181233,1,,,10.0,2.0,1.0,1.0,6.0,,6.0,2.0,1.0,,,,,,,,2.0,0.0721,2.0,5.0,1.0,,,0.226,,,,1.0,,,,
