match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_duelLost,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_wonContest,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceMissed,stat_penaltyConceded,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork,stat_penaltyWon,stat_onTargetScoringAttempt,stat_ownGoals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_penaltyMiss
14572699,away,Nottingham Forest,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175.0,11812,M,867887,EUR,894672000,M,12,12,False,27.0,25.0,2.0,1.0,0.0,16.0,16.0,11.0,,5.0,,,,,,,,68.0,33.0,6.9,2.0,0.0886043,63.712673235292,9.0,0.73499999999999,10.71,,0,,0.17,0.03,-0.03,,9.0,1.0,6.0,,,1.0,3.0,1.0,3.0,2.0,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,Douglas_Luiz,,,,,,,
14572699,away,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190.0,884,M,846252,EUR,880070400,M,22,22,False,40.0,37.0,2.0,,0.0,21.0,23.0,17.0,2.0,7.0,,,,,,,,83.0,51.0,5.6,6.0,0.0062436,52.706808166579,7.0,-4.515,7.14,,3,,0.03,0.01,-0.58,,16.0,,1.0,,,1.0,1.0,1.0,5.0,4.0,,,,,,,,,2.0,,,,,,1.0,2.0,0.3102,-0.2,,,True,,,,,1.0,1.0,,,
14572699,away,Nottingham Forest,Dilane Bakwa,dilane-bakwa,D. Bakwa,M,29,179.0,2057,M,963298,EUR,1030320000,M,29,29,False,13.0,11.0,,,0.0,3.0,4.0,9.0,,1.0,,,,,,,,75.0,30.0,6.3,9.0,0.00855444,103.86066344494,12.0,38.64,22.47,,1,,-0.05,0.1,-0.16,,8.0,,3.0,,,2.0,1.0,1.0,5.0,1.0,,,,3.0,,2.0,2.0,,2.0,22.472572171427,1.0,1.0,,2.0,,,0.0435,-0.1,,,,1.0,,,,,,1.0,,
14572699,away,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171.0,6989,M,865912,EUR,948931200,F,10,10,False,32.0,22.0,5.0,3.0,0.0,10.0,11.0,21.0,1.0,4.0,,,,,,,,90.0,47.0,6.1,13.0,0.0270249,93.666334309499,11.0,23.31,21.105,,4,,-0.03,0.29,-0.01,,12.0,1.0,5.0,,,,,,8.0,2.0,,,6.0,,,,2.0,,2.0,42.662525655155,2.0,,2.0,2.0,1.0,1.0,1.1155,-0.85,2.0,,,,Morgangibbs27,,,3.0,,,1.616,1.0
14572699,away,Nottingham Forest,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184.0,4722,M,944327,EUR,972432000,F,14,14,False,15.0,12.0,,,0.0,5.0,5.0,10.0,,2.0,,,,,,,,90.0,26.0,6.2,8.0,0.0230961,48.020734148972,5.0,0.73499999999999,6.195,,1,,0.0,0.02,0.13,,7.0,,3.0,,,,3.0,2.0,5.0,1.0,,,1.0,,,,2.0,,1.0,,,1.0,,,2.0,,0.2302,-0.55,1.0,,,,,,,1.0,,,0.3631,
14572699,away,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177.0,9203,M,867442,EUR,973555200,F,7,7,True,11.0,11.0,1.0,1.0,0.0,2.0,2.0,9.0,1.0,1.0,,,,,,,,22.0,18.0,7.0,2.0,0.0336324,63.863450181656,7.0,37.065,12.6,,0,,0.08,0.09,0.2,,9.0,,3.0,,,,1.0,,1.0,,,,,2.0,1.0,,1.0,,,28.282403719049,2.0,1.0,1.0,1.0,1.0,,,,,,,,Calteck10,,,,,,,
14572699,away,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179.0,7782,M,994546,EUR,1036540800,M,8,8,True,27.0,23.0,3.0,3.0,0.0,4.0,7.0,20.0,,2.0,,,,,,,,26.0,33.0,6.6,7.0,0.0327215,45.514013931849,7.0,5.67,5.985,,1,,0.1,0.05,-0.01,,19.0,,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,1.0,1.0,0.0535,-0.11,,,,,,,,,,,,
14572699,away,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183.0,3207,M,927356,EUR,987120000,D,3,3,True,14.0,12.0,1.0,,0.0,7.0,8.0,6.0,,,,,,,,,,21.0,23.0,6.6,4.0,0.0445838,62.98678881204,8.0,37.065,11.865,,0,,0.16,0.0,-0.07,,5.0,,1.0,,,,,,3.0,1.0,,,1.0,3.0,2.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179.0,3185,M,871765,EUR,898992000,M,16,16,True,7.0,6.0,1.0,,0.0,4.0,4.0,3.0,,1.0,,,,,,,,15.0,8.0,6.4,2.0,0.00101469,18.941808987613,2.0,4.305,4.515,,0,,-0.04,0.01,0.0,,2.0,,,,,,,,3.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191.0,10122,M,843754,EUR,881020800,M,6,6,True,5.0,4.0,1.0,,0.0,,,5.0,,1.0,,,,,,,,15.0,7.0,6.5,2.0,0.00332124,16.226067002221,3.0,11.655,6.93,,0,,-0.01,0.02,0.13,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,ibrahim_sangare,,,,,,,
14572699,away,Nottingham Forest,Keehan Willows,keehan-willows,K. Willows,G,67,,59,M,1412863,EUR,1128124800,G,67,67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Keehan Willows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Angus Gunn,angus-gunn,A. Gunn,G,18,196.0,547,M,227946,EUR,822268800,G,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Zach Abbott,abbott-zach,Z. Abbott,D,44,180.0,493,M,1390490,EUR,1147478400,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Ben Hammond,ben-hammond,B. Hammond,D,28,180.0,39,M,1394815,EUR,1088640000,D,64,64,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Ben Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Jack Thompson,jack-thompson,J. Thompson,D,26,181.0,24,M,1398203,EUR,1115251200,D,58,58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Jimmy Sinclair,jimmy-sinclair,J. Sinclair,M,7,177.0,64,M,1400429,EUR,1155254400,M,61,61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572699,away,Nottingham Forest,Archie Whitehall,archie-whitehall,A. Whitehall,M,10,,39,M,1566888,EUR,1148169600,M,51,51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Archie Whitehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
