match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,stat_blockedScoringAttempt,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_hitWoodwork,stat_goals,stat_totalOffside,player_sofascoreId,stat_clearanceOffLine
12765204,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189,145,M,909953,EUR,990576000,G,21,21,False,31.0,10.0,29.0,8.0,0.0,3.0,9.0,7.0,22.0,1.0,9.0,1.0,3.0,3.0,1.0,1.0,90.0,36.0,6.7,21.0,0.0032465,0,0.2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765204,home,Cercle Brugge,Edgaras Utkus,edgaras-utkus,E. Utkus,D,3,190,321,M,921180,EUR,961632000,D,3,3,False,22.0,12.0,3.0,,0.0,3.0,5.0,9.0,17.0,5.0,4.0,,,,,,61.0,36.0,7.0,11.0,0.0218529,0,,,,4.0,2.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12765204,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187,209,M,1191212,EUR,1027987200,D,66,66,False,25.0,15.0,7.0,2.0,0.0,10.0,12.0,5.0,13.0,9.0,2.0,,,,,,90.0,43.0,7.1,12.0,0.00813186,0,,,,1.0,4.0,3.0,6.0,,1.0,2.0,,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
12765204,home,Cercle Brugge,Senna Miangue,senna-miangue,S. Miangue,D,18,195,115,M,827573,EUR,855100800,D,18,18,False,32.0,21.0,8.0,3.0,0.0,15.0,19.0,6.0,13.0,14.0,4.0,,,,,,90.0,53.0,6.8,13.0,0.00380917,0,,Senna,Miangue,2.0,2.0,4.0,3.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
12765204,home,Cercle Brugge,Thibo Somers,somers-thibo,T. Somers,F,24,183,225,M,1002804,EUR,921542400,M,34,34,False,33.0,18.0,2.0,,0.0,6.0,11.0,12.0,22.0,5.0,4.0,,,,,,90.0,60.0,6.6,19.0,0.0686768,4,,,,2.0,1.0,3.0,4.0,,1.0,1.0,,,,,,3.0,2.0,True,1.0,1.0,3.0,1.0,0.5526,0.3963,,,,,,,,,,
12765204,home,Cercle Brugge,Abu Francis,francis-abu,A. Francis,M,17,182,1501,M,988801,EUR,988329600,M,17,17,False,34.0,28.0,,,0.0,8.0,8.0,20.0,26.0,,4.0,,,,,,81.0,43.0,7.0,6.0,0.0316106,2,,,,1.0,,3.0,5.0,,,,1.0,2.0,1.0,,,3.0,1.0,,1.0,,1.0,,0.0346,,1.0,1.0,,,,,,,,
12765204,home,Cercle Brugge,Nils De Wilde,de-wilde-nils,N. D. Wilde,M,27,182,75,M,1101701,EUR,1043625600,M,27,27,False,30.0,19.0,8.0,2.0,0.0,4.0,9.0,15.0,21.0,5.0,4.0,,,,,,70.0,38.0,6.6,12.0,0.0471547,1,,,,4.0,1.0,6.0,1.0,,,,,2.0,1.0,,,,,,,,1.0,,0.0178,,,,1.0,,,,,,,
12765204,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173,154,M,990265,EUR,939686400,M,15,15,False,29.0,15.0,8.0,1.0,1.0,3.0,3.0,17.0,35.0,4.0,4.0,,,,,,90.0,60.0,7.8,23.0,0.398105,2,,,,1.0,4.0,8.0,8.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,,2.0,2.0,,4.0,,1.0,,0.0614,,1.0,1.0,1.0,9.0,5.0,1.0,,,,
12765204,home,Cercle Brugge,Alan Minda,minda-alan,A. Minda,F,27,171,2591,M,1122552,EUR,1052870400,F,11,11,False,13.0,12.0,2.0,2.0,0.0,4.0,4.0,8.0,10.0,,2.0,,,,,,62.0,27.0,6.7,9.0,0.0282354,2,,,,,1.0,1.0,2.0,,,6.0,,,,,,,,,1.0,1.0,,2.0,0.2429,0.5258,1.0,,1.0,1.0,,,,,,
12765204,home,Cercle Brugge,Felipe Augusto,felipe-augusto,F. Augusto,F,99,187,1396,M,1106681,EUR,1077062400,F,10,10,False,6.0,2.0,,,0.0,,,2.0,7.0,,1.0,,,,,,62.0,15.0,6.3,8.0,0.0025001,2,,Felipe Augusto,,2.0,2.0,3.0,2.0,,,2.0,,,,,,,,,1.0,1.0,,1.0,0.4814,0.269,,1.0,,1.0,,,,,,
