match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_goalAssist,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_bigChanceCreated,stat_wonTackle,stat_bigChanceMissed,stat_wasFouled,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_lastManTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_clearanceOffLine
11598405,home,Liverpool,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9884,M,caoimhinkelleher98,827362,EUR,911779200,G,62,62,False,29.0,24.0,10.0,5.0,23.0,25.0,1.0,4.0,4.0,1.0,90.0,35.0,6.6,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Curtis Jones,,,curtis-jones,C. Jones,M,17,185,17589,M,curtisjones,927353,EUR,980812800,D,17,17,False,56.0,54.0,2.0,,28.0,28.0,28.0,32.0,7.0,,79.0,77.0,6.8,10.0,1,True,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Ibrahima Konaté,,,ibrahima-konate,I. Konaté,D,5,195,27486,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,65.0,62.0,4.0,2.0,42.0,42.0,20.0,23.0,3.0,,90.0,70.0,6.6,3.0,1,,,,,3.0,,,,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10330,M,jarellquansah,1003339,EUR,1043798400,D,78,78,False,89.0,81.0,6.0,2.0,64.0,66.0,17.0,23.0,4.0,,90.0,104.0,7.4,9.0,1,,,,,2.0,1.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11598405,home,Liverpool,Konstantinos Tsimikas,,,konstantinos-tsimikas,K. Tsimikas,D,12,178,16094,M,TK21,786259,EUR,831859200,D,21,21,False,49.0,46.0,6.0,4.0,25.0,25.0,24.0,36.0,7.0,,89.0,79.0,7.2,16.0,2,,12.0,3.0,,6.0,2.0,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,,,3.0,1.0,,1.0,2.0,,,,,,,,,,
11598405,home,Liverpool,Harvey Elliott,,,harvey-elliott,H. Elliott,M,9,170,20968,M,harvelliott,955245,EUR,1049414400,M,19,19,False,63.0,53.0,6.0,3.0,15.0,19.0,39.0,47.0,11.0,,90.0,81.0,7.4,16.0,5,,3.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,
11598405,home,Liverpool,Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19826,M,endowataru,143040,EUR,729216000,M,3,3,False,53.0,47.0,5.0,5.0,17.0,20.0,30.0,34.0,13.0,,90.0,67.0,7.7,10.0,1,,1.0,,3.0,7.0,6.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,
11598405,home,Liverpool,Ryan Gravenberch,,,ryan-gravenberch,R. Gravenberch,M,38,190,31041,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,25.0,21.0,,,6.0,6.0,16.0,21.0,4.0,,65.0,34.0,7.1,7.0,0,,2.0,1.0,,4.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,
11598405,home,Liverpool,Ben Gannon-Doak,Ben Doak,,ben-doak,B. Doak,M,11,174,6772,M,bendoak._,1154861,EUR,1131667200,F,50,50,False,23.0,22.0,,,2.0,2.0,20.0,22.0,,,65.0,40.0,6.4,7.0,3,,1.0,,,5.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,
11598405,home,Liverpool,Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193,51063,M,CodyGakpo,862967,EUR,926035200,F,18,18,False,29.0,21.0,1.0,1.0,3.0,4.0,18.0,25.0,7.0,,90.0,57.0,8.2,16.0,7,,,,,7.0,9.0,2.0,2.0,1.0,3.0,,,4.0,5.0,3.0,,1.0,1.0,,,3.0,,,3.0,2.0,4.0,,1.0,1.0,,,,,
11598405,home,Liverpool,Diogo Jota,,,diogo-jota,D. Jota,F,,178,30963,M,DiogoJ18,606164,EUR,849657600,F,20,20,False,24.0,18.0,,,2.0,3.0,17.0,22.0,4.0,,90.0,51.0,8.1,14.0,4,,1.0,1.0,2.0,5.0,10.0,1.0,6.0,5.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,,,1.0,2.0,,,,1.0,2.0,,,1.0,,,,,
11598405,home,Liverpool,Dominik Szoboszlai,,,dominik-szoboszlai,D. Szoboszlai,M,8,187,77108,M,DomSzobo,869856,EUR,972432000,M,8,8,True,10.0,6.0,,,3.0,4.0,3.0,6.0,2.0,,25.0,17.0,7.3,6.0,2,,,,,1.0,,,,,,,2.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,
11598405,home,Liverpool,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,70302,M,Darwin,924871,EUR,930182400,F,9,9,True,5.0,3.0,,,1.0,1.0,2.0,4.0,3.0,,25.0,15.0,6.8,7.0,2,,,,1.0,4.0,2.0,2.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Stefan Bajčetić,,,stefan-bajcetic,S. Bajčetić,M,43,185,10263,M,stefanbajcetic,1142636,EUR,1098403200,M,43,43,True,6.0,5.0,1.0,1.0,3.0,4.0,2.0,3.0,,,11.0,12.0,7.0,3.0,0,,1.0,,1.0,,3.0,,,,,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,
11598405,home,Liverpool,Luke Chambers,,,luke-chambers,L. Chambers,D,19,181,656,M,,1134530,EUR,1088035200,D,44,44,True,,,,,,,,,,,1.0,3.0,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Adrián,,,adrian,Adrián,G,13,190,2122,M,,50539,EUR,536630400,G,13,13,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,97860,M,VvD,151545,EUR,678931200,D,4,4,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Joël Matip,,,joel-matip,J. Matip,D,,195,3344,M,joelmatip,51501,EUR,681609600,D,32,32,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598405,home,Liverpool,Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,71143,M,Macca10,895324,EUR,914457600,M,10,10,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
