match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_keyPass,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_accurateCross,stat_dispossessed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11368749,home,Villarreal,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190.0,13907,M,filipjorgensen1,962053,EUR,1018915200,G,13,13,False,39.0,27.0,18.0,6.0,25.0,30.0,2.0,9.0,1.0,1.0,1.0,8.0,1.0,90.0,47.0,6.3,12.0,0.00152751,0,-0.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368749,home,Villarreal,Kiko Femenía,kiko-femenia,K. Femenía,D,17,176.0,444,M,,53739,EUR,665452800,D,17,17,False,58.0,42.0,9.0,3.0,26.0,30.0,16.0,30.0,2.0,6.0,3.0,11.0,,90.0,81.0,7.1,19.0,0.0184001,0,,,,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368749,home,Villarreal,Raúl Albiol,raul-albiol,R. Albiol,D,39,190.0,1235,M,,3041,EUR,494640000,D,3,3,False,58.0,49.0,12.0,5.0,46.0,48.0,3.0,10.0,3.0,3.0,1.0,9.0,,90.0,65.0,7.5,10.0,0.00288671,1,,,,,3.0,3.0,,,,2.0,,1.0,True,1.0,1.0,1.0,1.0,0.0191,,,,,,,,,,,,,,,,
11368749,home,Villarreal,Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188.0,3155,M,,1014835,EUR,988761600,D,2,2,False,59.0,48.0,7.0,2.0,42.0,47.0,6.0,12.0,1.0,4.0,5.0,6.0,,90.0,72.0,6.7,11.0,0.00382371,0,,,,,2.0,2.0,,,,,1.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,
11368749,home,Villarreal,Alberto Moreno,alberto-moreno,A. Moreno,D,18,171.0,850,M,,229740,EUR,710294400,D,18,18,False,32.0,24.0,5.0,2.0,11.0,15.0,13.0,18.0,1.0,3.0,1.0,2.0,,72.0,47.0,7.4,12.0,0.0216722,3,,,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,0.2382,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,0.5662,,,,,,,
11368749,home,Villarreal,Ilias Akhomach,ilias-akhomach,I. Akhomach,M,12,175.0,15826,M,iliasakhomach,1089108,EUR,1082073600,M,27,27,False,10.0,8.0,,,2.0,2.0,6.0,9.0,1.0,4.0,,1.0,,60.0,29.0,6.5,9.0,0.0622898,3,,,,1.0,1.0,6.0,,4.0,1.0,,1.0,1.0,,,2.0,,2.0,0.1153,,2.0,,1.0,,,2.0,,,,,,,,,
11368749,home,Villarreal,Santi Comesaña,santi-comesana,S. Comesaña,M,14,187.0,1066,M,,843678,EUR,844473600,M,4,4,False,46.0,37.0,6.0,1.0,22.0,24.0,15.0,22.0,4.0,10.0,1.0,5.0,,71.0,63.0,6.9,9.0,0.047071,2,,,,,1.0,2.0,,,,,3.0,,,,,,1.0,0.2754,1.0,3.0,,1.0,1.0,,,,0.7254,1.0,,,,,,
11368749,home,Villarreal,Francis Coquelin,francis-coquelin,F. Coquelin,M,13,178.0,472,M,,40672,EUR,674092800,M,19,19,False,29.0,25.0,3.0,2.0,17.0,19.0,8.0,10.0,2.0,4.0,2.0,6.0,,71.0,41.0,6.8,6.0,0.00713111,0,,,,,,3.0,,2.0,1.0,,,,,,,,2.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,
11368749,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,10,174.0,9564,M,alexbaena,910031,EUR,995587200,M,16,16,False,32.0,20.0,2.0,,5.0,6.0,17.0,33.0,1.0,7.0,,2.0,,84.0,63.0,7.6,27.0,0.176304,4,,,,7.0,,6.0,1.0,1.0,1.0,1.0,4.0,4.0,,,2.0,,2.0,0.1646,1.0,1.0,1.0,,2.0,,3.0,,0.5836,,2.0,3.0,,,,
11368749,home,Villarreal,Gerard Moreno,gerard-moreno,G. Moreno,F,7,180.0,4001,M,GerardMoreno9,146866,EUR,702604800,F,7,7,False,25.0,16.0,2.0,1.0,6.0,7.0,10.0,18.0,1.0,3.0,1.0,3.0,,90.0,44.0,7.1,17.0,0.163011,2,,,,,4.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,,,1.0,,2.0,0.0554,,,,1.0,,,5.0,3.0,,,,2.0,,,,
11368749,home,Villarreal,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179.0,3550,M,,280979,EUR,849225600,F,9,9,False,36.0,29.0,3.0,3.0,8.0,8.0,21.0,29.0,,1.0,,1.0,,90.0,48.0,7.4,10.0,0.114819,3,,,,1.0,2.0,2.0,,,,,1.0,4.0,,,2.0,,,0.1128,,,,,1.0,,2.0,1.0,0.2155,,,,,,,
11368749,home,Villarreal,José Luis Morales,jose-luis-morales,J. L. Morales,F,11,180.0,1811,M,,344129,EUR,553996800,F,15,15,True,4.0,2.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,30.0,9.0,6.6,3.0,0.00012133,1,,,,,,1.0,1.0,,,,,,,,,,,0.2111,,,,,1.0,,,,0.2932,,,,,,,
11368749,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,10,180.0,1999,M,,39182,EUR,608688000,M,10,10,True,15.0,13.0,3.0,1.0,7.0,7.0,6.0,8.0,1.0,1.0,,2.0,,19.0,19.0,6.3,4.0,0.00194791,0,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11368749,home,Villarreal,Étienne Capoue,etienne-capoue,É. Capoue,M,,187.0,342,M,,16701,EUR,584582400,M,6,6,True,10.0,7.0,1.0,,3.0,4.0,4.0,6.0,1.0,3.0,,1.0,,19.0,15.0,6.5,4.0,0.00931881,0,,,,,3.0,5.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,
11368749,home,Villarreal,Jorge Cuenca,jorge-cuenca,J. Cuenca,D,15,190.0,660,M,,868715,EUR,942796800,D,5,5,True,10.0,5.0,1.0,,5.0,6.0,,4.0,3.0,4.0,1.0,,,18.0,19.0,7.0,6.0,0.00100002,1,,,,,2.0,3.0,1.0,,,,,,,,,,,0.0538,2.0,1.0,1.0,,1.0,,,,0.0636,,,,,,,
