match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_errorLeadToAGoal,stat_expectedGoals,stat_dispossessed,stat_clearanceOffLine,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_blockedScoringAttempt,stat_goals,stat_penaltyFaced,stat_punches,stat_bigChanceCreated,stat_totalOffside,stat_penaltyConceded,stat_goalAssist,stat_bigChanceMissed
11450148,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187.0,62,M,94540,EUR,647568000,G,35,35,False,23.0,17.0,15.0,9.0,15.0,18.0,2.0,5.0,11.0,1.0,3.0,4.0,90.0,35.0,7.2,7.0,0.00065436,0,0.7859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Burak Kapacak,burak-kapacak,B. Kapacak,M,180.0,490,M,836686,EUR,944611200,D,16,16,False,33.0,25.0,2.0,1.0,15.0,18.0,11.0,17.0,4.0,,,,89.0,52.0,6.5,12.0,0.00525771,0,,17,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185.0,334,M,785850,EUR,698544000,D,4,4,False,28.0,25.0,8.0,6.0,19.0,19.0,6.0,9.0,4.0,,,,90.0,42.0,6.3,4.0,0.00173687,1,,2,,,1.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,8.0,2.0,1.0,0.0206,,,,,,,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Samba Camara,samba-camara,S. Camara,D,190.0,68,M,837301,EUR,721699200,D,14,14,False,47.0,42.0,11.0,10.0,26.0,27.0,16.0,20.0,3.0,,,,90.0,60.0,7.6,6.0,0.00425473,0,,14,,,,,1.0,2.0,,,,,,,,3.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180.0,65,M,142850,EUR,704937600,D,3,3,False,50.0,40.0,7.0,3.0,20.0,25.0,20.0,28.0,6.0,,,,90.0,75.0,6.7,14.0,0.0224364,1,,58,3.0,,,,3.0,2.0,1.0,2.0,2.0,,,2.0,1.0,3.0,,,0.0054,,,1.0,,,2.0,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Achilleas Poungouras,achilleas-poungouras,A. Poungouras,D,187.0,79,M,783466,EUR,818812800,M,44,44,False,37.0,32.0,6.0,3.0,15.0,16.0,17.0,21.0,2.0,,,,90.0,47.0,6.6,6.0,0.00893438,0,,15,,,,1.0,5.0,4.0,3.0,1.0,,,,1.0,,1.0,1.0,,,,,,3.0,2.0,,Achilleas,Poungouras,,,,,,,,,,,,,
11450148,home,Sivasspor,Roman Kvet,roman-kvet,R. Kvet,M,187.0,93,M,858926,EUR,882316800,M,19,19,False,18.0,16.0,,,8.0,8.0,8.0,10.0,2.0,,,,67.0,23.0,6.4,3.0,0.00649302,1,,16,,,1.0,,4.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,0.0239,,,,1.0,,1.0,,,,,,,,,,,,,,,
11450148,home,Sivasspor,Ziya Erdal,ziya-erdal,Z. Erdal,D,182.0,28,M,138312,EUR,568339200,M,58,58,False,3.0,3.0,1.0,1.0,,,3.0,3.0,1.0,,,,15.0,4.0,6.8,,0.00239363,1,,,,,,,,,,,,,,,,,,,0.0107,,,,,,,,,True,1.0,0.1728,,,,,,,,,,
11450148,home,Sivasspor,Emrah Başsan,emrah-bassan,E. Başsan,M,177.0,60,M,174141,EUR,703468800,F,17,17,False,17.0,11.0,1.0,,6.0,7.0,5.0,11.0,3.0,,,,67.0,29.0,7.1,11.0,0.00191368,0,,14,1.0,,,,5.0,5.0,2.0,1.0,,1.0,5.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,
11450148,home,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,182.0,2059,M,587882,EUR,856742400,F,9,9,False,23.0,15.0,2.0,,6.0,7.0,9.0,16.0,1.0,,,,90.0,46.0,7.7,18.0,0.0341931,4,,9,,,2.0,1.0,5.0,5.0,,2.0,,7.0,4.0,1.0,,3.0,,,1.6818,1.0,,,,,,,,,3.0,2.1026,,1.0,2.0,,,,,,,
