match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_aerialWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_dispossessed,stat_keyPass,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_bigChanceMissed,stat_clearanceOffLine
10346421,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,201925,M,TheOctopus,70988,EUR,705542400,G,1,1,False,38.0,32.0,10.0,4.0,30.0,32.0,2.0,6.0,9.0,3.0,3.0,90.0,49.0,7.7,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346421,home,Real Madrid,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,2,173,153327,M,DaniCarvajal,138572,EUR,695088000,D,2,2,False,67.0,58.0,5.0,3.0,37.0,40.0,21.0,27.0,3.0,,,85.0,78.0,6.8,10.0,0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10346421,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,139875,M,EMilitão,822519,EUR,885081600,D,3,3,False,92.0,85.0,5.0,1.0,66.0,67.0,19.0,26.0,7.0,,,90.0,107.0,7.3,9.0,0,1.0,4.0,7.0,,,1.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10346421,home,Real Madrid,David Alaba,david-alaba,D. Alaba,D,4,180,92856,M,DAlaba,66492,EUR,709344000,D,4,4,False,91.0,83.0,9.0,4.0,62.0,63.0,21.0,28.0,8.0,,,90.0,97.0,7.7,8.0,1,1.0,3.0,1.0,,,,,,,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10346421,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70600,M,FerMendy,792073,EUR,802569600,D,23,23,False,60.0,51.0,3.0,2.0,31.0,35.0,20.0,26.0,7.0,,,90.0,85.0,6.9,16.0,0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
10346421,home,Real Madrid,Luka Modrić,luka-modric,L. Modrić,M,14,173,352872,M,LModric10,15466,EUR,495072000,M,10,10,False,57.0,53.0,3.0,3.0,26.0,26.0,27.0,31.0,2.0,,,67.0,64.0,6.7,7.0,0,,3.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
10346421,home,Real Madrid,Casemiro,casemiro,Casemiro,M,18,185,85477,M,Casemiro,122951,EUR,698803200,M,14,14,False,64.0,54.0,3.0,1.0,33.0,35.0,21.0,29.0,10.0,,,90.0,85.0,8.4,11.0,2,1.0,5.0,9.0,,,,,,,2.0,1.0,2.0,9.0,6.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,
10346421,home,Real Madrid,Toni Kroos,toni-kroos,T. Kroos,M,,183,45251,M,Kroos,26502,EUR,631411200,M,8,8,False,103.0,97.0,14.0,12.0,46.0,47.0,52.0,60.0,9.0,,,85.0,120.0,7.8,10.0,1,,6.0,5.0,,,,2.0,4.0,,4.0,,2.0,3.0,1.0,2.0,,,1.0,,3.0,,,,,1.0,,1.0,,,,,
10346421,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375067,M,Fede,831808,EUR,901065600,F,15,15,False,41.0,34.0,5.0,2.0,15.0,16.0,19.0,28.0,7.0,,,76.0,57.0,6.8,13.0,2,,2.0,2.0,2.0,1.0,1.0,,3.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,
10346421,home,Real Madrid,Karim Benzema,karim-benzema,K. Benzema,F,90,184,194410,M,KBenz9,3306,EUR,566870400,F,9,9,False,38.0,31.0,2.0,,10.0,10.0,21.0,28.0,2.0,,,90.0,48.0,7.7,10.0,4,,,1.0,,,2.0,,,1.0,,,,,,,1.0,1.0,,,3.0,,,,1.0,1.0,,,2.0,True,1.0,,
