match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_outfielderBlock,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_goals,stat_fouls,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId
12006146,home,SC Cambuur,Yanick van Osch,,,yanick-van-osch,Y. van Osch,G,1,183.0,70,M,361764,EUR,859161600,G,1,1,False,57.0,39.0,34.0,16.0,29.0,32.0,10.0,25.0,1.0,1.0,1.0,11.0,1.0,2.0,3.0,1.0,90.0,64.0,7.1,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12006146,home,SC Cambuur,Jhondly van der Meer,Jhondly van der Meer,,jhondly-van-der-meer,J. v. d. Meer,D,,183.0,70,M,1062999,EUR,1016755200,D,22,22,False,32.0,18.0,5.0,1.0,14.0,21.0,5.0,13.0,,5.0,2.0,5.0,2.0,,,,89.0,55.0,6.7,18.0,0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,
12006146,home,SC Cambuur,Marco Tol,,,marco-tol,M. Tol,D,3,188.0,40,M,860162,EUR,893462400,D,15,15,False,53.0,44.0,12.0,7.0,39.0,41.0,5.0,12.0,3.0,8.0,7.0,4.0,,,,,90.0,68.0,7.4,9.0,2,,,1.0,1.0,,,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12006146,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,3,185.0,51,M,1394011,EUR,1043020800,D,3,3,False,45.0,42.0,3.0,2.0,37.0,38.0,5.0,7.0,,2.0,3.0,1.0,,,,,90.0,53.0,6.9,3.0,0,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
12006146,home,SC Cambuur,Thomas Poll,,,thomas-poll,T. Poll,D,5,184.0,73,M,1015874,EUR,998956800,D,5,5,False,35.0,24.0,10.0,4.0,14.0,18.0,10.0,17.0,1.0,6.0,3.0,6.0,,,,,90.0,61.0,7.6,13.0,2,,,,,,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12006146,home,SC Cambuur,Fedde de Jong,Fedde,de Jong,fedde-de-jong,F. d. Jong,M,22,185.0,111,M,1012924,EUR,1055462400,M,10,10,False,23.0,13.0,2.0,1.0,4.0,8.0,10.0,16.0,2.0,5.0,1.0,6.0,,,,,90.0,34.0,8.2,11.0,2,1.0,1.0,,1.0,,,3.0,1.0,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,
12006146,home,SC Cambuur,Jeremy van Mullem,,,jeremy-van-mullem,J. v. Mullem,D,14,184.0,54,M,990722,EUR,921715200,M,6,6,False,21.0,17.0,6.0,4.0,6.0,6.0,11.0,16.0,2.0,5.0,2.0,3.0,,,,,90.0,36.0,7.4,5.0,1,1.0,,3.0,6.0,,2.0,3.0,1.0,1.0,,,1.0,,,,1.0,2.0,2.0,,,1.0,,,,,,,
12006146,home,SC Cambuur,Michael Breij,,,michael-breij,M. Breij,M,14,181.0,83,M,915171,EUR,853286400,M,14,14,False,15.0,4.0,2.0,,1.0,2.0,3.0,20.0,1.0,3.0,,,1.0,,,,90.0,36.0,6.8,21.0,3,7.0,,2.0,4.0,1.0,2.0,,,2.0,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,
12006146,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,8,175.0,86,M,876257,EUR,961718400,M,8,8,False,18.0,14.0,4.0,3.0,10.0,10.0,5.0,11.0,,7.0,2.0,3.0,,,,,89.0,35.0,7.1,7.0,1,3.0,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,,3.0,,,1.0,1.0,,1.0,1.0,,,,True,,,,,,
12006146,home,SC Cambuur,Remco Balk,,,remco-balk,R. Balk,F,7,176.0,183,M,1023004,EUR,983491200,M,7,7,False,8.0,4.0,1.0,1.0,2.0,3.0,3.0,7.0,1.0,2.0,1.0,2.0,,,,,68.0,18.0,6.3,9.0,0,2.0,1.0,,7.0,,,1.0,1.0,,,,,,4.0,,,1.0,,,,3.0,,,,,,,
