match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded
14429563,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195.0,19839,M,edou_mendy,845074,EUR,699408000.0,G,16,16,False,True,21.0,21.0,2.0,2.0,0.0,20.0,20.0,1.0,1.0,4.0,1.0,1.0,90.0,24.0,7.0,0.00035986,0.3993,0,0.4329,0.05,0.01,-0.05,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Ali Majrashi,,,ali-majrashi,A. Majrashi,D,27,177.0,404,M,,917035,EUR,938736000.0,D,27,27,False,,45.0,40.0,1.0,1.0,0.0,20.0,21.0,20.0,24.0,4.0,,,83.0,67.0,7.9,0.427408,,1,,0.47,0.07,0.32,,2.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,12.0,0.0368,1.0,-0.1,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Rayan Hamed,Rayan Hamed,,rayan-hamed,R. Hamed,D,46,176.0,226,M,,1429251,EUR,1018656000.0,D,46,46,False,,84.0,76.0,7.0,2.0,0.0,35.0,36.0,41.0,48.0,2.0,,,90.0,89.0,6.9,0.0126705,,0,,0.27,0.22,-0.09,,,1.0,1.0,2.0,,,,2.0,,1.0,1.0,,,1.0,,8.0,,,,1.0,,,,,,,,,,,,,
14429563,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190.0,4099,M,merihdemiral,806968,EUR,889056000.0,D,28,28,False,,81.0,78.0,3.0,1.0,0.0,36.0,37.0,42.0,44.0,1.0,,,90.0,88.0,6.9,0.0145035,,2,,0.3,0.31,-0.17,,1.0,3.0,3.0,4.0,,,2.0,3.0,,1.0,1.0,,,1.0,,4.0,0.2195,,-0.46,,1.0,1.0,,,,,,,,,,,
14429563,home,Al-Ahli,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184.0,819,M,,1162305,EUR,1078790400.0,D,32,32,False,,49.0,45.0,2.0,1.0,0.0,18.0,19.0,27.0,30.0,4.0,,,90.0,61.0,6.6,0.0630004,,1,,0.36,0.07,-0.26,,2.0,1.0,4.0,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,,9.0,0.0235,,-0.12,,,2.0,1.0,,,,,,,,,,
14429563,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183.0,43381,M,franckkessie,359226,EUR,850953600.0,M,79,79,False,,61.0,52.0,3.0,1.0,0.0,16.0,16.0,36.0,45.0,4.0,,,90.0,70.0,6.2,0.0362677,,4,,0.0,0.26,-0.11,,,1.0,3.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,3.0,,11.0,0.3071,1.0,-0.58,,,,,1.0,2.0,0.3385,,,,,,,
14429563,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,,1048372,EUR,1005436800.0,M,30,30,False,,42.0,38.0,4.0,3.0,0.0,19.0,20.0,19.0,22.0,3.0,,,84.0,48.0,6.6,0.0106429,,1,,-0.18,-0.13,-0.05,,,2.0,2.0,2.0,,,,,,,,,,,,4.0,0.0147,1.0,-0.17,1.0,,2.0,,1.0,,0.0949,,,,,,,
14429563,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,RMahrez,158213,EUR,667094400.0,M,7,7,False,,43.0,40.0,5.0,4.0,0.0,15.0,15.0,25.0,28.0,5.0,,,69.0,53.0,7.5,0.303975,,0,,0.52,0.06,-0.03,,2.0,2.0,2.0,3.0,,,,,1.0,,,2.0,1.0,1.0,,6.0,,4.0,,,,,,,,,2.0,1.0,,,,,
14429563,home,Al-Ahli,Enzo Millot,,,millot-enzo,E. Millot,M,10,175.0,4909,M,,957889,EUR,1026864000.0,M,10,10,False,,44.0,40.0,2.0,2.0,0.0,10.0,10.0,30.0,34.0,3.0,,,89.0,55.0,6.6,0.130245,,1,,0.06,0.19,-0.1,,2.0,,2.0,2.0,1.0,,1.0,,,,,2.0,1.0,2.0,,7.0,0.0104,1.0,-0.02,,,,1.0,,,,1.0,,,,,,
14429563,home,Al-Ahli,Matheus Gonçalves,Matheus Gonçalves,,matheus-goncalves,M. Gonçalves,M,20,175.0,7172,M,,1175553,EUR,1124323200.0,M,20,20,False,,37.0,29.0,2.0,1.0,0.0,6.0,8.0,23.0,29.0,4.0,,,90.0,58.0,6.7,0.156665,,2,,0.43,0.09,-0.16,,3.0,3.0,7.0,6.0,1.0,,1.0,,,2.0,2.0,5.0,1.0,,,20.0,0.2145,3.0,-0.52,,1.0,2.0,,1.0,,0.0124,2.0,3.0,,,,,
14429563,home,Al-Ahli,Ivan Toney,,,ivan-toney,I. Toney,F,17,185.0,12718,M,ivantoney,290927,EUR,826934400.0,F,17,17,False,,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,,,,83.0,14.0,7.2,0.00498005,,3,,-0.1,-0.14,-0.01,,,1.0,3.0,2.0,,,,,,,,,1.0,,1.0,1.0,1.2302,,0.27,,3.0,,,2.0,1.0,1.6778,,,2.0,1.0,1.0,,
14429563,home,Al-Ahli,Saleh Abu Al-Shamat,Saleh Aboulshamat,,saleh-aboulshamat,S. Aboulshamat,M,47,171.0,764,M,,1429250,EUR,1029024000.0,F,47,47,True,,12.0,9.0,,,0.0,1.0,1.0,8.0,11.0,,,,21.0,15.0,6.8,0.215327,,0,,0.31,0.02,0.0,,3.0,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,1.0,,,,,,
14429563,home,Al-Ahli,Mohammed Abdulrahman,Mohammed Abdulrahman,,mohammed-abdulrahman,M. Abdulrahman,D,29,170.0,146,M,,1133141,EUR,1042502400.0,D,29,29,True,,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,,,15.0,7.0,6.4,0.00125666,,0,,0.05,0.02,-0.17,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181.0,1082,M,,893307,EUR,958262400.0,F,9,9,True,,3.0,1.0,,,0.0,1.0,1.0,,2.0,1.0,,,15.0,3.0,6.5,1.827e-05,,0,,-0.01,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Eid Al Muwallad,Eid Al Muwallad,,eid-al-muwallad,E. A. Muwallad,M,14,175.0,194,M,,1521467,EUR,1008288000.0,M,14,14,True,,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,,,15.0,5.0,6.4,0.00148404,,0,,0.01,0.0,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Fahad Ayed Al-Rashidi,,,al-rashidi-fahad-ayed,F. A. Al-Rashidi,F,97,175.0,231,M,,974517,EUR,863740800.0,F,19,19,True,,,,,,0.0,,,,,,,,1.0,2.0,,,,0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14429563,home,Al-Ahli,Abdulrahman Al Sanbi,Abdulrahman Al Sanbi,,abdulrahman-al-sanbi,A. A. Sanbi,G,1,181.0,227,M,,1066728,EUR,981072000.0,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Zakaria Hawsawi,Zakaria Al Hawsawi,,zakaria-al-hawsawi,Z. Hawsawi,D,2,175.0,153,M,,1398854,EUR,979171200.0,D,2,2,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Mohammed Sulaiman,,,sulaiman-mohammed,M. Sulaiman,D,5,180.0,243,M,,1854314,EUR,1081382400.0,D,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429563,home,Al-Ahli,Yaseen Al-Zubaidi,Yaseen Al-Zubaidi,,al-zubaidi-yaseen,Y. Al-Zubaidi,M,26,176.0,105,M,,1434209,EUR,1051315200.0,F,26,26,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
