match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_aerialWon,stat_unsuccessfulTouch,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox
14109601,home,Antalyaspor,Abdullah Yiğiter,abdullah-yigiter,A. Yiğiter,G,21,189.0,39,M,827515,EUR,951004800,G,21,21,False,31.0,13.0,25.0,7.0,0.0,7.0,10.0,6.0,21.0,1.0,5.0,1.0,90.0,35.0,6.2,19.0,0.00114039,-0.0006,0,-0.1884,0.04,0.01,-0.07,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Sander van de Streek,sander-van-de-streek,S. v. d. Streek,M,22,180.0,185,M,220155,EUR,732931200,D,22,22,False,20.0,16.0,2.0,,1.0,8.0,10.0,8.0,10.0,,3.0,,84.0,40.0,7.2,6.0,0.317618,,1,,0.39,0.17,-0.19,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,0.018,2.0,-0.12,,,,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Veysel Sarı,veysel-sari,V. Sarı,D,89,185.0,109,M,98276,EUR,585792000,D,89,89,False,28.0,20.0,11.0,5.0,1.0,14.0,14.0,6.0,14.0,4.0,,,90.0,38.0,7.0,9.0,0.0175054,,1,,0.28,0.04,-0.18,,,,1.0,5.0,,,,,1.0,1.0,,2.0,1.0,0.024,1.0,-0.18,True,3.0,1.0,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Bahadır Öztürk,bahadir-ozturk,B. Öztürk,D,5,185.0,36,M,790783,EUR,812505600,D,5,5,False,14.0,14.0,1.0,1.0,0.0,11.0,11.0,3.0,3.0,3.0,2.0,,38.0,20.0,6.3,1.0,0.00046874,,0,,0.01,-0.05,-0.17,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14109601,home,Antalyaspor,Kenneth Paal,kenneth-paal,K. Paal,D,3,175.0,248,M,285997,EUR,867110400,D,3,3,False,16.0,13.0,6.0,3.0,0.0,10.0,10.0,3.0,6.0,6.0,3.0,,90.0,41.0,6.6,6.0,0.00200632,,0,,0.1,0.1,0.24,,1.0,,6.0,3.0,1.0,,,,,,,2.0,1.0,,,,,1.0,,3.0,1.0,2.0,,,,,,,,,,,
14109601,home,Antalyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179.0,82,M,847782,EUR,746841600,M,6,6,False,17.0,14.0,,,0.0,11.0,12.0,3.0,5.0,3.0,3.0,,84.0,30.0,6.9,5.0,0.0110827,,1,,0.08,0.02,0.18,,,,5.0,5.0,2.0,,,,1.0,1.0,1.0,4.0,2.0,0.0208,,0.0,,1.0,2.0,1.0,,,,,,,,,,,,,
14109601,home,Antalyaspor,Jakub Kałuziński,jakub-kaluzinski,J. Kałuziński,M,18,185.0,896,M,1019026,EUR,1036022400,M,18,18,False,29.0,21.0,9.0,5.0,0.0,10.0,11.0,11.0,18.0,2.0,6.0,,90.0,43.0,6.9,13.0,0.110116,,1,,0.19,0.07,-0.04,,3.0,1.0,3.0,3.0,,,,,,,1.0,2.0,2.0,0.0311,3.0,0.01,,,2.0,,1.0,,,,1.0,,,,,,,,
14109601,home,Antalyaspor,Güray Vural,guray-vural,G. Vural,D,77,177.0,69,M,43559,EUR,581990400,M,11,11,False,26.0,20.0,2.0,1.0,0.0,12.0,13.0,8.0,13.0,2.0,2.0,,90.0,44.0,8.0,10.0,0.512706,,6,,0.49,0.31,-0.04,,2.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,0.8319,3.0,0.44,,2.0,2.0,3.0,,,,,1.0,2.0,1.0,1.0,0.4635,,,,
14109601,home,Antalyaspor,Abdülkadir Ömür,abdulkadir-omur,A. Ömür,M,10,168.0,641,M,826155,EUR,930268800,M,10,10,False,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,,1.0,,64.0,9.0,6.5,1.0,0.00343415,,0,,0.12,0.05,-0.04,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Nikola Storm,nikola-storm,N. Storm,F,26,178.0,277,M,149796,EUR,780883200,M,26,26,False,18.0,12.0,3.0,2.0,0.0,5.0,9.0,7.0,9.0,,4.0,,90.0,37.0,7.9,10.0,0.0313813,,3,,-0.32,0.74,-0.06,,3.0,2.0,2.0,2.0,,2.0,1.0,,1.0,3.0,1.0,,1.0,0.1748,2.0,0.49,,,1.0,,1.0,,,,,2.0,1.0,,0.5404,,,,
14109601,home,Antalyaspor,Tomáš Čvančara,tomas-cvancara,T. Čvančara,F,11,190.0,835,M,929163,EUR,966124800,F,9,9,False,13.0,8.0,,,0.0,2.0,3.0,6.0,10.0,,1.0,,84.0,28.0,6.1,9.0,0.0465095,,3,,-0.18,0.17,-0.01,,1.0,1.0,9.0,6.0,,1.0,,,1.0,,,4.0,1.0,0.6371,1.0,-0.64,,2.0,2.0,7.0,,,,,,2.0,,,0.6986,1.0,1.0,,
14109601,home,Antalyaspor,Georgiy Dzhikiya,georgiy-dzhikiya,G. Dzhikiya,D,14,188.0,258,M,295495,EUR,753840000,D,14,14,True,14.0,8.0,6.0,,0.0,7.0,7.0,1.0,7.0,9.0,2.0,,52.0,26.0,6.8,6.0,0.00051115,,0,,0.02,0.02,0.26,,,,,2.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Bünyamin Balcı,bunyamin-balci,B. Balcı,D,7,180.0,128,M,967214,EUR,959731200,D,7,7,True,7.0,6.0,1.0,1.0,0.0,1.0,2.0,5.0,5.0,2.0,2.0,,26.0,17.0,7.2,2.0,0.00129493,,0,,0.02,0.08,0.24,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14109601,home,Antalyaspor,Mert Yilmaz,mert-yilmaz,M. Yilmaz,D,27,174.0,32,M,881966,EUR,920851200,D,27,27,True,3.0,2.0,1.0,,0.0,,,2.0,3.0,,1.0,,17.0,3.0,6.7,1.0,0.00063999,,0,,0.03,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
