match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_challengeLost,stat_keyPass,captain,stat_bigChanceCreated,stat_goals,stat_expectedGoalsOnTarget,stat_punches,stat_clearanceOffLine,stat_hitWoodwork
14035921,home,KRC Genk,Hendrik Van Crombrugge,,,hendrik-van-crombrugge,H. V. Crombrugge,G,1,188,195,M,110777,EUR,736128000,G,1,1,False,23.0,21.0,10.0,8.0,0.0,17.0,17.0,4.0,6.0,4.0,1.0,1.0,90.0,26.0,6.9,2.0,0.00061802,0.0003,0,0.0427,0.06,0.0,-0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035921,home,KRC Genk,Ken Nkuba,,,nkuba-ken,K. Nkuba,M,27,180,165,M,961902,EUR,1011571200,D,27,27,False,58.0,52.0,1.0,,0.0,28.0,29.0,24.0,29.0,4.0,,,90.0,92.0,6.8,19.0,0.0206609,,1,,-0.04,0.17,0.0,,10.0,1.0,1.0,3.0,6.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0264,-0.18,,,,,,,,,,,,,,,,,
14035921,home,KRC Genk,Mujaid Sadick,,,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,70.0,69.0,,,0.0,43.0,44.0,26.0,26.0,3.0,,,90.0,82.0,6.9,1.0,0.00844332,,2,,0.17,0.06,0.2,,,,1.0,3.0,3.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,,0.347,0.03,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
14035921,home,KRC Genk,Matte Smets,,,smets-matte,M. Smets,D,6,184,963,M,1392905,EUR,1073174400,D,6,6,False,77.0,73.0,18.0,15.0,0.0,41.0,41.0,32.0,36.0,3.0,,,90.0,89.0,8.6,5.0,0.305386,,1,,0.81,0.17,-0.08,,,,1.0,3.0,7.0,,,,1.0,2.0,,1.0,5.0,3.0,1.0,0.0177,0.0,2.0,,,,,1.0,1.0,,,,,,,,,,
14035921,home,KRC Genk,Joris Kayembe,,,joris-kayembe-ditu,J. Kayembe,D,18,180,4977,M,354046,EUR,776304000,D,18,18,False,78.0,70.0,3.0,2.0,0.0,24.0,25.0,46.0,53.0,7.0,,,90.0,105.0,7.0,14.0,0.0490774,,0,,0.21,0.02,-0.12,,5.0,,,3.0,8.0,,6.0,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,joriskayembe23,1.0,,,,,,,,
14035921,home,KRC Genk,Nikolas Sattlberger,,,sattlberger-nikolas,N. Sattlberger,M,24,191,235,M,1086072,EUR,1074384000,M,24,24,False,37.0,33.0,5.0,4.0,0.0,14.0,15.0,19.0,22.0,4.0,,,58.0,43.0,6.8,4.0,0.0273577,,1,,0.18,0.02,-0.07,,,,1.0,4.0,3.0,,,,,2.0,,1.0,1.0,1.0,1.0,0.0175,-0.05,,,,1.0,,,3.0,,2.0,1.0,,,,,,,
14035921,home,KRC Genk,Bryan Heynen,,,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,105.0,90.0,12.0,5.0,0.0,25.0,28.0,65.0,77.0,10.0,,,90.0,133.0,7.0,25.0,0.0973754,,1,,0.36,0.01,-0.03,,2.0,,6.0,7.0,12.0,1.0,2.0,,,2.0,,3.0,2.0,1.0,4.0,0.2007,-0.51,2.0,1.0,1.0,,,4.0,1.0,,1.0,1.0,True,,,,,,
14035921,home,KRC Genk,Konstantinos Karetsas,,,konstantinos-karetsas,K. Karetsas,M,20,171,6599,M,1468744,EUR,1195430400,M,20,20,False,65.0,54.0,6.0,4.0,0.0,19.0,20.0,35.0,45.0,4.0,,,90.0,111.0,7.1,38.0,0.466459,,3,,0.45,0.14,-0.12,,17.0,3.0,1.0,11.0,9.0,4.0,6.0,3.0,2.0,,,1.0,2.0,1.0,3.0,0.1207,-0.16,,,,1.0,,4.0,3.0,,1.0,3.0,,1.0,,,,,
14035921,home,KRC Genk,Daan Heymans,,,heymans-daan,D. Heymans,M,38,186,544,M,845344,EUR,929404800,M,38,38,False,53.0,48.0,1.0,,0.0,9.0,12.0,39.0,41.0,1.0,,,87.0,67.0,7.1,10.0,0.0813872,,2,,-0.08,-0.55,-0.07,,1.0,1.0,2.0,5.0,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,0.2163,0.52,1.0,,1.0,,,3.0,3.0,,,1.0,,,1.0,0.3837,,,
14035921,home,KRC Genk,Yira Collins Sor,,,yira-collins-sor,Y. C. Sor,F,14,174,386,M,985162,EUR,964396800,M,14,14,False,26.0,22.0,1.0,1.0,0.0,6.0,7.0,16.0,19.0,3.0,,,71.0,42.0,6.6,10.0,0.0211703,,2,,0.03,0.1,-0.11,,3.0,,1.0,6.0,6.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,0.1314,0.03,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,0.3987,,,
