match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_crossNotClaimed,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_lastName,captain,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_fouls,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_totalOffside,stat_shotOffTarget,stat_wasFouled,player_sofascoreId,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated
14064516,home,Le Havre,Mory Diaw,mory-diaw,M. Diaw,G,99,197,3450,M,580226,EUR,740707200,G,99,99,False,29.0,18.0,16.0,5.0,0.0,14.0,16.0,4.0,13.0,2.0,1.0,9.0,1.0,2.0,1.0,90.0,38.0,7.0,11.0,0.00084314,0.026,0,0.2084,0.11,0.01,0.34,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064516,home,Le Havre,Stephan Zagadou,stephan-zagadou,S. Zagadou,D,29,186,159,M,2073555,EUR,1224806400,D,29,29,False,27.0,25.0,3.0,2.0,0.0,13.0,13.0,12.0,14.0,2.0,,,,,,65.0,38.0,6.7,5.0,0.00450665,,0,,0.01,-0.06,0.15,,Stephan Zagadou,4.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14064516,home,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,43.0,40.0,3.0,1.0,0.0,27.0,28.0,13.0,15.0,8.0,1.0,4.0,,,,83.0,59.0,8.4,3.0,0.0123069,,1,,0.17,0.13,0.6,,,3.0,2.0,3.0,2.0,,,,,True,1.0,1.0,2.0,0.0728,0.5346,1.0,0.53,,,,,,,,,,,,,,,
14064516,home,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,52.0,50.0,3.0,1.0,0.0,36.0,36.0,14.0,16.0,5.0,3.0,4.0,,,,90.0,64.0,7.1,3.0,0.00754096,,1,,0.2,0.2,0.25,,,1.0,2.0,4.0,3.0,,,1.0,,,,,,0.0206,,,-0.01,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
14064516,home,Le Havre,Ayumu Seko,ayumu-seko,A. Seko,D,15,186,730,M,873221,EUR,960336000,M,15,15,False,47.0,39.0,11.0,9.0,0.0,16.0,19.0,23.0,28.0,4.0,1.0,4.0,,,,90.0,56.0,7.3,10.0,0.0460983,,1,,0.22,0.29,0.16,,,1.0,2.0,4.0,2.0,,,1.0,,,1.0,,,0.0142,0.1002,2.0,0.12,1.0,,,,1.0,1.0,,,,,,,,,
14064516,home,Le Havre,Fodé Doucouré,fode-doucoure,F. Doucouré,M,13,172,1282,M,1035695,EUR,981158400,M,13,13,False,37.0,33.0,1.0,,0.0,11.0,13.0,22.0,24.0,,,5.0,,,,72.0,62.0,6.6,21.0,0.0384364,,0,,0.15,0.13,-0.02,,,1.0,,3.0,1.0,1.0,,,,,,,,,,2.0,,,2.0,,,1.0,,13.0,1.0,1.0,,,,,,
14064516,home,Le Havre,Simon Ebonog,ebonog-simon,S. Ebonog,M,26,180,152,M,1490783,EUR,1092614400,M,26,26,False,28.0,23.0,1.0,,0.0,8.0,8.0,15.0,20.0,1.0,1.0,8.0,,,,72.0,46.0,7.0,10.0,0.0127509,,2,,-0.15,0.32,0.19,,,,,5.0,7.0,4.0,3.0,1.0,,,,,,0.0476,,1.0,-0.19,,1.0,,1.0,2.0,2.0,1.0,,,1.0,3.0,,,,
14064516,home,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,46.0,40.0,2.0,1.0,0.0,16.0,18.0,24.0,28.0,5.0,1.0,5.0,,,,90.0,61.0,7.2,11.0,0.0367547,,0,,0.22,0.13,0.34,,,2.0,2.0,3.0,4.0,,,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,2.0,,,,
14064516,home,Le Havre,Thomas Delaine,thomas-delaine,T. Delaine,M,,180,116,M,153218,EUR,701395200,M,23,23,False,37.0,28.0,3.0,,0.0,20.0,23.0,8.0,14.0,1.0,1.0,4.0,,,,65.0,62.0,6.9,15.0,0.139897,,2,,0.21,0.03,-0.08,,,,,2.0,4.0,2.0,,1.0,,,,,,0.0529,,1.0,-0.02,2.0,1.0,1.0,2.0,,,5.0,1.0,,,1.0,,,,
14064516,home,Le Havre,Godson Kyeremeh,kyeremeh-godson,G. Kyeremeh,M,11,175,101,M,975300,EUR,960940800,F,11,11,False,12.0,10.0,,,0.0,8.0,8.0,2.0,4.0,,,4.0,,,,90.0,34.0,6.5,10.0,0.0366094,,2,,-0.04,0.33,0.16,,,1.0,,6.0,6.0,2.0,2.0,4.0,,,,,,0.0925,,1.0,-0.54,,1.0,,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,,,,
