match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,captain,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_lastManTackle
11388453,home,Almere City FC,Samuel Sahin-Radlinger,samuel-sahin-radlinger,S. Sahin-Radlinger,G,1,198,96,M,66340,EUR,721094400,G,18,18,False,35.0,16.0,29.0,10.0,6.0,6.0,10.0,29.0,1.0,1.0,1.0,8.0,2.0,4.0,1.0,2.0,2.0,90.0,42.0,7.4,19.0,0.00550242,0,-0.0372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183,24,M,930838,EUR,955324800,D,3,3,False,17.0,15.0,4.0,3.0,10.0,10.0,5.0,9.0,2.0,5.0,1.0,,,,,,,45.0,32.0,7.0,9.0,0.0114798,0,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Theo Barbet,theo-barbet,T. Barbet,D,22,184,56,M,911846,EUR,983836800,D,22,22,False,29.0,22.0,1.0,,14.0,18.0,8.0,11.0,3.0,5.0,1.0,3.0,,,,,,90.0,38.0,6.7,7.0,0.00506628,1,,,8.0,,,,,2.0,,,6.0,1.0,1.0,1.0,1.0,1.0,0.024,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Sherel Floranus,sherel-floranus,S. Floranus,D,2,181,189,M,803021,EUR,903830400,D,2,2,False,29.0,22.0,4.0,2.0,15.0,18.0,8.0,13.0,3.0,6.0,3.0,6.0,,,,,,90.0,58.0,7.0,13.0,0.0138158,0,,2.0,6.0,1.0,3.0,3.0,1.0,,Sherel,Floranus,4.0,,,,,,,True,1.0,2.0,,,,,,,,,,,,
11388453,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,39,39,False,14.0,12.0,,,5.0,7.0,7.0,7.0,,,,6.0,,,,,,45.0,18.0,6.5,2.0,0.00707598,0,,,2.0,,,,,1.0,Jochem van de Kamp,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Stije Resink,stije-resink,S. Resink,M,6,186,608,M,1090328,EUR,1053993600,M,28,28,False,43.0,26.0,8.0,4.0,10.0,14.0,16.0,29.0,3.0,6.0,4.0,4.0,,,,,,90.0,64.0,7.7,20.0,0.35335,2,,,7.0,1.0,2.0,1.0,1.0,,Stije Resink,,5.0,1.0,1.0,1.0,,,0.0586,,,,2.0,1.0,1.0,3.0,,,,,,,,
11388453,home,Almere City FC,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,15,15,False,51.0,37.0,7.0,3.0,14.0,18.0,25.0,40.0,3.0,11.0,4.0,11.0,,,,,,90.0,78.0,8.5,23.0,0.431013,0,,7.0,3.0,1.0,4.0,4.0,2.0,1.0,,,1.0,3.0,2.0,,,2.0,,,2.0,,,,,5.0,1.0,2.0,,,,,,
11388453,home,Almere City FC,Yoann Cathline,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,19,19,False,21.0,13.0,3.0,2.0,3.0,4.0,11.0,21.0,,4.0,,10.0,,,,,,90.0,54.0,6.7,26.0,0.197674,6,,4.0,8.0,,1.0,1.0,4.0,,,,,6.0,2.0,1.0,1.0,1.0,0.5025,,1.0,,4.0,1.0,,,,,1.0,4.0,1.0,1.1054,,
11388453,home,Almere City FC,Álvaro Peña,alvaro-pena,Á. Peña,M,23,178,37,M,294351,EUR,688262400,F,6,6,False,26.0,20.0,3.0,1.0,4.0,5.0,16.0,22.0,3.0,5.0,2.0,5.0,,,,,,81.0,40.0,7.4,8.0,0.251517,2,,1.0,5.0,1.0,,,1.0,,,,4.0,1.0,1.0,1.0,,1.0,0.3986,,,1.0,,1.0,,3.0,,1.0,1.0,,,,,
11388453,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180,359,M,790802,EUR,840326400,F,9,9,False,33.0,14.0,2.0,,2.0,3.0,12.0,32.0,9.0,11.0,,2.0,,,,,,90.0,50.0,6.6,28.0,0.0208838,0,,2.0,9.0,,,,5.0,,,,8.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,
11388453,home,Almere City FC,Kornelius Normann,kornelius-hansen,K. Hansen,M,11,175,64,M,989864,EUR,989107200,F,17,17,False,10.0,5.0,,,,,5.0,10.0,1.0,2.0,,,,,,,,60.0,17.0,7.1,7.0,0.0117602,2,,,3.0,,,,2.0,,,,3.0,,,,1.0,1.0,0.1445,,,,,,,,,,,2.0,1.0,0.872,,
11388453,home,Almere City FC,Loïc Mbe Soh,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,True,21.0,15.0,2.0,,5.0,6.0,10.0,15.0,1.0,2.0,5.0,3.0,,,,,,45.0,28.0,6.7,6.0,0.00499751,0,,,4.0,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,
11388453,home,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175,76,M,983662,EUR,948326400,D,20,20,True,21.0,13.0,3.0,,3.0,5.0,10.0,19.0,,3.0,,4.0,,,,,,45.0,43.0,7.0,16.0,0.00728266,0,,3.0,3.0,,,,1.0,2.0,,,1.0,,,,3.0,3.0,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Adi Nalić,adi-nalic,A. Nalić,M,22,190,162,M,875437,EUR,880934400,M,16,16,True,7.0,6.0,,,2.0,2.0,4.0,6.0,,2.0,,3.0,,,,,,30.0,18.0,7.0,7.0,0.0327552,1,,1.0,8.0,,,,,1.0,,,2.0,3.0,2.0,,,,0.1891,,,,4.0,,,,,,,1.0,,0.4222,1.0,
11388453,home,Almere City FC,Jason van Duiven,jason-van-duiven,J. v. Duiven,F,9,175,432,M,1195745,EUR,1109203200,F,7,7,True,5.0,4.0,,,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,,,,,,9.0,9.0,6.5,2.0,0.00297335,0,,,3.0,,,,,,Jason van Duiven,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Joel Van der Wilt,van-der-wilt-joel,J. v. d. Wilt,G,30,198,14,M,1521867,EUR,1083024000,G,52,52,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Joël van der Wilt,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Agil Etemadi,agil-etemadi,A. Etemadi,G,29,182,14,M,17954,EUR,546134400,G,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Christopher Mamengi,christopher-mamengi,C. Mamengi,D,,182,33,M,929632,EUR,986256000,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Pascu,pascu,Pascu,M,10,184,38,M,964177,EUR,954633600,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Milan Corryn,milan-corryn,M. Corryn,M,,179,35,M,826173,EUR,923184000,M,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,F,27,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,home,Almere City FC,Faiz Mattoir,mattoir-faiz,F. Mattoir,F,24,164,48,M,1007838,EUR,963360000,F,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388453,away,FC Volendam,Mio Backhaus,mio-backhaus,M. Backhaus,G,30,194,1073,M,1083390,EUR,1082073600,G,1,1,False,43.0,23.0,39.0,19.0,7.0,12.0,16.0,31.0,,,1.0,13.0,4.0,6.0,,,,90.0,55.0,7.9,20.0,0.0143753,0,1.3996,,,,,,,,Mio Backhaus,,,,,,,,,,,,,,,,,,,,,,,
11388453,away,FC Volendam,Oskar Buur,oskar-buur,O. Buur,D,2,178,84,M,797688,EUR,891302400,D,2,2,False,21.0,14.0,10.0,5.0,10.0,12.0,4.0,9.0,,8.0,1.0,5.0,,,,,,90.0,56.0,7.4,16.0,0.111838,1,,,4.0,,5.0,5.0,5.0,1.0,,,,3.0,2.0,,2.0,1.0,0.0224,,,2.0,,,,1.0,,,,1.0,,0.1244,,
