match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_goalAssist,stat_aerialWon,stat_bigChanceCreated,stat_interceptionWon,stat_keyPass,stat_onTargetScoringAttempt,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_clearanceOffLine
10385420,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,23.0,21.0,5.0,3.0,21.0,22.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,90.0,28.0,6.7,2.0,0.0,0.0,8.644e-05,0,-0.4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385420,home,Aston Villa,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,31.0,27.0,5.0,2.0,15.0,15.0,18.0,1.0,5.0,,,,,45.0,38.0,6.6,6.0,0.0,0.0,0.0262908,0,,True,13.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10385420,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,68.0,63.0,3.0,1.0,44.0,45.0,24.0,4.0,6.0,,,,,90.0,80.0,6.9,8.0,0.0,0.0,0.0091285,0,,,19.0,1.0,,2.0,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10385420,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,79.0,70.0,15.0,9.0,37.0,39.0,41.0,4.0,8.0,,,,,90.0,90.0,7.7,10.0,0.0,0.0,0.172097,0,,,33.0,1.0,,2.0,3.0,,2.0,,,2.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
10385420,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,27,27,False,28.0,21.0,1.0,,13.0,15.0,21.0,1.0,4.0,,,,,67.0,54.0,6.7,18.0,0.0366,0.2679,0.0221212,1,,,8.0,8.0,,3.0,2.0,,1.0,,,3.0,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,
10385420,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,M,2,2,False,63.0,57.0,7.0,4.0,16.0,16.0,52.0,2.0,1.0,,,,,90.0,87.0,7.2,12.0,0.0189,0.0,0.0665478,1,,,42.0,5.0,1.0,2.0,6.0,,,,,,,3.0,1.0,,3.0,,2.0,,,2.0,1.0,1.0,2.0,1.0,,,,,,,
10385420,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,42.0,37.0,6.0,6.0,12.0,14.0,28.0,,5.0,,,,,90.0,50.0,6.3,9.0,0.0419,0.0,0.0171444,1,,,25.0,,,5.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,2.0,1.0,,,,,
10385420,home,Aston Villa,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,6,6,False,37.0,33.0,5.0,3.0,19.0,19.0,19.0,1.0,2.0,,,,,67.0,45.0,6.5,8.0,0.0,0.0,0.0473675,0,,,14.0,1.0,,5.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,
10385420,home,Aston Villa,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170,7699,M,EM10Buendia,783126,EUR,851472000,M,10,10,False,39.0,33.0,2.0,2.0,17.0,19.0,22.0,,6.0,,,,,90.0,56.0,6.7,13.0,0.103,0.0,0.0215651,3,,,16.0,2.0,,8.0,6.0,2.0,,,,2.0,1.0,3.0,1.0,,2.0,,1.0,,,,3.0,,1.0,2.0,3.0,,,,,,
10385420,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7677,M,leonbailey,808590,EUR,871084800,F,31,31,False,28.0,25.0,3.0,3.0,10.0,11.0,23.0,,3.0,,,,,90.0,60.0,6.4,18.0,0.9668,0.0,0.0965958,4,,,17.0,6.0,2.0,11.0,6.0,8.0,3.0,,,,3.0,,,,,,,3.0,,,2.0,,,,6.0,2.0,1.0,1.0,,,
