match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,captain,stat_accurateCross,stat_interceptionWon,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,stat_goalAssist,stat_challengeLost,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_clearanceOffLine,stat_errorLeadToAShot
10385363,home,Brighton & Hove Albion,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,26.0,18.0,12.0,4.0,16.0,20.0,2.0,6.0,1.0,13.0,1.0,4.0,7.0,90.0,45.0,8.2,8.0,0.0,0.0,0.00039415,0,0.4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Pascal Groß,pascal-gross,P. Groß,M,30,181,4733,M,pascalgross65,48480,EUR,676944000,D,13,13,False,30.0,23.0,8.0,4.0,15.0,16.0,8.0,15.0,,1.0,,,,90.0,53.0,7.6,10.0,0.1813,0.9359,0.00604746,2,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Adam Webster,adam-webster,A. Webster,D,4,191,505,M,,216308,EUR,789177600,D,4,4,False,36.0,30.0,3.0,2.0,25.0,30.0,5.0,7.0,7.0,7.0,,,,90.0,51.0,7.1,7.0,0.1782,0.0,0.00340578,2,,1.0,2.0,2.0,3.0,2.0,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,,115365,EUR,690681600,D,5,5,False,45.0,39.0,5.0,5.0,32.0,35.0,7.0,10.0,6.0,7.0,,,,90.0,61.0,7.2,8.0,0.0,0.0,0.00299633,0,,,1.0,1.0,4.0,,,,1.0,3.0,1.0,2.0,,,1.0,True,,,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14887,M,pervisestupinan,805465,EUR,885340800,D,30,30,False,27.0,25.0,2.0,2.0,13.0,13.0,14.0,17.0,2.0,3.0,,,,90.0,49.0,7.8,5.0,0.0338,0.0,0.0511095,1,,3.0,2.0,2.0,3.0,,1.0,,,3.0,2.0,1.0,,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,34.0,28.0,2.0,1.0,11.0,13.0,18.0,22.0,,5.0,,,,90.0,48.0,7.3,9.0,0.1891,0.0,0.144116,1,,1.0,1.0,7.0,3.0,1.0,,,,,,,4.0,3.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,37.0,29.0,2.0,,20.0,24.0,10.0,16.0,,7.0,,,,90.0,49.0,7.5,10.0,0.0177,0.0,0.0947536,0,,3.0,,1.0,5.0,,,,,3.0,3.0,,1.0,5.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Solly March,solly-march,S. March,M,7,180,1255,M,,301288,EUR,774662400,M,7,7,False,32.0,25.0,3.0,2.0,10.0,11.0,15.0,27.0,4.0,2.0,,,,90.0,54.0,6.8,14.0,0.0392,0.0,0.030422,1,,6.0,2.0,5.0,5.0,,,,,,,,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,
10385363,home,Brighton & Hove Albion,Adam Lallana,adam-lallana,A. Lallana,M,10,172,1210,M,,17054,EUR,579225600,M,14,14,False,21.0,17.0,,,9.0,12.0,8.0,9.0,,2.0,,,,65.0,28.0,6.7,6.0,0.0545,0.0,0.00332385,1,,,,,3.0,1.0,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,
10385363,home,Brighton & Hove Albion,Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,20820,M,KaoruM,936849,EUR,864086400,M,22,22,False,23.0,15.0,,,5.0,8.0,10.0,16.0,1.0,7.0,,,,73.0,34.0,7.3,10.0,0.0,0.0,0.0190828,0,,1.0,,2.0,5.0,,,,,3.0,2.0,,1.0,2.0,,,,,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,
