match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyConceded,stat_goalAssist,stat_accurateCross,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_outfielderBlock,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_penaltyMiss
10385717,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,1,1,False,28.0,21.0,9.0,3.0,20.0,22.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,90.0,32.0,7.2,7.0,0.00026101,0,0.4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385717,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,38.0,33.0,1.0,1.0,20.0,21.0,13.0,20.0,3.0,,,,,90.0,53.0,7.0,9.0,0.0135484,1,,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0242,0.0214,,,,,,,,,,,,,,,,,,,,,,,
10385717,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,61.0,50.0,5.0,2.0,42.0,45.0,8.0,16.0,6.0,,,,,90.0,72.0,6.9,11.0,0.00610433,1,,,4.0,5.0,5.0,7.0,,3.0,3.0,1.0,1.0,,0.0202,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10385717,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8884,M,victorlindelof,143334,EUR,774403200,D,2,2,False,62.0,59.0,1.0,,51.0,51.0,8.0,11.0,5.0,,,,,90.0,72.0,7.0,3.0,0.0135087,0,,,,2.0,2.0,4.0,,4.0,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
10385717,home,Manchester United,Tyrell Malacia,,,tyrell-malacia,T. Malacia,D,12,169,8798,M,tyrellmalacia,825839,EUR,934761600,D,12,12,False,45.0,43.0,,,23.0,24.0,20.0,21.0,8.0,,,,,90.0,60.0,7.1,3.0,0.14071,0,,,,,5.0,6.0,,,3.0,4.0,3.0,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10385717,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,50.0,40.0,3.0,2.0,15.0,18.0,25.0,32.0,7.0,,,,,67.0,58.0,7.1,10.0,0.28697,3,,,3.0,,5.0,3.0,1.0,,,1.0,1.0,,0.12,0.0749,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10385717,home,Manchester United,Fred,,,fred,Fred,M,7,169,11672,M,fred08,243623,EUR,731289600,M,17,17,False,51.0,42.0,6.0,3.0,14.0,16.0,28.0,35.0,4.0,,,,,67.0,64.0,7.4,14.0,0.45983,0,,,,1.0,9.0,6.0,,,1.0,4.0,3.0,,,,,,,4.0,,1.0,1.0,5.0,5.0,1.0,,,1.0,,,,,,,,,,
10385717,home,Manchester United,Jadon Sancho,,,sancho-jadon,J. Sancho,M,19,180,68579,M,JSancho,851100,EUR,953942400,M,25,25,False,33.0,29.0,1.0,1.0,9.0,11.0,21.0,23.0,6.0,,,,,90.0,52.0,7.6,11.0,0.279681,2,,1.0,,,3.0,3.0,1.0,,,,,4.0,0.5846,0.7694,,,,,,,1.0,2.0,6.0,3.0,1.0,,,1.0,1.0,,,,,,,,
10385717,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,41.0,26.0,6.0,1.0,11.0,12.0,17.0,36.0,7.0,,,,,84.0,55.0,7.8,21.0,0.189483,3,,7.0,3.0,,5.0,1.0,2.0,,1.0,1.0,1.0,,0.7013,0.4682,,,,,1.0,,,6.0,1.0,,1.0,,,2.0,1.0,,,,,,,,
10385717,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,49,49,False,23.0,19.0,,,4.0,7.0,15.0,16.0,4.0,,,,,67.0,38.0,6.5,8.0,0.0269442,4,,,,1.0,5.0,5.0,1.0,,1.0,2.0,1.0,2.0,0.3863,0.0211,,2.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,
