match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_totalCross,stat_accurateCross,stat_penaltyConceded,stat_fouls,stat_wasFouled,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_hitWoodwork,player_sofascoreId,captain,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_penaltyMiss
12624904,home,Al-Shabab,Georgiy Bushchan,heorhiy-bushchan,G. Bushchan,G,1,198.0,641,M,138813,EUR,770342400,G,31,31,False,26.0,20.0,14.0,8.0,0.0,17.0,20.0,3.0,6.0,1.0,12.0,4.0,1.0,8.0,90.0,44.0,8.5,6.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,5,5,False,30.0,27.0,2.0,1.0,0.0,22.0,24.0,5.0,6.0,5.0,3.0,,,,90.0,43.0,6.9,5.0,,0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Wesley Hoedt,wesley-hoedt,W. Hoedt,D,4,188.0,354,M,336813,EUR,762912000,D,4,4,False,50.0,46.0,11.0,7.0,0.0,37.0,39.0,9.0,11.0,7.0,3.0,,,,90.0,64.0,8.6,4.0,,3,,,4.0,,,,1.0,1.0,1.0,,,,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Robert Renan,robert-renan,R. Renan,D,30,186.0,3212,M,1191278,EUR,1065830400,D,30,30,False,45.0,41.0,1.0,,0.0,33.0,35.0,9.0,11.0,1.0,3.0,,,,90.0,50.0,6.4,4.0,1.0,0,,,,,,1.0,,,,,Robert Renan,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Mohammed Essa Harbush,mohammed-essa-harbush,M. E. Harbush,D,38,170.0,36,M,1201501,EUR,1051142400,M,38,38,False,25.0,21.0,4.0,3.0,0.0,8.0,10.0,13.0,15.0,2.0,3.0,,,,88.0,41.0,7.0,5.0,,0,1.0,2.0,6.0,,1.0,,,3.0,3.0,,Mohammed Essa Harbush,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175.0,850,M,1106234,EUR,1056067200,M,15,15,False,69.0,57.0,8.0,6.0,1.0,34.0,38.0,24.0,34.0,,7.0,,,,89.0,83.0,8.3,14.0,2.0,1,,3.0,5.0,3.0,,,1.0,2.0,1.0,,Musab Fahz Aljuwayr,,1.0,1.0,,,3.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,
12624904,home,Al-Shabab,Glen Kamara,glen-kamara,G. Kamara,M,4,183.0,804,M,292665,EUR,814838400,M,14,14,False,61.0,56.0,4.0,4.0,0.0,24.0,26.0,32.0,35.0,,2.0,,,,90.0,67.0,6.6,8.0,,0,,5.0,2.0,1.0,3.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12624904,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,11,11,False,68.0,61.0,7.0,6.0,2.0,29.0,31.0,37.0,44.0,,7.0,,,,89.0,90.0,8.4,15.0,5.0,2,,4.0,2.0,1.0,2.0,,2.0,,,3.0,,,2.0,,,,7.0,5.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,
12624904,home,Al-Shabab,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180.0,1098,M,36784,EUR,619747200,F,7,7,False,40.0,36.0,1.0,,0.0,14.0,14.0,22.0,29.0,1.0,2.0,,,,89.0,55.0,6.9,12.0,,2,,3.0,1.0,,1.0,,,,,2.0,,,,,,,3.0,,,1.0,1.0,1.0,,,,2.0,,1.0,,,,,,,
12624904,home,Al-Shabab,Haroune Camara,haroune-camara,H. Camara,F,70,187.0,2967,M,926730,EUR,883612800,F,70,70,False,9.0,7.0,2.0,1.0,1.0,2.0,3.0,5.0,6.0,,3.0,,,,67.0,18.0,6.7,7.0,1.0,0,,5.0,2.0,,2.0,,,1.0,1.0,2.0,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,
