match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalClearance,stat_wasFouled,player_sofascoreId,stat_aerialWon,stat_clearanceOffLine,stat_outfielderBlock,stat_wonTackle,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goalAssist,stat_hitWoodwork,stat_goals,stat_totalOffside
10388528,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,50.0,37.0,18.0,6.0,35.0,38.0,2.0,12.0,1.0,1.0,3.0,1.0,1.0,90.0,53.0,5.8,13.0,0.0,0.0,0.00278423,0,-1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,20,20,False,50.0,37.0,8.0,3.0,22.0,26.0,15.0,26.0,1.0,10.0,6.0,,,90.0,71.0,5.6,21.0,0.0167,0.0,0.0669605,1,,,,2.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Sebastiaan Bornauw,sebastiaan-bornauw,S. Bornauw,D,23,190,839,M,826167,EUR,922060800,D,3,3,False,61.0,55.0,1.0,,44.0,48.0,11.0,13.0,1.0,7.0,7.0,,,90.0,69.0,6.1,6.0,0.0,0.0,0.00515429,0,,,,,3.0,1.0,,,,,,2.0,,5.0,,5.0,1.0,,,,,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12555,M,998247,EUR,987638400,D,5,5,False,51.0,46.0,2.0,,34.0,35.0,12.0,16.0,,4.0,4.0,,,90.0,73.0,7.1,7.0,0.0272,0.0,0.00349527,1,,,,,7.0,1.0,1.0,2.0,2.0,1.0,,4.0,1.0,2.0,,3.0,,mickyvdven,1.0,1.0,1.0,1.0,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Paulo Otávio,paulo-otavio,P. Otávio,D,6,173,323,M,552180,EUR,785548800,D,6,6,False,18.0,14.0,,,8.0,9.0,6.0,9.0,,1.0,,,,45.0,33.0,6.5,5.0,0.0394,0.0,0.00693833,1,,,,,3.0,,,2.0,1.0,,,,,,,3.0,2.0,,,,,,1.0,,,,,,,,,,
10388528,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,61.0,52.0,11.0,5.0,37.0,41.0,15.0,23.0,,5.0,6.0,,,90.0,78.0,6.8,13.0,0.0368,0.0221,0.0190428,1,,,,3.0,3.0,3.0,,,,,4.0,2.0,1.0,2.0,1.0,,,,1.0,,,1.0,,True,1.0,,,,,,,,
10388528,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,38.0,25.0,2.0,,13.0,17.0,12.0,21.0,2.0,2.0,5.0,,,90.0,54.0,7.0,14.0,0.0,0.0,0.0268287,0,,,,,7.0,,,1.0,1.0,,1.0,2.0,1.0,,2.0,4.0,3.0,,1.0,,,2.0,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Luca Waldschmidt,luca-waldschmidt,L. Waldschmidt,F,7,181,704,M,319861,EUR,832464000,M,7,7,False,7.0,6.0,,,4.0,4.0,2.0,3.0,,3.0,2.0,,,45.0,9.0,6.2,2.0,0.0,0.0,0.00166422,0,,,,,1.0,1.0,,,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,907463,EUR,971136000,M,22,22,False,28.0,18.0,2.0,1.0,5.0,7.0,13.0,22.0,,,3.0,,,74.0,37.0,6.9,13.0,0.0243,0.1109,0.0364513,1,,,,1.0,3.0,,,,,,,2.0,2.0,,,,,,1.0,,,2.0,,,1.0,,,,,,,,
10388528,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,19.0,15.0,1.0,1.0,5.0,6.0,10.0,13.0,2.0,6.0,8.0,,,59.0,33.0,6.7,7.0,0.0,0.0,0.115325,0,,,,,6.0,1.0,,5.0,2.0,,,1.0,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,12.0,9.0,,,1.0,2.0,8.0,10.0,6.0,7.0,1.0,,,59.0,22.0,6.8,7.0,0.0,0.0,0.0280998,0,,,,,6.0,,1.0,4.0,4.0,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,True,33.0,33.0,1.0,1.0,27.0,27.0,6.0,6.0,1.0,2.0,3.0,,,45.0,40.0,6.6,1.0,0.0,0.0,0.00191534,0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,3.0,,,,,1.0,1.0,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Omar Marmoush,omar-marmoush,O. Marmoush,F,7,183,196340,M,873554,EUR,918345600,F,33,33,True,12.0,12.0,,,8.0,8.0,4.0,4.0,1.0,5.0,2.0,,,45.0,25.0,6.8,2.0,0.1006,0.0,0.00285819,2,,,,,5.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,OMarmoush,,,,1.0,1.0,,,,,,,,,,
10388528,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,True,11.0,6.0,1.0,,2.0,3.0,4.0,8.0,2.0,5.0,2.0,,,31.0,21.0,6.2,8.0,0.0,0.0,0.0100314,0,,,,,1.0,2.0,,2.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,
10388528,home,VfL Wolfsburg,Lukas Nmecha,lukas-nmecha,L. Nmecha,F,14,185,2645,M,803185,EUR,913593600,F,10,10,True,6.0,4.0,,,3.0,3.0,1.0,3.0,,,1.0,,,31.0,8.0,6.5,2.0,0.0,0.0,0.003973,0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
