match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_dispossessed,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_penaltyConceded,stat_goalAssist,stat_goals,stat_goodHighClaim,player_sofascoreId,stat_totalOffside,stat_penaltyWon
11409203,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,30.0,26.0,8.0,5.0,22.0,25.0,4.0,5.0,9.0,2.0,1.0,4.0,90.0,41.0,7.2,4.0,0.0,0.0,0.00100491,0,-0.1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409203,home,Gil Vicente,Zé Carlos,ze-carlos,Z. Carlos,D,2,177,69,M,1001662,EUR,901843200,D,2,2,False,49.0,38.0,5.0,1.0,23.0,28.0,15.0,24.0,5.0,,,,90.0,84.0,7.0,17.0,0.0279,0.6069,0.0211949,1,,Zé,Carlos,3.0,4.0,8.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,
11409203,home,Gil Vicente,Gabriel Pereira,gabriel-pereira,G. Pereira,D,5,188,592,M,992652,EUR,957657600,D,13,13,False,69.0,58.0,9.0,2.0,49.0,54.0,9.0,15.0,9.0,,,,90.0,80.0,6.5,11.0,0.119,0.0,0.00482337,1,,,,,1.0,3.0,1.0,,,,3.0,,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
11409203,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,54.0,43.0,8.0,2.0,36.0,41.0,7.0,14.0,3.0,,,,90.0,60.0,6.1,12.0,0.0525,0.3299,0.00204264,2,,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,,,,,1.0,True,1.0,2.0,1.0,1.0,,,,,,,,,,,
11409203,home,Gil Vicente,Leonardo Buta,leonardo-buta,L. Buta,D,24,182,172,M,1120038,EUR,1023235200,D,23,23,False,34.0,30.0,1.0,1.0,12.0,14.0,18.0,22.0,5.0,,,,90.0,48.0,6.3,8.0,0.0,0.0,0.00789659,0,,,,2.0,3.0,5.0,,1.0,,,,1.0,3.0,2.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
11409203,home,Gil Vicente,Pedro Tiba,pedro-tiba,P. Tiba,M,,174,70,M,138700,EUR,588988800,M,25,25,False,47.0,37.0,3.0,2.0,20.0,22.0,18.0,26.0,2.0,,,,90.0,65.0,7.6,17.0,0.0367,0.0,0.355859,1,,,,1.0,6.0,6.0,1.0,3.0,3.0,,1.0,1.0,3.0,3.0,,3.0,3.0,1.0,,,,,,,2.0,1.0,2.0,5.0,,,,,,,
11409203,home,Gil Vicente,Mory Gbane,gbane-mory,M. Gbane,M,24,188,509,M,1003400,EUR,977702400,M,24,24,False,34.0,29.0,,,19.0,21.0,10.0,13.0,6.0,,,,65.0,43.0,6.7,7.0,0.0,0.0,0.00907527,0,,,,,4.0,3.0,,,,,1.0,2.0,2.0,2.0,,2.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,
11409203,home,Gil Vicente,Marlon,marlon,Marlon,M,20,176,128,M,965796,EUR,874281600,M,11,11,False,12.0,8.0,,,3.0,5.0,5.0,8.0,6.0,,,,65.0,26.0,5.9,10.0,0.0,0.0,0.0155523,0,,,,1.0,12.0,3.0,3.0,5.0,2.0,,,1.0,1.0,1.0,,4.0,1.0,,,,,,,,2.0,,,,1.0,,,,,,
11409203,home,Gil Vicente,Kanya Fujimoto,kanya-fujimoto,K. Fujimoto,M,27,176,609,M,925987,EUR,930787200,M,10,10,False,50.0,41.0,,,12.0,14.0,29.0,38.0,3.0,,,,90.0,66.0,7.8,15.0,0.075,0.0,0.176532,2,,,,2.0,2.0,4.0,1.0,,,,,,2.0,1.0,2.0,,2.0,2.0,,,,,,,1.0,,,3.0,,2.0,,,,,
11409203,home,Gil Vicente,Maxime Dominguez,maxime-dominguez,M. Dominguez,M,10,172,688,M,282233,EUR,823132800,M,8,8,False,47.0,43.0,3.0,2.0,17.0,17.0,26.0,32.0,10.0,,,,90.0,65.0,7.2,10.0,0.0937,0.1505,0.0547796,2,,,,2.0,9.0,5.0,3.0,6.0,3.0,2.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,
