match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_ownGoals,player_firstName,player_lastName,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox
11768329,home,Charlton Athletic,Sam Walker,sam-walker,S. Walker,G,1,199.0,34,M,149772,EUR,686361600.0,G,40,40,False,19.0,17.0,5.0,3.0,16.0,16.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,90.0,26.0,6.7,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11768329,home,Charlton Athletic,James Abankwah,james-abankwah,J. Abankwah,D,25,188.0,425,M,1127232,EUR,1074211200.0,D,13,13,False,60.0,49.0,7.0,5.0,21.0,24.0,30.0,40.0,,8.0,,,,,61.0,85.0,7.3,19.0,1,4.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
11768329,home,Charlton Athletic,Lucas Ness,lucas-ness,L. Ness,D,12,191.0,31,M,1063041,EUR,1013040000.0,D,5,5,False,83.0,73.0,3.0,2.0,50.0,55.0,23.0,29.0,1.0,6.0,,,,,90.0,96.0,6.7,13.0,0,1.0,,3.0,2.0,4.0,4.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11768329,home,Charlton Athletic,Terell Thomas,terell-thomas,T. Thomas,D,4,183.0,28,M,611764,EUR,876700800.0,D,3,3,False,73.0,64.0,10.0,6.0,39.0,42.0,25.0,31.0,2.0,2.0,,,,,90.0,78.0,6.9,10.0,0,,,2.0,1.0,3.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
11768329,home,Charlton Athletic,Adetayo Edun,edun-adetayo,A. Edun,D,14,171.0,43,M,795065,EUR,895104000.0,D,17,17,False,37.0,27.0,4.0,1.0,19.0,21.0,9.0,17.0,2.0,3.0,,,,,61.0,51.0,6.9,11.0,0,1.0,1.0,,1.0,2.0,4.0,3.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,Adetayo,Edun,,,,,,,,,,
11768329,home,Charlton Athletic,Karoy Anderson,karoy-anderson,K. Anderson,M,23,180.0,189,M,1400998,EUR,1096588800.0,M,33,33,False,74.0,60.0,4.0,3.0,21.0,24.0,39.0,50.0,1.0,7.0,,,,,90.0,92.0,7.6,22.0,3,,,4.0,2.0,9.0,4.0,2.0,1.0,,,5.0,1.0,3.0,3.0,,1.0,,,,Karoy Anderson,,1.0,1.0,1.0,2.0,,,,,,
11768329,home,Charlton Athletic,Conor McGrandles,conor-mcgrandles,C. McGrandles,M,14,183.0,32,M,255015,EUR,811900800.0,M,16,16,False,60.0,52.0,7.0,2.0,24.0,25.0,28.0,36.0,1.0,8.0,,,,,74.0,69.0,7.1,11.0,0,1.0,,,1.0,,4.0,,,,3.0,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,
11768329,home,Charlton Athletic,Scott Fraser,scott-fraser,S. Fraser,M,,183.0,20,M,556364,EUR,796521600.0,M,10,10,False,52.0,44.0,6.0,5.0,15.0,15.0,30.0,40.0,,10.0,,,,,90.0,76.0,8.1,20.0,3,3.0,1.0,1.0,1.0,9.0,5.0,6.0,2.0,,2.0,2.0,1.0,1.0,3.0,,1.0,,2.0,,,,,2.0,1.0,,True,1.0,1.0,,,
11768329,home,Charlton Athletic,Chem Campbell,campbell-chem,C. Campbell,F,20,180.0,144,M,1177311,EUR,1041206400.0,F,27,27,False,36.0,33.0,1.0,1.0,9.0,10.0,25.0,29.0,,2.0,,,,,74.0,59.0,7.8,11.0,6,3.0,1.0,,2.0,4.0,8.0,5.0,2.0,,,,2.0,1.0,2.0,,4.0,,,,,,,2.0,1.0,3.0,,1.0,,,,
11768329,home,Charlton Athletic,Slobodan Tedić,slobodan-tedic,S. Tedić,F,9,190.0,286,M,905103,EUR,955584000.0,F,30,30,False,17.0,15.0,,,3.0,3.0,12.0,15.0,2.0,3.0,,,,,90.0,31.0,7.5,5.0,5,1.0,,6.0,2.0,6.0,3.0,1.0,3.0,,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,
