match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalCross,stat_fouls,stat_accurateCross,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist
10407319,home,KAA Gent,Paul Nardi,,,paul-nardi,P. Nardi,G,16,187,112,M,155717,EUR,769219200,G,1,1,False,16.0,15.0,4.0,3.0,13.0,13.0,2.0,3.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,90.0,27.0,6.7,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407319,home,KAA Gent,Alessio Castro-Montes,,,alessio-castro-montes,A. Castro-Montes,M,21,175,290,M,839898,EUR,863827200,D,14,14,False,73.0,65.0,7.0,7.0,35.0,37.0,30.0,36.0,,11.0,1.0,8.0,,,,90.0,99.0,8.0,13.0,2,6.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,
10407319,home,KAA Gent,Joseph Okumu,,,joseph-okumu,J. Okumu,D,2,193,662,M,985933,EUR,864604800,D,2,2,False,99.0,86.0,18.0,11.0,52.0,56.0,34.0,43.0,3.0,5.0,5.0,14.0,,,,90.0,111.0,7.0,13.0,0,1.0,1.0,,,,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10407319,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,85.0,76.0,5.0,2.0,53.0,55.0,23.0,30.0,1.0,4.0,,7.0,,,,90.0,100.0,6.5,12.0,1,6.0,2.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
10407319,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,46.0,32.0,2.0,1.0,9.0,13.0,23.0,35.0,,5.0,1.0,1.0,,,,70.0,76.0,6.2,26.0,0,7.0,1.0,2.0,5.0,2.0,,,2.0,2.0,1.0,1.0,,,,4.0,2.0,1.0,,,,,,,,,,,
10407319,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,96.0,86.0,7.0,4.0,34.0,35.0,53.0,66.0,,2.0,2.0,11.0,,,,90.0,115.0,7.0,15.0,0,3.0,2.0,1.0,1.0,1.0,,,4.0,1.0,,,,,,,5.0,,1.0,1.0,,,,,,,,,
10407319,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,92.0,78.0,13.0,10.0,27.0,32.0,51.0,60.0,1.0,9.0,,10.0,,,,90.0,113.0,7.8,17.0,1,5.0,2.0,1.0,,,,1.0,2.0,8.0,5.0,,2.0,2.0,,2.0,,,,,,,,,,,,,
10407319,home,KAA Gent,Vadis Odjidja-Ofoe,Vadis,Odjidja-Ofoe,vadis-odjidja-ofoe,V. Odjidja-Ofoe,M,8,185,357,M,17806,EUR,604022400,M,8,8,False,34.0,27.0,2.0,1.0,7.0,7.0,20.0,28.0,1.0,5.0,1.0,4.0,,,,45.0,47.0,7.1,10.0,1,3.0,1.0,1.0,2.0,2.0,1.0,,,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,True,,,,,,,,
10407319,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6184,M,1195784,EUR,1112227200,M,19,19,False,30.0,27.0,1.0,1.0,14.0,15.0,13.0,15.0,,5.0,,1.0,,,,69.0,57.0,6.7,10.0,0,4.0,1.0,,5.0,2.0,,,1.0,3.0,1.0,,1.0,,,4.0,,,,,,,,,,,,,
10407319,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1408,M,836289,EUR,855273600,F,11,11,False,24.0,20.0,,,7.0,8.0,13.0,16.0,2.0,3.0,1.0,1.0,,,,90.0,42.0,6.7,8.0,5,4.0,,1.0,,,,,2.0,1.0,1.0,,,3.0,2.0,2.0,,,,,,2.0,3.0,1.0,,,,,
10407319,home,KAA Gent,Gift Orban,,,gift-orban,G. Orban,F,16,178,5532,M,1217613,EUR,1026864000,F,20,20,False,26.0,16.0,4.0,1.0,4.0,4.0,12.0,22.0,,1.0,,,,,,83.0,32.0,6.4,13.0,0,5.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,giftorban,1.0,,,
