match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wasFouled,stat_keyPass,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalAssist,stat_outfielderBlock
10411667,away,Lecce,Youssef Maleh,maleh-youssef,Y. Maleh,M,29,177,1361,M,,849274,EUR,903744000,M,32,32,False,19.0,13.0,3.0,1.0,4.0,5.0,9.0,14.0,1.0,3.0,,,72.0,31.0,6.5,8.0,0.0,0.0,0.00362372,0,,,1.0,,7.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Federico Di Francesco,federico-di-francesco,F. D. Francesco,M,94,171,208,M,,320979,EUR,771552000,F,11,11,False,16.0,14.0,,,2.0,3.0,12.0,15.0,2.0,3.0,,,69.0,26.0,6.8,5.0,0.0,0.0,0.00936489,0,,,,,2.0,3.0,,,,,,,,,3.0,2.0,2.0,,1.0,2.0,,1.0,,,,,,1.0,,,,,,,
10411667,away,Lecce,Assan Ceesay,assan-ceesay,A. Ceesay,F,,188,448,M,,842158,EUR,763862400,F,77,77,False,22.0,13.0,1.0,,6.0,6.0,7.0,16.0,1.0,2.0,,,62.0,44.0,7.6,19.0,0.0188,0.4458,0.00501544,1,,,1.0,3.0,6.0,9.0,,2.0,4.0,3.0,,1.0,,1.0,3.0,2.0,2.0,,,,,6.0,,,,,1.0,1.0,,,,,,,
10411667,away,Lecce,Lameck Banda,lameck-banda,L. Banda,M,19,165,4769,M,lameckbanda.10,911350,EUR,980726400,F,22,22,False,12.0,11.0,1.0,1.0,3.0,3.0,8.0,9.0,,1.0,,,62.0,32.0,6.7,10.0,0.0251,0.0,0.00362541,1,,,2.0,,9.0,7.0,4.0,3.0,3.0,3.0,1.0,,,,3.0,3.0,,1.0,,,,6.0,,,,,,,,,,,,,
10411667,away,Lecce,Gabriel Strefezza,gabriel-strefezza,G. Strefezza,M,7,168,2181,M,,877201,EUR,861321600,F,27,27,True,4.0,4.0,,,2.0,2.0,3.0,5.0,,2.0,,,28.0,15.0,7.1,5.0,0.0,0.0,0.297996,0,,,3.0,,3.0,3.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,3.0,1.0,2.0,,,1.0,,,,,,,,,1.0,
10411667,away,Lecce,Lorenzo Colombo,lorenzo-colombo,L. Colombo,F,29,183,2440,M,,930191,EUR,1015545600,F,9,9,True,3.0,1.0,,,1.0,1.0,,2.0,,1.0,,,28.0,12.0,6.4,6.0,0.0604,0.0,1.748e-05,1,,,5.0,,6.0,,,,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,
10411667,away,Lecce,Pietro Ceccaroni,pietro-ceccaroni,P. Ceccaroni,D,32,188,139,M,,373724,EUR,819504000,D,18,18,True,5.0,2.0,2.0,,1.0,2.0,1.0,3.0,1.0,3.0,,,22.0,11.0,6.7,3.0,0.0,0.0,0.00017196,0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0
10411667,away,Lecce,Rémi Oudin,remi-oudin,R. Oudin,M,28,185,292,M,,842709,EUR,848275200,F,28,28,True,9.0,7.0,,,3.0,3.0,4.0,6.0,,1.0,,,21.0,13.0,6.6,2.0,0.0,0.0,0.00270558,0,,,1.0,1.0,3.0,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Kristoffer Askildsen,askildsen-kristoffer,K. Askildsen,M,19,190,141,M,,954855,EUR,978998400,M,7,7,True,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,,2.0,,,18.0,6.0,6.4,3.0,0.0,0.0,0.00111963,0,,,1.0,,3.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
10411667,away,Lecce,Marco Bleve,marco-bleve,M. Bleve,G,1,184,60,M,,307036,EUR,813974400,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Federico Brancolini,federico-brancolini,F. Brancolini,G,12,192,112,M,,848420,EUR,995068800,G,21,21,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Tommaso Cassandro,tommaso-cassandro,T. Cassandro,D,84,185,120,M,,929775,EUR,947376000,D,84,84,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Mats Lemmens,mats-lemmens,M. Lemmens,D,83,184,74,M,,1137727,EUR,1015718400,D,83,83,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,,111487,EUR,634521600,D,4,4,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Þórir Jóhann Helgason,thorir-johann-helgason,J. T. Helgason,M,14,187,318,M,,886628,EUR,970099200,M,14,14,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Giuseppe Pezzella,giuseppe-pezzella,G. Pezzella,M,3,187,619,M,,814589,EUR,880761600,D,97,97,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,away,Lecce,Joel Voelkerling Persson,joel-voelkerling-persson,J. V. Persson,F,34,194,90,M,,1087744,EUR,1042588800,F,31,31,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
