match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_possessionLostCtrl,stat_aerialWon,stat_duelWon,stat_totalContest,stat_totalClearance,player_firstName,player_lastName,stat_shotOffTarget,stat_accurateCross,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_wasFouled,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded
10411554,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,15.0,15.0,15.0,15.0,5.0,4.0,4.0,90.0,22.0,7.8,0.0,0.0,4.032e-05,0,0.3778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411554,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,74.0,64.0,17.0,17.0,1.0,,,90.0,83.0,6.8,0.0,0.0,0.058382,0,,dilorenzo22,True,6.0,4.0,47.0,60.0,3.0,2.0,3.0,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411554,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,93.0,92.0,37.0,37.0,12.0,,,90.0,97.0,6.9,0.0,0.0,0.0573354,0,,,,4.0,3.0,55.0,56.0,,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10411554,home,Napoli,Leo Østigård,leo-ostigard,L. Østigård,D,5,182,1809,M,879746,EUR,943747200,D,55,55,False,91.0,82.0,37.0,40.0,6.0,,,90.0,98.0,7.3,0.0808,0.0,0.0175217,1,,,,6.0,4.0,45.0,51.0,,3.0,3.0,,1.0,9.0,7.0,7.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,
10411554,home,Napoli,Mário Rui,mario-rui,M. Rui,D,,168,1034,M,99546,EUR,675302400,D,6,6,False,60.0,54.0,19.0,19.0,9.0,,,77.0,78.0,7.3,0.0359,0.0,0.374721,1,,,,5.0,5.0,37.0,46.0,5.0,1.0,3.0,1.0,,10.0,,3.0,,,,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10411554,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,90.0,84.0,12.0,12.0,7.0,,,80.0,104.0,7.1,0.091,0.0479,0.0971338,2,,anguiss_29,,3.0,3.0,72.0,78.0,,,7.0,1.0,3.0,9.0,3.0,5.0,1.0,,,,1.0,,,,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
10411554,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,74.0,71.0,19.0,19.0,8.0,,,90.0,82.0,7.0,0.0,0.0,0.0736839,0,,StanLobotka,,1.0,1.0,52.0,55.0,,,3.0,2.0,,3.0,,3.0,1.0,,,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
10411554,home,Napoli,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,138605,EUR,769392000,M,20,20,False,66.0,64.0,8.0,8.0,2.0,,,68.0,76.0,7.8,0.1205,0.0,0.457728,1,,zielu_94,,4.0,4.0,57.0,62.0,4.0,,,,,7.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,5.0,,1.0,,,,,,,,,,,,
10411554,home,Napoli,Eljif Elmas,eljif-elmas,E. Elmas,M,20,182,3699,M,838232,EUR,938131200,F,7,7,False,68.0,67.0,13.0,13.0,2.0,,,68.0,79.0,6.9,0.1376,0.0232,0.0554638,3,,,,,,54.0,56.0,1.0,,1.0,1.0,,4.0,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,
10411554,home,Napoli,Victor Osimhen,victor-osimhen,V. Osimhen,F,45,186,227771,M,822471,EUR,914889600,F,9,9,False,27.0,22.0,,,,,,77.0,43.0,7.8,0.9132,1.1432,0.148119,5,,Osimhen9,,,,22.0,27.0,,3.0,6.0,,,11.0,2.0,4.0,,,,,1.0,,,,4.0,1.0,4.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,
