match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_outfielderBlock,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
14083127,home,Sevilla,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,1,1,False,34.0,21.0,19.0,6.0,0.0,17.0,21.0,4.0,13.0,2.0,14.0,1.0,1.0,2.0,3.0,2.0,2.0,90.0,52.0,7.0,14.0,0.00132313,49.34284208849,8.0,21.42,7.56,0.3426,0,0.1939,0.03,0.01,-0.03,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083127,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,2,2,False,47.0,34.0,9.0,3.0,0.0,27.0,30.0,7.0,17.0,5.0,3.0,,3.0,,,,,90.0,82.0,6.7,28.0,0.212873,143.52557328886,18.0,74.97,24.57,,0,,0.17,0.3,-0.18,,2.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,25.107630792251,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14083127,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,68332,EUR,690249600,D,6,6,False,42.0,36.0,5.0,2.0,0.0,34.0,36.0,2.0,6.0,8.0,1.0,1.0,1.0,,,,,73.0,55.0,6.5,7.0,0.0064724,61.628120237199,11.0,22.26,7.875,,0,,0.09,0.02,-0.12,,,3.0,3.0,4.0,,,,1.0,1.0,,,,,True,2.0,3.0,,,,,,,,,,,,,,,,,,
14083127,home,Sevilla,Kike Salas,,,kike-salas,K. Salas,D,4,186,890,M,1097719,EUR,1019433600,D,4,4,False,50.0,37.0,9.0,3.0,0.0,31.0,36.0,6.0,14.0,11.0,3.0,,,,,,,90.0,71.0,7.1,14.0,0.0317365,101.6001685464,13.0,58.485,18.06,,2,,0.07,0.17,0.52,,,4.0,4.0,6.0,,,1.0,1.0,1.0,,,,1.0,,1.0,3.0,2.0,1.0,2.0,0.4284,0.2264,0.07,,,,,,,,,,,,
14083127,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,M,16,16,False,25.0,20.0,3.0,2.0,1.0,9.0,10.0,11.0,15.0,2.0,9.0,,1.0,,,,,90.0,45.0,7.4,7.0,0.0677163,112.81697732135,10.0,91.77,28.56,,0,,0.38,0.15,-0.01,,4.0,,6.0,7.0,1.0,,3.0,5.0,2.0,,46.565830024909,2.0,2.0,,,,3.0,2.0,,,,,1.0,1.0,,,,,,,,,,
14083127,home,Sevilla,Lucien Agoumé,,,lucien-agoume,L. Agoumé,M,18,185,2096,M,960006,EUR,1013212800,M,18,18,False,37.0,29.0,4.0,2.0,0.0,19.0,23.0,10.0,14.0,5.0,4.0,,2.0,,,,,90.0,56.0,7.2,12.0,0.012012,23.847392603315,4.0,4.41,8.925,,0,,0.12,0.01,0.43,,2.0,4.0,5.0,7.0,,1.0,2.0,3.0,2.0,,,,1.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,
14083127,home,Sevilla,Djibril Sow,,,djibril-sow,D. Sow,M,20,184,1941,M,799054,EUR,855187200,M,20,20,False,20.0,18.0,,,0.0,13.0,15.0,5.0,5.0,1.0,1.0,,1.0,,,,,45.0,30.0,6.7,4.0,0.137107,26.748090129192,4.0,5.46,6.09,,1,,0.18,0.0,0.15,,3.0,3.0,4.0,4.0,,,1.0,,,1.0,,,2.0,,,,1.0,,,0.0167,,-0.1,2.0,2.0,,1.0,,,,,,,,
14083127,home,Sevilla,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,M,12,12,False,30.0,21.0,4.0,2.0,0.0,9.0,11.0,12.0,19.0,1.0,7.0,,3.0,,,,,57.0,44.0,6.3,15.0,0.0445105,158.55050269382,16.0,106.155,19.53,,1,,0.21,0.2,-0.08,,1.0,,4.0,,1.0,,,,,,49.467460723111,3.0,1.0,,,1.0,1.0,,,0.0608,,-0.22,3.0,1.0,,,1.0,,,,,,,
14083127,home,Sevilla,Peque Fernández,,,peque-fernandez,P. Fernández,M,14,168,904,M,997033,EUR,1033689600,F,14,14,False,16.0,13.0,2.0,,0.0,7.0,7.0,6.0,9.0,,3.0,,2.0,,,,,81.0,35.0,7.8,10.0,0.00791225,59.90627912978,6.0,45.36,13.545,,2,,-0.07,0.02,0.17,,1.0,,3.0,6.0,,1.0,1.0,2.0,1.0,4.0,,,1.0,,,,1.0,,1.0,0.1702,0.8016,0.5,3.0,,,1.0,,1.0,,,,,,
14083127,home,Sevilla,Isaac Romero,,,romero-isaac,I. Romero,F,7,184,1472,M,1018190,EUR,958608000,F,7,7,False,14.0,6.0,,,0.0,3.0,5.0,3.0,9.0,,3.0,,4.0,,,,,81.0,40.0,6.2,19.0,0.0043322,48.747462606936,8.0,10.92,9.765,,1,,-0.18,0.12,-0.04,,6.0,3.0,15.0,9.0,1.0,3.0,1.0,2.0,2.0,4.0,10.097486617966,1.0,,,,3.0,3.0,1.0,1.0,0.0375,0.0164,-0.14,1.0,,,,,,,,,,,
