match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_interceptionWon,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_challengeLost,stat_shotOffTarget,stat_totalOffside,captain,stat_accurateCross,stat_goals,player_sofascoreId,stat_punches,stat_bigChanceMissed
14131980,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194.0,548,M,963744,EUR,1026518400,G,1,1,False,39.0,33.0,10.0,5.0,0.0,32.0,36.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,90.0,46.0,7.5,6.0,0.00053798,80.611869212008,11.0,48.72,10.185,0.4128,0,0.6748,0.0,0.03,0.19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131980,home,Sporting Braga,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193.0,476,M,965263,EUR,955324800,D,14,14,False,119.0,113.0,5.0,3.0,0.0,52.0,54.0,61.0,65.0,4.0,7.0,5.0,5.0,,,,,,90.0,133.0,7.9,6.0,0.0444361,436.60187141855,59.0,164.43,22.575,,2,,0.41,0.26,0.27,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1352,0.2159,1.0,-0.26,,,,,,,,,,,,,,,,,,,
14131980,home,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186.0,1565,M,868235,EUR,931564800,D,4,4,False,83.0,80.0,1.0,,0.0,64.0,65.0,16.0,18.0,3.0,4.0,1.0,3.0,,,,,,82.0,87.0,7.3,4.0,0.0076309,283.81904586086,42.0,68.775,10.5,,0,,0.13,0.11,0.17,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14131980,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187.0,788,M,997173,EUR,1048636800,D,26,26,False,70.0,66.0,3.0,2.0,0.0,35.0,37.0,31.0,33.0,1.0,3.0,6.0,3.0,,,,,,90.0,80.0,7.2,5.0,0.0114195,120.56157645218,18.0,28.14,15.435,,0,,0.01,0.04,0.31,,1.0,,,,2.0,2.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14131980,home,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185.0,489,M,1134430,EUR,1043193600,M,77,77,False,56.0,47.0,1.0,1.0,1.0,10.0,11.0,37.0,45.0,,2.0,,1.0,,,,,,70.0,79.0,7.0,24.0,0.205177,284.04685541922,37.0,87.675,29.4,,0,,0.36,-0.52,0.13,,8.0,,,,1.0,,,1.0,,,2.0,,1.0,4.0,Gabriel Martínez,,,3.0,2.0,5.0,1.0,1.0,,,,,,,,,
14131980,home,Sporting Braga,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187.0,750,M,186719,EUR,807753600,M,27,27,False,110.0,101.0,7.0,4.0,0.0,42.0,46.0,59.0,64.0,1.0,9.0,,5.0,,,,,,90.0,123.0,7.7,11.0,0.0381758,315.15695748313,47.0,72.87,27.09,,0,,0.18,0.26,0.22,,3.0,,,,1.0,1.0,6.0,,,,,,3.0,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,
14131980,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171.0,1563,M,6562,EUR,526521600,M,8,8,False,87.0,83.0,3.0,2.0,0.0,26.0,26.0,57.0,61.0,,3.0,,5.0,,,,,,59.0,92.0,7.3,4.0,0.0840314,311.97830527787,42.0,142.8,20.37,,0,,0.28,0.29,0.13,,1.0,,,,2.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
14131980,home,Sporting Braga,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175.0,353,M,1006865,EUR,954374400,M,5,5,False,36.0,32.0,2.0,,0.0,15.0,16.0,17.0,20.0,,3.0,1.0,5.0,,,,,,90.0,52.0,6.6,10.0,0.0211246,99.793384336054,16.0,9.135,16.695,,0,,-0.15,-0.16,0.0,,3.0,,,,,,1.0,,,,1.0,,2.0,1.0,,,,3.0,,3.0,2.0,,,,,,,,,,
14131980,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174.0,2789,M,966575,EUR,934416000,F,10,10,False,45.0,40.0,,,0.0,4.0,4.0,36.0,41.0,,1.0,,3.0,,,,,,59.0,50.0,6.5,6.0,0.0648912,101.53023146771,16.0,9.6599999999999,13.125,,2,,0.04,0.15,-0.05,,2.0,1.0,,,,,1.0,,0.0634,0.0167,,-0.24,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,
14131980,home,Sporting Braga,Fran Navarro,fran-navarro,F. Navarro,F,39,179.0,1028,M,914772,EUR,886464000,F,39,39,False,15.0,11.0,,,0.0,5.0,6.0,6.0,9.0,,2.0,,,,,,,,83.0,19.0,6.4,5.0,0.00846457,46.326974248112,8.0,5.25,10.395,,1,,-0.23,0.19,-0.05,,3.0,,1.0,,1.0,,,2.0,0.081,,,-0.37,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,
