match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_lastManTackle,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,player_sofascoreId,captain,stat_errorLeadToAShot
14429528,home,Al-Ettifaq,Marek Rodák,marek-rodak,M. Rodák,G,1,188.0,518,M,358694,EUR,850435200.0,G,1,1,False,27.0,20.0,8.0,1.0,0.0,19.0,20.0,1.0,7.0,2.0,11.0,1.0,2.0,3.0,90.0,40.0,6.7,8.0,0.00037125,0.1053,0,0.004,0.0,-0.09,0.17,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Radhi Al-Oteibi,radhi-al-oteibi,R. Al-Oteibi,D,61,170.0,28,M,963642,EUR,960768000.0,D,61,61,False,19.0,18.0,2.0,1.0,0.0,8.0,9.0,10.0,10.0,,3.0,1.0,,,80.0,28.0,6.2,3.0,0.00339631,,0,,-0.02,0.04,-0.21,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Jack Hendry,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800.0,D,4,4,False,69.0,62.0,8.0,4.0,0.0,45.0,46.0,17.0,23.0,4.0,2.0,1.0,,,90.0,78.0,7.2,8.0,0.00913676,,0,,0.11,0.18,0.46,,,1.0,4.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Abdullah Madu,abdullah-madu,A. Madu,D,3,186.0,189,M,794347,EUR,742694400.0,D,3,3,False,36.0,36.0,1.0,1.0,0.0,27.0,27.0,9.0,9.0,1.0,1.0,,,,45.0,40.0,6.2,1.0,0.00254644,,0,,0.05,0.04,-0.25,,,2.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181.0,677,M,156400,EUR,710553600.0,D,5,5,False,43.0,41.0,5.0,4.0,0.0,25.0,25.0,16.0,18.0,,4.0,2.0,,,90.0,60.0,6.9,7.0,0.150994,,0,,0.24,0.04,-0.13,,1.0,4.0,4.0,2.0,1.0,3.0,2.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Faris Al Ghamdi,faris-al-ghamdi,F. A. Ghamdi,M,6,,47,M,1547371,EUR,1057363200.0,M,6,6,False,35.0,28.0,3.0,1.0,0.0,7.0,9.0,21.0,26.0,,4.0,2.0,,,89.0,49.0,6.4,13.0,0.0126336,,1,,-0.04,0.1,-0.12,,2.0,5.0,4.0,2.0,,4.0,2.0,1.0,Faris Al Ghamdi,,,,,,1.0,1.0,,,1.0,0.008,-0.09,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Mukhtar Ali,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600.0,M,7,7,False,35.0,33.0,3.0,1.0,0.0,15.0,15.0,18.0,20.0,4.0,2.0,1.0,,,81.0,47.0,6.8,4.0,0.015697,,0,,0.24,0.02,-0.05,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14429528,home,Al-Ettifaq,Mohau Nkota,mohau-nkota,M. Nkota,M,15,167.0,3929,M,1890491,EUR,1099958400.0,M,15,15,False,28.0,25.0,1.0,1.0,0.0,3.0,3.0,22.0,25.0,1.0,7.0,2.0,,,90.0,42.0,8.0,7.0,0.0513084,,4,,0.15,0.59,-0.07,,1.0,3.0,3.0,1.0,,1.0,1.0,,Mohau,Nkota,,,,,,3.0,2.0,,1.0,0.483,0.51,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1912,1.0,,,,
14429528,home,Al-Ettifaq,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600.0,M,10,10,False,42.0,36.0,10.0,7.0,0.0,11.0,11.0,25.0,31.0,,3.0,2.0,,,90.0,59.0,6.7,17.0,0.280886,,1,,0.44,0.31,-0.15,,4.0,8.0,,2.0,2.0,,,2.0,,,,,,,3.0,1.0,,,,0.0459,-0.27,1.0,,,1.0,,,,,4.0,1.0,,,
14429528,home,Al-Ettifaq,Khalid Al-Ghannam,khalid-al-ghannam,K. Al-Ghannam,M,17,171.0,713,M,976538,EUR,973641600.0,M,17,17,False,16.0,14.0,1.0,1.0,1.0,2.0,2.0,12.0,14.0,1.0,1.0,1.0,,,70.0,20.0,7.0,4.0,0.27932,,0,,0.38,0.07,0.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,
14429528,home,Al-Ettifaq,Georginio Wijnaldum,georginio-wijnaldum,G. Wijnaldum,M,8,175.0,8339,M,22126,EUR,658281600.0,F,8,8,False,16.0,13.0,,,0.0,5.0,5.0,8.0,11.0,1.0,1.0,3.0,,,90.0,26.0,7.1,8.0,0.0085775,,2,,-0.16,-0.01,0.14,,,3.0,2.0,,,,,1.0,,,1.0,,1.0,,,2.0,,,,0.6488,0.5,1.0,,2.0,,,1.0,1.0,0.6061,,,gwijnaldum,True,
