match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_challengeLost,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonTackle,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
14109705,home,Trabzonspor,André Onana,,,andre-onana,A. Onana,G,24,190,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,52.0,40.0,19.0,8.0,0.0,34.0,36.0,6.0,16.0,9.0,2.0,2.0,90.0,61.0,7.0,12.0,0.00076945,0.2199,0,-0.1378,0.09,0.18,0.16,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109705,home,Trabzonspor,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,,1513625,EUR,1036281600,D,20,20,False,52.0,46.0,4.0,1.0,0.0,22.0,22.0,24.0,30.0,5.0,,,90.0,76.0,7.3,10.0,0.059362,,0,,0.31,0.14,0.17,,3.0,1.0,2.0,7.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14109705,home,Trabzonspor,Rayyan Baniya,,,rayyan-baniya,R. Baniya,D,23,192,339,M,,929739,EUR,919296000,D,23,23,False,73.0,67.0,5.0,3.0,0.0,50.0,52.0,17.0,21.0,3.0,,,90.0,77.0,6.8,6.0,0.00522255,,0,,0.03,0.16,-0.13,,,,3.0,2.0,,,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14109705,home,Trabzonspor,Okay Yokuşlu,,,okay-yokuslu,O. Yokuşlu,M,5,190,809,M,,97967,EUR,763171200,D,5,5,False,103.0,94.0,6.0,2.0,0.0,77.0,80.0,17.0,23.0,6.0,,,90.0,115.0,7.0,10.0,0.00354071,,0,,0.1,0.17,0.28,,,,2.0,3.0,,,4.0,4.0,1.0,,1.0,,,,2.0,3.0,,True,,,,,,,,,,,,,,
14109705,home,Trabzonspor,Mustafa Eskihellaç,,,mustafa-eskihellac,M. Eskihellaç,D,19,175,571,M,,899069,EUR,862790400,D,19,19,False,42.0,36.0,7.0,3.0,0.0,28.0,31.0,8.0,11.0,5.0,,,76.0,63.0,6.6,9.0,0.0273456,,2,,0.09,0.33,-0.1,,1.0,,4.0,4.0,1.0,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,0.0946,-0.33,,,,,,,,
14109705,home,Trabzonspor,Christ Inao Oulaï,Christ Inao Oulaï,,christ-inao-oulai,C. I. Oulaï,M,42,173,9524,M,,1888002,EUR,1144281600,M,42,42,False,50.0,42.0,2.0,1.0,0.0,26.0,29.0,16.0,21.0,3.0,,,76.0,59.0,6.6,11.0,0.0216227,,0,,-0.12,0.27,-0.17,,,,6.0,5.0,1.0,1.0,,,,3.0,,1.0,1.0,2.0,,,3.0,,,,,2.0,,,2.0,,,,,,,
14109705,home,Trabzonspor,Tim Jabol-Folcarelli,Tim Jabol-Folcarelli,,tim-jabol-folcarelli,T. Jabol-Folcarelli,M,26,187,314,M,,1106446,EUR,944438400,M,26,26,False,48.0,43.0,1.0,,0.0,26.0,27.0,17.0,21.0,7.0,,,90.0,67.0,6.6,8.0,0.0148858,,2,,0.04,0.22,0.23,,,,7.0,6.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,,2.0,,,,,2.0,,1.0,0.3288,-0.51,1.0,1.0,,,,,,
14109705,home,Trabzonspor,Oleksandr Zubkov,,,oleksandr-zubkov,O. Zubkov,M,22,182,1318,M,,353282,EUR,839030400,M,22,22,False,33.0,27.0,5.0,4.0,0.0,12.0,12.0,15.0,21.0,3.0,,,90.0,51.0,7.6,10.0,0.553163,,1,,0.75,0.28,-0.17,,5.0,4.0,4.0,2.0,1.0,1.0,,,,1.0,2.0,,1.0,4.0,,,2.0,,2.0,,1.0,,0.0222,-0.01,1.0,,,,,,,
14109705,home,Trabzonspor,Felipe Augusto,Felipe Augusto,,felipe-augusto,F. Augusto,F,99,187,1396,M,,1106681,EUR,1077062400,M,99,99,False,14.0,14.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,1.0,,,59.0,20.0,6.5,2.0,0.00421339,,1,,-0.1,-0.18,-0.05,,,,2.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,0.0362,0.0,,,,,,,,
14109705,home,Trabzonspor,Kazeem Olaigbe,,,kazeem-olaigbe,K. Olaigbe,F,70,178,767,M,,1004346,EUR,1041465600,M,70,70,False,20.0,19.0,1.0,1.0,0.0,10.0,11.0,9.0,9.0,2.0,,,59.0,31.0,6.6,5.0,0.0754738,,2,,0.0,0.27,0.16,,2.0,1.0,2.0,,,,,,1.0,,2.0,,1.0,1.0,,,,,,2.0,,,0.0887,-0.34,1.0,,,,,,,
