match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_aerialWon,stat_blockedScoringAttempt,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAShot
12448217,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,42.0,35.0,18.0,11.0,0.0,28.0,29.0,7.0,13.0,1.0,7.0,1.0,3.0,2.0,2.0,90.0,50.0,7.5,7.0,0.00369059,0,0.2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448217,home,Feyenoord,Givairo Read,,,givairo-read,G. Read,D,26,175,1865,M,1388535,EUR,1149206400,D,26,26,False,25.0,23.0,3.0,1.0,0.0,13.0,15.0,10.0,11.0,1.0,4.0,,,,,60.0,40.0,6.7,6.0,0.00802278,0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12448217,home,Feyenoord,Thomas Beelen,,,thomas-beelen,T. Beelen,D,3,190,421,M,1127916,EUR,992217600,D,3,3,False,67.0,64.0,6.0,5.0,0.0,33.0,33.0,31.0,34.0,5.0,4.0,,,,,75.0,77.0,7.3,4.0,0.0171694,0,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12448217,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,115.0,107.0,8.0,6.0,0.0,67.0,71.0,40.0,45.0,1.0,5.0,,,,,90.0,124.0,7.7,9.0,0.0311905,1,,1.0,,1.0,,,1.0,1.0,,,,,True,1.0,1.0,0.0748,1.0,,,,,,,,,,,,,,
12448217,home,Feyenoord,Gijs Smal,,,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,79.0,69.0,9.0,4.0,0.0,25.0,31.0,45.0,56.0,2.0,7.0,,,,,90.0,114.0,7.5,20.0,0.182417,1,,8.0,1.0,4.0,,1.0,,,1.0,1.0,1.0,,,,2.0,0.0995,1.0,1.0,1.0,1.0,,,,,,,,,,,
12448217,home,Feyenoord,Ramiz Zerrouki,,,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,6,6,False,81.0,77.0,5.0,5.0,0.0,22.0,23.0,55.0,58.0,,5.0,,,,,90.0,89.0,7.7,6.0,0.215125,1,,,4.0,3.0,,,,1.0,2.0,1.0,2.0,2.0,,,1.0,0.0756,3.0,,,,rramizz_,1.0,1.0,1.0,0.0674,,,,,,
12448217,home,Feyenoord,Anis Hadj Moussa,,,anis-hadj-moussa,A. H. Moussa,F,23,176,22233,M,1218066,EUR,1013385600,M,23,23,False,33.0,25.0,1.0,,0.0,7.0,8.0,19.0,27.0,1.0,5.0,,,,,90.0,64.0,8.0,15.0,0.360066,7,,2.0,6.0,9.0,1.0,7.0,,,1.0,1.0,2.0,1.0,,1.0,4.0,0.4063,1.0,1.0,,4.0,hadj.a20,1.0,,2.0,0.3202,4.0,1.0,,,,
12448217,home,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,17,179,1574,M,1126692,EUR,1112486400,M,27,27,False,13.0,10.0,,,0.0,2.0,3.0,8.0,10.0,,1.0,,,,,60.0,17.0,6.6,4.0,0.0089078,0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,
12448217,home,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3392,M,889689,EUR,843177600,M,4,4,False,30.0,25.0,1.0,,0.0,7.0,8.0,20.0,24.0,1.0,2.0,,,,,67.0,42.0,7.3,6.0,0.295525,2,,2.0,2.0,1.0,,,,3.0,1.0,,1.0,,,1.0,,0.1018,4.0,2.0,,1.0,Hwang,,2.0,,,,,1.0,,,
12448217,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,49.0,37.0,3.0,2.0,1.0,8.0,10.0,29.0,42.0,1.0,8.0,,,,,90.0,86.0,8.2,26.0,0.233493,6,,3.0,11.0,7.0,3.0,11.0,,1.0,1.0,1.0,,,,2.0,3.0,0.9393,2.0,,1.0,2.0,,,,2.0,1.0585,3.0,1.0,,2.0,,
