match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_onTargetScoringAttempt,stat_dispossessed,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_punches,stat_totalOffside,stat_errorLeadToAShot,stat_goalAssist
10408629,home,Espanyol,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,13,13,False,24.0,14.0,20.0,10.0,10.0,13.0,4.0,11.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,31.0,6.3,10.0,0.0,0.0,0.0009942,1.0,0,0.3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408629,home,Espanyol,Óscar Gil,oscar-gil,Ó. Gil,D,27,175,90,M,959820,EUR,893548800,D,2,2,False,23.0,19.0,3.0,1.0,13.0,15.0,6.0,9.0,6.0,6.0,4.0,,,,,,90.0,47.0,6.5,11.0,0.0,0.0,0.161217,1.0,0,,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
10408629,home,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183,302,M,857205,EUR,811036800,D,5,5,False,29.0,23.0,4.0,2.0,17.0,21.0,6.0,8.0,,4.0,,,,,,,90.0,38.0,7.0,6.0,0.0,0.0,0.143091,1.0,0,,,2.0,,,,,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10408629,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,4,4,False,33.0,24.0,5.0,1.0,11.0,14.0,13.0,19.0,5.0,6.0,2.0,,,,,,90.0,49.0,6.9,9.0,0.186,0.0,0.07355,1.0,2,,,4.0,,,,3.0,3.0,2.0,3.0,1.0,,,True,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10408629,home,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179,147,M,351500,EUR,765158400,D,14,14,False,22.0,18.0,5.0,4.0,7.0,9.0,12.0,18.0,4.0,5.0,2.0,,,,,,90.0,40.0,6.3,10.0,0.0,0.0,0.0704965,,0,,5.0,2.0,,1.0,,3.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
10408629,home,Espanyol,Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,12,12,False,29.0,27.0,5.0,4.0,17.0,18.0,10.0,11.0,5.0,4.0,2.0,,,,,,68.0,38.0,6.8,2.0,0.0256,0.109,0.0160362,,1,,,4.0,3.0,,,3.0,,1.0,1.0,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,
10408629,home,Espanyol,Rubén Sánchez,sanchez-saez-ruben,R. Sánchez,D,2,184,124,M,1021165,EUR,981244800,M,27,27,False,17.0,14.0,1.0,1.0,5.0,7.0,9.0,13.0,3.0,3.0,,,,,,,90.0,35.0,6.8,9.0,0.2105,0.0,0.0132624,1.0,2,,3.0,5.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,
10408629,home,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175,1017,M,877262,EUR,838857600,M,20,20,False,38.0,30.0,5.0,3.0,10.0,11.0,20.0,29.0,2.0,6.0,1.0,,,,,,89.0,53.0,7.1,11.0,0.0,0.0,0.0364914,1.0,0,,2.0,8.0,1.0,1.0,1.0,1.0,,,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10408629,home,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,34.0,25.0,8.0,4.0,4.0,5.0,23.0,34.0,2.0,3.0,1.0,,,,,,90.0,48.0,7.3,14.0,0.0598,0.0,0.200173,2.0,2,,5.0,3.0,,,,1.0,,,2.0,1.0,2.0,1.0,,1.0,,,2.0,,,,2.0,,,1.0,,,,,,
10408629,home,Espanyol,Javi Puado,javi-puado,J. Puado,M,7,178,1352,M,891511,EUR,896054400,M,7,7,False,11.0,9.0,,,1.0,2.0,8.0,10.0,4.0,6.0,1.0,,,,,,78.0,27.0,6.6,8.0,0.2946,0.0,0.168807,1.0,3,,1.0,3.0,,,,1.0,,,1.0,,2.0,2.0,,1.0,,,1.0,2.0,,,,,2.0,,,,,,,
