match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
12504368,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189,4904,M,905351,EUR,1029888000,G,31,31,False,17.0,9.0,8.0,0.0,9.0,9.0,8.0,1.0,6.0,1.0,1.0,1.0,90.0,24.0,6.1,8.0,3.27e-05,0,-1.3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504368,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183,860,M,928103,EUR,942192000,D,15,15,False,46.0,40.0,8.0,0.0,20.0,23.0,26.0,3.0,2.0,,,,90.0,70.0,7.1,11.0,0.0221744,0,,True,5.0,20.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12504368,home,Parma,Alessandro Vogliacco,,,alessandro-vogliacco,A. Vogliacco,D,4,186,344,M,807295,EUR,905731200,D,21,21,False,54.0,49.0,9.0,0.0,38.0,39.0,15.0,5.0,2.0,,,,90.0,65.0,6.6,5.0,0.00467252,1,,,4.0,11.0,,2.0,1.0,6.0,3.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,0.1027,0.2659,,,,,,,,,,,,,,,,
12504368,home,Parma,Lautaro Valenti,,,lautaro-valenti,L. Valenti,D,5,188,629,M,958517,EUR,916272000,D,5,5,False,36.0,31.0,5.0,0.0,25.0,26.0,10.0,3.0,3.0,,,,55.0,43.0,6.4,6.0,0.00156801,0,,,1.0,6.0,,2.0,1.0,4.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
12504368,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,14,14,False,26.0,16.0,8.0,1.0,6.0,9.0,25.0,3.0,1.0,,,,90.0,57.0,7.0,19.0,0.189855,2,,,3.0,13.0,8.0,,1.0,1.0,2.0,,,,,,1.0,2.0,,,0.0471,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12504368,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180,1230,M,1110136,EUR,1020988800,M,16,16,False,32.0,28.0,2.0,0.0,11.0,12.0,20.0,1.0,,,,,90.0,37.0,6.6,5.0,0.00569548,0,,,2.0,17.0,,2.0,1.0,4.0,4.0,,,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
12504368,home,Parma,Nahuel Estévez,,,nahuel-estevez,N. Estévez,M,8,183,519,M,895868,EUR,816307200,M,8,8,False,22.0,17.0,6.0,0.0,6.0,6.0,17.0,1.0,2.0,,,,55.0,28.0,6.8,6.0,0.0587776,0,,,3.0,12.0,1.0,,,1.0,3.0,,,3.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
12504368,home,Parma,Simon Sohm,,,simon-sohm,S. Sohm,M,23,188,941,M,909991,EUR,986947200,M,19,19,False,27.0,20.0,2.0,0.0,10.0,10.0,17.0,,2.0,,,,68.0,35.0,6.6,8.0,0.010354,0,,,1.0,10.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,
12504368,home,Parma,Pontus Almqvist,,,pontus-almqvist,P. Almqvist,F,11,183,456,M,856065,EUR,931564800,F,11,11,False,8.0,4.0,,0.0,1.0,1.0,11.0,,1.0,,,,76.0,23.0,6.7,9.0,0.00897597,1,,,,4.0,4.0,1.0,1.0,4.0,4.0,,,1.0,,1.0,,,1.0,,0.117,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,
12504368,home,Parma,Ange-Yoan Bonny,,,ange-yoan-bonny,A. Bonny,F,14,189,10665,M,1086223,EUR,1067040000,F,13,13,False,10.0,8.0,,0.0,4.0,4.0,6.0,,,,,,55.0,23.0,6.4,9.0,0.00140246,2,,,,4.0,,1.0,1.0,4.0,3.0,,,,,,,1.0,,1.0,0.6585,0.5418,,3.0,2.0,,1.0,4.0,,2.0,1.0,1.0,,,,,,
