match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,captain,stat_aerialLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_goalAssist,stat_accurateCross,stat_errorLeadToAGoal,stat_hitWoodwork,stat_errorLeadToAShot
12190339,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,29.0,9.0,27.0,7.0,2.0,2.0,7.0,27.0,1.0,13.0,3.0,6.0,7.0,1.0,90.0,42.0,8.8,20.0,0.00576134,0,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190339,home,Everton,Ben Godfrey,ben-godfrey,B. Godfrey,D,14,183,614,M,,754698,EUR,884822400,D,22,22,False,12.0,8.0,1.0,,5.0,5.0,3.0,7.0,6.0,3.0,,,,,90.0,42.0,7.9,8.0,0.00995632,3,,2.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.2351,,,,,,,,,,,,,,,,,,,,,,
12190339,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,17.0,14.0,2.0,,12.0,12.0,2.0,5.0,9.0,4.0,,,,,90.0,40.0,8.3,5.0,0.299798,1,,3.0,4.0,7.0,,,,,5.0,3.0,3.0,2.0,0.0274,True,2.0,1.0,1.0,1.0,1.0,0.0772,1.0,,,,,,,,,,,,,,
12190339,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,18.0,10.0,9.0,3.0,8.0,12.0,2.0,6.0,8.0,5.0,,,,,90.0,35.0,8.2,8.0,0.00201267,2,,2.0,1.0,3.0,,1.0,,4.0,,1.0,1.0,,0.1497,,1.0,,1.0,,,0.3735,,1.0,1.0,1.0,,,,,,,,,,,
12190339,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,12.0,8.0,6.0,3.0,3.0,6.0,5.0,6.0,3.0,3.0,,,,,45.0,19.0,6.8,4.0,0.00481623,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12190339,home,Everton,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,,829570,EUR,848448000,M,11,11,False,26.0,15.0,9.0,2.0,6.0,8.0,9.0,19.0,4.0,11.0,,,,,90.0,56.0,7.3,21.0,0.0850483,1,,2.0,7.0,11.0,2.0,1.0,,2.0,,2.0,1.0,1.0,0.1174,,1.0,,,5.0,2.0,,5.0,1.0,,,1.0,1.0,8.0,6.0,,,,,,,
12190339,home,Everton,James Garner,james-garner,J. Garner,M,37,182,3008,M,,927361,EUR,984441600,M,37,37,False,14.0,9.0,1.0,,2.0,3.0,7.0,11.0,,7.0,,,,,90.0,24.0,7.3,6.0,0.00168653,0,,1.0,,6.0,,,,1.0,2.0,2.0,2.0,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,
12190339,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,28.0,24.0,3.0,1.0,15.0,17.0,9.0,11.0,3.0,9.0,,,,,75.0,41.0,7.2,7.0,0.0042616,1,,2.0,2.0,5.0,,,,1.0,,,,1.0,0.0362,,,,1.0,2.0,2.0,0.4299,,,,,,1.0,1.0,1.0,,,,,,,
12190339,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,25.0,17.0,8.0,5.0,5.0,10.0,17.0,22.0,2.0,4.0,,,,,90.0,50.0,8.1,18.0,0.351433,3,,,5.0,2.0,,,2.0,,,1.0,1.0,1.0,0.1493,,,2.0,1.0,3.0,1.0,0.2871,5.0,,,,7.0,2.0,2.0,,Dwight,McNeil,1.0,5.0,,,
12190339,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,F,16,16,False,22.0,13.0,1.0,,6.0,9.0,8.0,14.0,1.0,3.0,,,,,90.0,28.0,6.7,9.0,0.0928165,1,,1.0,3.0,3.0,2.0,1.0,,,,,,,0.2115,,1.0,1.0,,,,,1.0,1.0,,,1.0,,2.0,2.0,,,,1.0,,,
