match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,stat_totalContest,stat_shotOffTarget,captain,stat_accurateCross,player_firstName,player_lastName,stat_wonContest,stat_ownGoals,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId
11450149,home,Fatih Karagümrük,Salvatore Sirigu,salvatore-sirigu,S. Sirigu,G,192.0,499,M,18954,EUR,537408000.0,G,31,31,False,27.0,20.0,16.0,9.0,18.0,20.0,2.0,7.0,6.0,4.0,7.0,90.0,37.0,8.2,7.0,0.00060419,0,1.3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Frédéric Veseli,frederic-veseli,F. Veseli,D,183.0,158,M,137775,EUR,722217600.0,D,3,3,False,25.0,20.0,4.0,3.0,6.0,7.0,14.0,20.0,2.0,,,90.0,46.0,6.6,11.0,0.0102466,1,,34,2.0,2.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0118,,,,,,,,,,,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Salih Dursun,salih-dursun,S. Dursun,D,188.0,33,M,179189,EUR,679276800.0,D,54,54,False,40.0,25.0,17.0,8.0,12.0,16.0,13.0,24.0,7.0,,,90.0,52.0,7.6,16.0,0.00946474,1,,24,,3.0,4.0,6.0,8.0,1.0,,3.0,1.0,,,,1.0,0.3446,1.0,1.0,1.0,4.0,3.0,0.9779,,,,,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,187.0,130,M,139410,EUR,705542400.0,D,26,26,False,21.0,18.0,2.0,1.0,14.0,16.0,4.0,5.0,1.0,,,45.0,27.0,6.4,5.0,0.00085009,1,,23,,1.0,2.0,4.0,2.0,1.0,,1.0,,1.0,,,,0.084,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Levent Mercan,munir-levent-mercan,L. Mercan,D,176.0,1693,M,1085938,EUR,976406400.0,D,18,18,False,44.0,35.0,3.0,1.0,13.0,15.0,22.0,30.0,7.0,,,90.0,68.0,7.0,12.0,0.0421799,2,,22,1.0,,1.0,1.0,6.0,1.0,1.0,2.0,,2.0,2.0,1.0,,0.1007,,,,5.0,3.0,,,1.0,True,,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Andrea Bertolacci,andrea-bertolacci,A. Bertolacci,M,179.0,98,M,47568,EUR,663552000.0,M,91,91,False,29.0,17.0,4.0,,6.0,8.0,12.0,22.0,3.0,,,79.0,39.0,6.4,14.0,0.0402366,1,,,1.0,,,5.0,,1.0,,1.0,,1.0,,,2.0,0.0925,1.0,1.0,,,,0.1418,1.0,,,1.0,,,,,,,,,,,,
11450149,home,Fatih Karagümrük,Flavio Paoletti,paoletti-flavio,F. Paoletti,M,178.0,72,M,1069011,EUR,1042675200.0,M,97,97,False,35.0,28.0,5.0,3.0,13.0,13.0,15.0,22.0,2.0,,,90.0,46.0,6.7,8.0,0.225615,2,,36,,1.0,1.0,2.0,3.0,,1.0,1.0,,,,1.0,,0.0845,1.0,1.0,,,,0.3352,1.0,,,,,,1.0,1.0,,,,,,,,
11450149,home,Fatih Karagümrük,Tonio Teklić,tonio-teklic,T. Teklić,F,182.0,575,M,904669,EUR,936835200.0,M,99,99,False,15.0,14.0,1.0,1.0,4.0,4.0,11.0,16.0,3.0,,,61.0,33.0,6.5,8.0,0.0914371,1,,99,5.0,,,5.0,5.0,1.0,,,,1.0,1.0,2.0,2.0,0.006,,,,1.0,,,4.0,1.0,,1.0,,,2.0,,1.0,,,,,,,
11450149,home,Fatih Karagümrük,Valentin Eysseric,valentin-eysseric,V. Eysseric,M,181.0,141,M,139798,EUR,701481600.0,M,9,9,False,55.0,43.0,9.0,5.0,11.0,15.0,34.0,45.0,3.0,,,90.0,72.0,8.1,18.0,0.237622,1,,,5.0,1.0,1.0,9.0,6.0,2.0,,2.0,,,1.0,2.0,4.0,0.0916,2.0,,,2.0,2.0,,1.0,1.0,,2.0,,,1.0,,7.0,1.0,1.0,,,,,
11450149,home,Fatih Karagümrük,Güven Yalçın,guven-yalcin,G. Yalçın,F,184.0,385,M,826162,EUR,916617600.0,M,10,10,False,19.0,14.0,,,4.0,6.0,10.0,14.0,1.0,,,89.0,33.0,6.8,10.0,0.0527019,2,,10,1.0,2.0,,3.0,3.0,1.0,,,,,3.0,2.0,,0.0388,,1.0,,,,0.064,1.0,1.0,,,,,1.0,,1.0,,,,,,,
