match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_aerialWon,stat_challengeLost,stat_fouls,stat_wonContest,stat_outfielderBlock,stat_keyPass,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_goalAssist,stat_clearanceOffLine,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
10407011,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,1,1,False,26.0,20.0,11.0,5.0,20.0,23.0,3.0,2.0,16.0,1.0,1.0,3.0,90.0,45.0,7.1,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407011,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185,7746,M,163199,EUR,795139200,D,5,5,False,52.0,38.0,7.0,1.0,16.0,23.0,31.0,,5.0,,,,90.0,69.0,6.8,16.0,1,,,sandywalsh,23.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10407011,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,27,27,False,47.0,40.0,9.0,4.0,33.0,35.0,12.0,5.0,4.0,,,,90.0,57.0,6.4,7.0,0,,,,7.0,,,,2.0,1.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10407011,home,KV Mechelen,Dimitri Lavalėe,dimitri-lavalee,D. Lavalėe,D,24,187,148,M,857458,EUR,853113600,D,14,14,False,59.0,49.0,18.0,10.0,38.0,42.0,17.0,8.0,11.0,,,,90.0,80.0,6.9,11.0,1,,,,11.0,,,1.0,5.0,2.0,2.0,1.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10407011,home,KV Mechelen,Lucas Bijker,lucas-bijker,L. Bijker,D,,175,27,M,134276,EUR,731203200,D,3,3,False,46.0,33.0,9.0,4.0,19.0,26.0,20.0,4.0,8.0,,,,64.0,61.0,6.6,14.0,0,,,,14.0,,,1.0,2.0,,,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10407011,home,KV Mechelen,Birger Verstraete,birger-verstraete,B. Verstraete,M,4,171,119,M,192268,EUR,766454400,M,66,66,False,51.0,40.0,13.0,10.0,16.0,19.0,33.0,6.0,7.0,,,,90.0,70.0,7.3,14.0,2,,,,24.0,1.0,,3.0,4.0,5.0,,1.0,1.0,1.0,,2.0,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
10407011,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179,194,M,133164,EUR,764380800,M,16,16,False,70.0,48.0,12.0,4.0,19.0,26.0,47.0,,6.0,,,,90.0,96.0,8.4,29.0,5,,,,30.0,3.0,1.0,2.0,4.0,7.0,3.0,2.0,,4.0,,,,1.0,,1.0,2.0,1.0,4.0,,3.0,,3.0,True,1.0,1.0,,,,,,,,,
10407011,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,False,48.0,37.0,5.0,2.0,8.0,9.0,39.0,,3.0,,,,65.0,64.0,6.3,19.0,1,,,,29.0,,,3.0,9.0,1.0,3.0,,1.0,,,,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,,1.0,,,,,,,,
10407011,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,M,19,19,False,18.0,13.0,2.0,2.0,3.0,3.0,15.0,,1.0,,,,89.0,25.0,6.8,7.0,0,,,,10.0,,,3.0,7.0,3.0,,,,2.0,2.0,1.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,
10407011,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,M,11,11,False,35.0,29.0,6.0,5.0,6.0,7.0,36.0,1.0,5.0,,,,90.0,60.0,8.2,17.0,6,,,,25.0,8.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,,2.0,1.0,1.0,2.0,4.0,,,,1.0,1.0,1.0,,,,,,
