match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
11451051,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11451051,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,
11451051,,,,,89,,,2,,,substitution,,122197606.0,False,True,regular,,,,,
11451051,,,,,87,,,4,,,substitution,,122197585.0,False,False,regular,,,,,
11451051,,,,,77,,,14,,,substitution,,122197436.0,False,True,regular,,,,,
11451051,,,,,77,,,14,,,substitution,,122197435.0,False,True,regular,,,,,
11451051,,,,,67,,,24,,,substitution,,122197334.0,False,False,regular,,,,,
11451051,,,,,67,,,24,,,substitution,,122197333.0,False,False,regular,,,,,
11451051,,,,,67,,,24,,,substitution,,122197332.0,False,False,regular,,,,,
11451051,,,,,63,,,28,,,substitution,,122197298.0,False,True,regular,,,,,
11451051,,,,,62,,,29,,,card,,121009696.0,,True,yellow,Jonjo Shelvey,Foul,False,36465.0,Jonjo Shelvey
11451051,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11451051,,,,,45,0.0,,1,,,injuryTime,5.0,,,,,,,,,
11451051,,,,,44,,,2,,,substitution,,122196989.0,True,False,injury,,,,,
11451051,,1.0,0.0,,5,,,41,,,goal,,174471449.0,,True,regular,,,,36465.0,Jonjo Shelvey
