match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_wasFouled,stat_outfielderBlock,stat_totalContest,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_errorLeadToAGoal,stat_goodHighClaim,player_sofascoreId,stat_errorLeadToAShot,stat_totalOffside
12448244,home,AZ Alkmaar,Jeroen Zoet,jeroen-zoet,J. Zoet,G,41,186,197,M,40963,EUR,663120000,G,41,41,False,33.0,15.0,24.0,6.0,0.0,10.0,14.0,5.0,19.0,2.0,9.0,1.0,2.0,1.0,90.0,39.0,6.7,18.0,0.00379812,0,-0.5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Seiya Maikuma,seiya-maikuma,S. Maikuma,D,2,179,896,M,1028330,EUR,876960000,D,16,16,False,26.0,17.0,,,0.0,10.0,14.0,8.0,13.0,8.0,4.0,,,,89.0,50.0,7.1,11.0,0.0766835,0,,1.0,1.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Wouter Goes,wouter-goes,W. Goes,D,3,187,709,M,1145982,EUR,1086825600,D,3,3,False,61.0,56.0,6.0,3.0,0.0,39.0,42.0,17.0,19.0,6.0,4.0,,,,90.0,74.0,6.6,5.0,0.020259,0,,,,3.0,2.0,5.0,6.0,,2.0,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Alexandre Penetra,alexandre-penetra,A. Penetra,D,5,184,386,M,1004278,EUR,999993600,D,5,5,False,68.0,59.0,10.0,3.0,0.0,47.0,49.0,12.0,19.0,3.0,1.0,,,,90.0,74.0,6.8,9.0,0.00762556,0,,,,,,1.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,David Möller Wolfe,david-moller-wolfe,D. M. Wolfe,D,6,185,958,M,1031283,EUR,1019520000,D,18,18,False,36.0,25.0,6.0,2.0,0.0,16.0,20.0,9.0,19.0,2.0,3.0,,,,90.0,59.0,6.9,16.0,0.00734678,0,,3.0,,1.0,2.0,2.0,5.0,,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,6,6,False,40.0,32.0,4.0,2.0,2.0,13.0,13.0,21.0,29.0,2.0,9.0,,,,90.0,60.0,8.6,12.0,0.778254,1,,2.0,2.0,3.0,2.0,10.0,6.0,2.0,4.0,3.0,,1.0,3.0,,,1.0,,,3.0,1.0,3.0,1.0,0.0329,,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Sven Mijnans,sven-mijnans,S. Mijnans,M,10,190,1199,M,980671,EUR,952560000,M,10,10,False,28.0,21.0,2.0,,0.0,9.0,12.0,12.0,20.0,1.0,2.0,,,,90.0,50.0,6.6,16.0,0.0307134,1,,4.0,,2.0,3.0,8.0,7.0,1.0,2.0,2.0,3.0,3.0,,,,,2.0,,1.0,2.0,,1.0,0.0124,1.0,,,,,,,,,,,,
12448244,home,AZ Alkmaar,Jordy Clasie,jordy-clasie,J. Clasie,M,8,169,219,M,116946,EUR,677980800,M,8,8,False,47.0,39.0,5.0,2.0,0.0,21.0,23.0,18.0,25.0,,6.0,,,,90.0,58.0,6.9,10.0,0.0215744,1,,1.0,,1.0,,3.0,4.0,2.0,3.0,,1.0,,1.0,,,1.0,1.0,,,,,,0.0091,,True,1.0,,,,,,,,,,
12448244,home,AZ Alkmaar,Ernest Poku,ernest-poku,E. Poku,M,19,172,5105,M,1119502,EUR,1075248000,F,21,21,False,17.0,14.0,,,0.0,1.0,1.0,13.0,16.0,,3.0,,,,83.0,30.0,6.8,8.0,0.155082,3,,,,4.0,,10.0,5.0,2.0,3.0,2.0,1.0,,1.0,,,,,,2.0,4.0,,,0.4284,2.0,,1.0,1.0,2.0,0.3632,,,,,,,
12448244,home,AZ Alkmaar,Troy Parrott,troy-parrott,T. Parrott,F,9,185,10474,M,966555,EUR,1012780800,F,9,9,False,20.0,13.0,1.0,1.0,0.0,,,13.0,20.0,,1.0,,,,89.0,28.0,7.6,10.0,0.187169,2,,,,2.0,2.0,9.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,3.0,,,1.0,0.3551,1.0,,,,1.0,0.7389,1.0,,,,,,
