match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,captain,stat_bigChanceMissed,stat_goals,stat_totalKeeperSweeper
14131921,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193,156,M,82598,EUR,638150400,G,40,40,False,33.0,22.0,21.0,10.0,0.0,20.0,25.0,2.0,8.0,1.0,1.0,2.0,8.0,2.0,2.0,2.0,2.0,90.0,46.0,7.9,11.0,0.00020997,0.5508,0,0.547,0.02,0.03,0.16,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131921,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,249,M,1002565,EUR,1011484800,D,30,30,False,66.0,61.0,10.0,6.0,0.0,46.0,49.0,15.0,17.0,1.0,2.0,2.0,7.0,,,,,90.0,74.0,7.4,5.0,0.00604774,,0,,0.24,0.11,0.22,,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14131921,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191,188,M,1017590,EUR,922060800,D,14,14,False,54.0,42.0,10.0,3.0,0.0,28.0,33.0,14.0,21.0,3.0,6.0,8.0,5.0,,,,,90.0,73.0,7.5,12.0,0.0177105,,0,,0.4,0.09,0.46,,,,4.0,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
14131921,home,CF Estrela Amadora,Atanas Chernev,chernev-atanas,A. Chernev,D,16,193,204,M,1031642,EUR,1017014400,D,79,79,False,34.0,31.0,4.0,2.0,0.0,26.0,27.0,5.0,7.0,,2.0,3.0,2.0,,,,,87.0,43.0,6.9,4.0,0.00242913,,0,,0.06,0.03,0.22,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14131921,home,CF Estrela Amadora,Sidny Lopes Cabral,sidny-lopes-cabral,S. L. Cabral,D,15,176,1269,M,1117723,EUR,1032307200,M,55,55,False,35.0,26.0,2.0,,2.0,17.0,22.0,9.0,13.0,,3.0,,4.0,,,,,87.0,63.0,8.9,18.0,1.06023,,3,,1.0,0.31,-0.05,,Sidny Lopes Cabral,,3.0,1.0,,,,,1.0,2.0,,,3.0,9.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1199,0.0921,2.0,-0.11,,,,,
14131921,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,42.0,36.0,3.0,3.0,0.0,20.0,22.0,16.0,20.0,,6.0,1.0,4.0,,,,,87.0,57.0,7.2,11.0,0.0162063,,0,,0.04,0.04,0.18,,Paulo,Moreira,2.0,,1.0,,1.0,,,,,1.0,5.0,,,,,,,4.0,,,,,,1.0,,,,
14131921,home,CF Estrela Amadora,Jorge Meireles,jorge-meireles,J. Meireles,F,18,175,132,M,1164070,EUR,1081036800,M,18,18,False,36.0,31.0,3.0,2.0,0.0,15.0,18.0,16.0,18.0,,4.0,,13.0,,,,,78.0,54.0,6.9,16.0,0.0324032,,0,,0.17,0.34,-0.08,,,,6.0,1.0,,,,,2.0,1.0,,,4.0,4.0,,,,,,3.0,,,,2.0,,3.0,,,,
14131921,home,CF Estrela Amadora,Guilherme Montóia,guilherme-montoia,G. Montóia,M,23,185,110,M,1006996,EUR,1063497600,M,21,21,False,50.0,41.0,1.0,1.0,0.0,24.0,28.0,17.0,22.0,,4.0,1.0,6.0,,,,,90.0,70.0,6.8,16.0,0.0771289,,1,,0.25,0.03,0.16,,,,8.0,,3.0,2.0,3.0,1.0,2.0,1.0,,,1.0,3.0,1.0,,,1.0,,2.0,,0.0528,0.1264,1.0,-0.18,1.0,,,,
14131921,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178,255,M,1090543,EUR,946771200,F,99,99,False,31.0,26.0,1.0,1.0,1.0,11.0,12.0,15.0,19.0,2.0,7.0,1.0,3.0,,,,,90.0,56.0,7.5,15.0,0.266435,,1,,0.25,0.22,0.2,,Abraham Marcus,,5.0,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,3.0,,0.0424,,2.0,-0.27,3.0,,,,
14131921,home,CF Estrela Amadora,Kikas,kikas,Kikas,F,98,176,231,M,869875,EUR,905990400,F,98,98,False,15.0,11.0,2.0,,0.0,3.0,4.0,8.0,11.0,1.0,3.0,1.0,2.0,,,,,90.0,27.0,8.1,8.0,0.0298168,,4,,-0.27,0.19,0.16,,,,2.0,,,,1.0,1.0,,,,,2.0,2.0,,,,3.0,1.0,1.0,1.0,1.4225,1.6046,,0.75,,True,1.0,2.0,
