match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,player_sofascoreId,stat_clearanceOffLine,stat_goals,stat_totalOffside
12388473,home,VfL Osnabrück,David Richter,david-richter,D. Richter,G,26,196,7,M,941100,EUR,921628800,G,1,1,False,47.0,41.0,20.0,14.0,0.0,36.0,39.0,5.0,8.0,2.0,10.0,1.0,1.0,2.0,2.0,1.0,90.0,56.0,5.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388473,home,VfL Osnabrück,Bashkim Ajdini,bashkim-ajdini,B. Ajdini,D,7,176,23,M,265513,EUR,723945600,D,5,5,False,18.0,16.0,5.0,4.0,0.0,12.0,13.0,5.0,8.0,1.0,3.0,,,,,,45.0,28.0,6.6,5.0,2,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12388473,home,VfL Osnabrück,Maxwell Gyamfi,maxwell-gyamfi,M. Gyamfi,D,4,185,77,M,987512,EUR,948153600,D,4,4,False,42.0,38.0,6.0,5.0,0.0,30.0,32.0,8.0,10.0,,6.0,,,,,,90.0,46.0,6.0,5.0,0,,,1.0,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12388473,home,VfL Osnabrück,Timo Beermann,timo-beermann,T. Beermann,D,,188,5,M,72192,EUR,660787200,D,33,33,False,72.0,60.0,15.0,10.0,0.0,42.0,48.0,18.0,24.0,7.0,2.0,,,,,,90.0,87.0,6.7,12.0,1,,,5.0,1.0,1.0,,2.0,4.0,,1.0,2.0,,,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12388473,home,VfL Osnabrück,Bastien Conus,bastien-conus,B. Conus,D,3,172,12,M,927385,EUR,886982400,D,3,3,False,34.0,24.0,6.0,2.0,0.0,10.0,12.0,14.0,26.0,1.0,6.0,,1.0,,,,82.0,73.0,6.7,20.0,1,4.0,,8.0,1.0,,,1.0,4.0,,,2.0,Bastien,Conus,,1.0,,,5.0,2.0,2.0,,1.0,,,,,,,,,
12388473,home,VfL Osnabrück,Bryang Kayo,bryang-kayo,B. Kayo,M,48,185,64,M,1002383,EUR,1027728000,M,48,48,False,11.0,10.0,1.0,,0.0,1.0,2.0,11.0,11.0,,1.0,,3.0,,,,74.0,23.0,6.6,5.0,0,2.0,2.0,4.0,1.0,1.0,,,2.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,
12388473,home,VfL Osnabrück,Dave Gnaase,dave-gnaase,D. Gnaase,M,20,179,16,M,789067,EUR,851558400,M,26,26,False,55.0,48.0,12.0,8.0,0.0,29.0,30.0,19.0,25.0,1.0,2.0,,1.0,,,,90.0,64.0,6.8,9.0,0,,,4.0,,,,2.0,2.0,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,
12388473,home,VfL Osnabrück,Robert Tesche,robert-tesche,R. Tesche,M,8,182,24,M,21880,EUR,549072000,M,8,8,False,26.0,23.0,3.0,3.0,0.0,11.0,12.0,12.0,14.0,,2.0,,2.0,,,,74.0,40.0,7.3,6.0,3,,,7.0,,,2.0,2.0,3.0,1.0,1.0,2.0,,,,,1.0,1.0,2.0,1.0,3.0,2.0,,,1.0,,,,,,,
12388473,home,VfL Osnabrück,Niklas Niehoff,niklas-niehoff,N. Niehoff,F,29,187,49,M,1198077,EUR,1092960000,F,29,29,False,12.0,6.0,,,0.0,1.0,4.0,6.0,13.0,,2.0,,,,,,90.0,25.0,6.9,11.0,5,5.0,1.0,,1.0,,3.0,,1.0,,,,Niklas Niehoff,,,,,1.0,,,,,1.0,,,,,,,,,
12388473,home,VfL Osnabrück,Erik Engelhardt,erik-engelhardt,E. Engelhardt,F,18,178,113,M,876106,EUR,892857600,F,9,9,False,19.0,13.0,4.0,3.0,0.0,3.0,3.0,11.0,19.0,1.0,2.0,,5.0,,,,90.0,45.0,6.9,19.0,1,3.0,1.0,7.0,7.0,3.0,1.0,,10.0,2.0,,3.0,Erik,Engelhardt,,1.0,,,2.0,,2.0,2.0,,,,1.0,,,,,,
