match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_fouls,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wonContest,stat_keyPass,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_punches,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
12764268,home,FC Viktoria Plzeň,Martin Jedlička,,,martin-jedlicka,M. Jedlička,G,23,186.0,116,M,795155,EUR,885600000,G,16,16,False,21.0,11.0,20.0,10.0,0.0,6.0,6.0,5.0,15.0,1.0,9.0,1.0,2.0,3.0,5.0,90.0,34.0,7.8,11.0,0.00368231,0,1.1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Jan Paluska,,,jan-paluska,J. Paluska,D,22,,65,M,1149234,EUR,1119484800,D,5,5,False,21.0,13.0,7.0,2.0,0.0,6.0,9.0,7.0,12.0,1.0,2.0,,,,,90.0,32.0,6.3,9.0,0.0032964,0,,3.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Svetozar Marković,,,svetozar-markovic,S. Marković,D,15,184.0,277,M,890913,EUR,953769600,D,3,3,False,13.0,10.0,4.0,3.0,0.0,4.0,5.0,6.0,8.0,3.0,,,,,,90.0,20.0,6.7,4.0,0.00437083,0,,3.0,2.0,3.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Václav Jemelka,,,vaclav-jemelka,V. Jemelka,D,21,186.0,199,M,802317,EUR,803865600,D,21,21,False,25.0,18.0,4.0,1.0,0.0,9.0,9.0,9.0,16.0,3.0,1.0,,,,,90.0,45.0,6.8,10.0,0.00724193,0,,1.0,2.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Milan Havel,,,milan-havel,M. Havel,M,24,182.0,49,M,318045,EUR,776217600,M,24,24,False,22.0,13.0,3.0,2.0,0.0,5.0,8.0,8.0,14.0,5.0,5.0,1.0,,,,90.0,35.0,6.8,10.0,0.0139479,0,,1.0,,4.0,2.0,,,3.0,2.0,3.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Lukáš Kalvach,,,lukas-kalvach,L. Kalvach,M,8,181.0,105,M,1006331,EUR,806112000,M,23,23,False,22.0,18.0,3.0,2.0,1.0,9.0,9.0,10.0,20.0,6.0,6.0,,,,,90.0,51.0,7.1,15.0,0.116012,1,,2.0,2.0,8.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,,,3.0,,1.0,True,7.0,1.0,1.0,1.0,0.0436,,,,,,,,
12764268,home,FC Viktoria Plzeň,Lukáš Červ,,,lukas-cerv,L. Červ,M,6,182.0,289,M,952114,EUR,986860800,M,6,6,False,30.0,26.0,1.0,1.0,0.0,9.0,10.0,17.0,20.0,7.0,8.0,2.0,,,,90.0,47.0,7.3,6.0,0.0182919,2,,1.0,2.0,4.0,,2.0,1.0,3.0,2.0,,,1.0,2.0,1.0,,1.0,,,,1.0,,0.1141,1.0,,,,,,,
12764268,home,FC Viktoria Plzeň,Cadu,,,cadu,Cadu,M,20,177.0,241,M,1032956,EUR,870998400,M,22,22,False,25.0,17.0,7.0,4.0,0.0,6.0,8.0,11.0,19.0,4.0,9.0,,,,,74.0,48.0,7.0,18.0,0.0375167,0,,,1.0,5.0,2.0,1.0,1.0,,,2.0,,5.0,2.0,4.0,3.0,1.0,,2.0,,,1.0,,,,,,,,,
12764268,home,FC Viktoria Plzeň,Erik Jirka,,,erik-jirka,E. Jirka,M,97,184.0,151,M,562194,EUR,874627200,F,33,33,False,15.0,5.0,2.0,,0.0,2.0,3.0,3.0,15.0,5.0,1.0,,,,,74.0,33.0,6.7,16.0,0.00863944,1,,4.0,3.0,8.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,,3.0,,,2.0,0.0189,1.0,,,,,,,
12764268,home,FC Viktoria Plzeň,Pavel Šulc,,,pavel-sulc,P. Šulc,M,10,177.0,3263,M,957604,EUR,978048000,F,31,31,False,30.0,21.0,3.0,2.0,1.0,5.0,6.0,16.0,24.0,7.0,10.0,,,,,89.0,54.0,7.2,18.0,0.0357996,3,,1.0,3.0,8.0,2.0,,,1.0,1.0,,3.0,7.0,,1.0,3.0,2.0,,,,2.0,,0.0624,,1.0,0.221,,,,,
