match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_keyPass,player_sofascoreId,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_goals
11368653,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,26.0,22.0,9.0,5.0,20.0,20.0,2.0,6.0,4.0,1.0,1.0,2.0,90.0,31.0,7.0,4.0,0.00053417,0,-0.1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368653,home,Real Sociedad,Álvaro Odriozola,alvaro-odriozola,Á. Odriozola,D,20,175,2582,M,353250,EUR,818899200,D,2,2,False,41.0,38.0,4.0,2.0,25.0,25.0,15.0,19.0,2.0,,,,75.0,65.0,6.9,6.0,0.048804,0,,,,3.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
11368653,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,69.0,65.0,4.0,2.0,45.0,46.0,20.0,23.0,5.0,,,,90.0,74.0,6.8,4.0,0.0127985,0,,,,,,4.0,6.0,4.0,,,,2.0,,,,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,
11368653,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,63.0,58.0,8.0,6.0,44.0,46.0,14.0,17.0,3.0,,,,89.0,70.0,6.8,7.0,0.00604401,0,,,,,,3.0,3.0,5.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,lenormand_r,,,,,,,,,,,,,
11368653,home,Real Sociedad,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,25,25,False,56.0,51.0,5.0,4.0,28.0,30.0,23.0,29.0,2.0,,,,90.0,79.0,6.5,15.0,0.0201273,0,,,,3.0,,1.0,9.0,3.0,3.0,,1.0,,3.0,2.0,,,2.0,,,1.0,,3.0,,,,,,,,,,,,
11368653,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,53.0,48.0,3.0,2.0,23.0,25.0,25.0,29.0,6.0,,,,90.0,62.0,7.3,8.0,0.267314,0,,,,1.0,,,1.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,,,1.0,,martin_zubimendi,1.0,,,,,,,,,,,,
11368653,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,39.0,33.0,1.0,1.0,6.0,8.0,30.0,40.0,4.0,,,,90.0,66.0,7.8,19.0,0.275445,1,,,,9.0,3.0,,3.0,6.0,5.0,3.0,,1.0,,,4.0,3.0,1.0,,,3.0,KuboTake,,1.0,0.0246,0.1596,,,,,,,,,
11368653,home,Real Sociedad,Beñat Turrientes,benat-turrientes,B. Turrientes,M,8,179,748,M,980410,EUR,1012435200,M,22,22,False,20.0,18.0,1.0,,8.0,8.0,10.0,14.0,1.0,,,,67.0,33.0,6.6,7.0,0.00654502,2,,,,2.0,,,5.0,3.0,4.0,2.0,,,,,,,2.0,1.0,,,,,1.0,0.1798,0.2033,1.0,1.0,,,,,,,
11368653,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,71.0,58.0,3.0,2.0,26.0,28.0,32.0,43.0,7.0,,,,90.0,82.0,7.0,18.0,0.0620814,1,,,,,,6.0,10.0,9.0,,,,1.0,3.0,2.0,2.0,1.0,2.0,5.0,,,mikelmerino,1.0,,0.0254,,1.0,,1.0,,,,,,
11368653,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,29.0,22.0,3.0,2.0,5.0,6.0,17.0,26.0,3.0,,,,75.0,44.0,7.5,12.0,0.059771,1,,,,3.0,,,2.0,8.0,3.0,3.0,,,3.0,3.0,1.0,2.0,1.0,,,2.0,,,,0.0243,,1.0,1.0,,,,,,,
