match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_errorLeadToAShot,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_hitWoodwork,stat_accurateCross,player_sofascoreId,stat_totalOffside
12530727,home,Hatayspor,Visar Bekaj,visar-bekaj,V. Bekaj,G,1,191.0,221,M,890652,EUR,864432000,G,12,12,False,26.0,18.0,15.0,7.0,0.0,11.0,13.0,7.0,13.0,3.0,3.0,1.0,11.0,1.0,2.0,5.0,6.0,1.0,90.0,43.0,8.1,8.0,0.00157773,0,0.5262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530727,home,Hatayspor,Kerim Alıcı,kerim-alici,K. Alıcı,D,27,183.0,22,M,758870,EUR,867110400,D,22,22,False,25.0,21.0,1.0,1.0,0.0,2.0,3.0,19.0,26.0,,4.0,5.0,,1.0,,,,,90.0,53.0,6.7,11.0,0.0240061,1,,True,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.4739,,,,,,,,,,,,,,,,
12530727,home,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180.0,314,M,944222,EUR,928022400,D,3,3,False,41.0,33.0,6.0,,0.0,22.0,25.0,11.0,16.0,3.0,4.0,5.0,3.0,,,,,,90.0,50.0,7.2,8.0,0.00651674,1,,,,1.0,,,,,,,1.0,1.0,,,0.3768,1.0,1.0,1.0,0.9646,,,,,,,,,,,,
12530727,home,Hatayspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181.0,677,M,156400,EUR,710553600,D,4,4,False,38.0,33.0,5.0,3.0,0.0,20.0,20.0,13.0,18.0,,,,5.0,,,,,,78.0,54.0,5.6,9.0,0.00679828,1,,,,9.0,1.0,3.0,1.0,,,1.0,2.0,,,3.0,0.0183,1.0,,,,2.0,1.0,,,,,,,,,,
12530727,home,Hatayspor,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186.0,55,M,929956,EUR,947116800,D,88,88,False,11.0,7.0,2.0,1.0,0.0,5.0,6.0,2.0,5.0,1.0,3.0,,4.0,,,,,,31.0,19.0,6.5,6.0,0.00044994,0,,,,3.0,,1.0,,,,,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,
12530727,home,Hatayspor,Chandrel Massanga,chandrel-massanga,C. Massanga,M,8,172.0,201,M,1083138,EUR,934848000,M,8,8,False,63.0,50.0,9.0,4.0,0.0,27.0,27.0,23.0,36.0,1.0,1.0,4.0,6.0,,,,,,90.0,72.0,6.8,13.0,0.0458165,1,,,,2.0,,,,,,,,,,,0.0043,2.0,,,,3.0,,Chandrel Massanga,,1.0,,,,,,,
12530727,home,Hatayspor,Abdulkadir Parmak,abdulkadir-parmak,A. Parmak,M,20,176.0,57,M,344225,EUR,788572800,M,6,6,False,40.0,38.0,2.0,1.0,1.0,16.0,17.0,22.0,25.0,1.0,3.0,1.0,4.0,1.0,,,,,90.0,49.0,7.5,5.0,0.170421,2,,,2.0,,,,1.0,1.0,,1.0,,,,,0.1086,,1.0,,0.0654,,,,,,1.0,1.0,1.0,,,,
12530727,home,Hatayspor,Bilal Boutobba,bilal-boutobba,B. Boutobba,M,98,172.0,465,M,769163,EUR,904348800,M,98,98,False,38.0,33.0,3.0,1.0,0.0,11.0,11.0,22.0,31.0,,4.0,1.0,6.0,1.0,,,,,90.0,65.0,8.2,17.0,0.560011,3,,,4.0,6.0,,2.0,4.0,2.0,,1.0,,1.0,1.0,1.0,0.1815,2.0,2.0,1.0,0.228,1.0,,,,,1.0,4.0,3.0,1.0,,,
12530727,home,Hatayspor,Görkem Sağlam,gorkem-saglam,G. Sağlam,M,61,175.0,118,M,795001,EUR,892252800,M,5,5,False,48.0,41.0,6.0,4.0,1.0,17.0,17.0,26.0,37.0,,,1.0,1.0,,,,,,83.0,61.0,7.2,13.0,0.403726,2,,,6.0,3.0,,1.0,,,,1.0,,,,2.0,0.1254,,1.0,,0.6182,,,,,,,1.0,2.0,,2.0,,
12530727,home,Hatayspor,Joelson Fernandes,joelson-fernandes,J. Fernandes,M,11,172.0,481,M,1032547,EUR,1046390400,M,77,77,False,11.0,11.0,,,0.0,5.0,5.0,7.0,8.0,,1.0,,2.0,1.0,,,,,71.0,19.0,6.3,4.0,0.104869,0,,,2.0,4.0,,2.0,1.0,,,,,,,1.0,,,,,,,,Joelson Mendes,,,,,1.0,,1.0,,
