match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass
11406748,FT,0.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,
11406748,,,,,90,0.0,,1,,,injuryTime,5.0,,,,
11406748,,,,,85,,,6,,,substitution,,122742383.0,False,True,regular
11406748,,,,,77,,,14,,,substitution,,122742342.0,False,False,regular
11406748,,,,,77,,,14,,,substitution,,122742341.0,True,False,injury
11406748,,,,,65,,,26,,,substitution,,122742249.0,False,True,regular
11406748,,,,,65,,,26,,,substitution,,122742250.0,False,False,regular
11406748,,,,,56,,,35,,,substitution,,122742212.0,False,False,regular
11406748,,,,,55,,,36,,,substitution,,122742213.0,False,False,regular
11406748,,,,,46,,,45,,,substitution,,122742115.0,False,True,regular
11406748,,,,,46,,,45,,,substitution,,122742114.0,False,True,regular
11406748,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,
