match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_challengeLost,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_keyPass,stat_goals,stat_bigChanceCreated,stat_hitWoodwork,stat_errorLeadToAGoal
13560222,home,Bournemouth,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,13,13,False,38.0,22.0,23.0,7.0,0.0,19.0,21.0,3.0,17.0,1.0,1.0,2.0,13.0,1.0,4.0,7.0,2.0,90.0,53.0,8.6,16.0,0.00050639,0,0.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13560222,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,False,29.0,21.0,3.0,1.0,0.0,12.0,17.0,9.0,14.0,3.0,6.0,3.0,2.0,,,,,90.0,48.0,7.5,14.0,0.00648062,0,,True,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13560222,home,Bournemouth,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,2,2,False,30.0,25.0,5.0,2.0,0.0,16.0,17.0,9.0,13.0,2.0,2.0,13.0,1.0,,,,,90.0,46.0,6.9,6.0,0.0031013,0,,,,,,1.0,,,2.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
13560222,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,5,5,False,23.0,19.0,4.0,1.0,0.0,14.0,14.0,5.0,10.0,,,4.0,3.0,,,,,45.0,29.0,6.3,5.0,0.000831,0,,,1.0,,,,,,1.0,5.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,
13560222,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,27.0,19.0,1.0,,0.0,11.0,13.0,10.0,20.0,3.0,9.0,6.0,5.0,,,,,90.0,65.0,7.1,22.0,0.0433093,0,,,6.0,1.0,1.0,,2.0,,2.0,5.0,,1.0,,,,Milos,Kerkez,2.0,3.0,3.0,,,,,,,,,,,,
13560222,home,Bournemouth,Tyler Adams,tyler-adams,T. Adams,M,12,175,2918,M,,800419,EUR,918950400,M,12,12,False,47.0,36.0,3.0,,0.0,16.0,19.0,20.0,28.0,4.0,8.0,2.0,5.0,,,,,90.0,60.0,6.8,13.0,0.050093,2,,,,1.0,1.0,,3.0,1.0,,5.0,,2.0,3.0,,2.0,,,,,,1.0,1.0,1.0,1.0,0.395,0.593,,,,,,
13560222,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,39.0,31.0,4.0,1.0,0.0,15.0,17.0,18.0,27.0,3.0,7.0,4.0,5.0,,,,,90.0,59.0,7.2,12.0,0.0229637,1,,,5.0,1.0,,1.0,4.0,1.0,1.0,4.0,,,1.0,,1.0,,,2.0,,,,,,2.0,0.0661,,1.0,1.0,,,,
13560222,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,23.0,17.0,3.0,,0.0,1.0,1.0,17.0,23.0,2.0,5.0,,4.0,,,,,89.0,34.0,7.2,11.0,0.0562258,1,,,1.0,2.0,2.0,,,,5.0,9.0,,1.0,1.0,,,,,1.0,3.0,1.0,,1.0,,,0.1195,0.7031,,1.0,1.0,,,
13560222,home,Bournemouth,Alex Scott,alex-scott,A. Scott,M,8,178,2382,M,,1104986,EUR,1061424000,M,8,8,False,15.0,12.0,,,0.0,6.0,6.0,6.0,10.0,,4.0,1.0,4.0,,,,,65.0,29.0,7.5,5.0,0.303275,3,,,1.0,,,,1.0,,,2.0,,1.0,,,2.0,Alex Scott,,,,3.0,,1.0,,1.0,0.1609,0.2426,2.0,2.0,,1.0,,
13560222,home,Bournemouth,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,d.ouattara15,1106451,EUR,1013385600,M,11,11,False,27.0,20.0,3.0,2.0,0.0,6.0,7.0,14.0,20.0,4.0,9.0,4.0,7.0,,,,,90.0,48.0,7.4,14.0,0.304988,1,,,,5.0,5.0,,,,5.0,9.0,,2.0,,,2.0,Dango Ouattara,,,2.0,1.0,,,1.0,,0.1831,,,3.0,,1.0,,
