match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_onTargetScoringAttempt,stat_fouls,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_goals,stat_penaltyConceded,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal
12117109,home,Corinthians,Matheus Donelli,matheus-donelli,M. Donelli,G,32,187,3371,M,1002609,EUR,1021593600,G,32,32,False,23.0,18.0,8.0,3.0,0.0,16.0,16.0,2.0,7.0,5.0,2.0,1.0,4.0,90.0,30.0,7.0,5.0,0.00023997,0,-1.7886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117109,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171,7286,M,931540,EUR,968371200,D,2,2,False,26.0,25.0,2.0,1.0,0.0,10.0,10.0,18.0,19.0,1.0,,,,90.0,44.0,7.0,1.0,0.146858,0,,mateuzinhoo,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12117109,home,Corinthians,Gustavo Henrique,gustavo-henrique,G. Henrique,D,13,195,5441,M,243181,EUR,732931200,D,13,13,False,60.0,54.0,4.0,1.0,0.0,44.0,46.0,10.0,14.0,4.0,,,,90.0,73.0,6.9,7.0,0.00285225,1,,,,,1.0,1.0,4.0,,,,7.0,1.0,,,,1.0,1.0,True,3.0,1.0,1.0,0.0263,,,,,,,,,,,,,,,
12117109,home,Corinthians,Cacá,caca,Cacá,D,25,185,3939,M,929200,EUR,924998400,D,25,25,False,58.0,55.0,7.0,5.0,0.0,40.0,40.0,15.0,18.0,3.0,,,,90.0,73.0,7.2,4.0,0.00792797,1,,,,,4.0,6.0,4.0,,1.0,,6.0,3.0,2.0,1.0,,,,,3.0,,,0.0537,1.0,1.0,,,,,,,,,,,,,
12117109,home,Corinthians,Hugo,hugo,Hugo,D,,179,3173,M,1017827,EUR,872812800,D,46,46,False,45.0,38.0,4.0,2.0,0.0,19.0,22.0,19.0,24.0,6.0,,,,90.0,68.0,6.6,8.0,0.00561117,0,,,1.0,,1.0,6.0,3.0,2.0,,,5.0,,1.0,2.0,2.0,,1.0,,1.0,,,,,3.0,,,,,,,,,,,,,
12117109,home,Corinthians,Raniele,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,31.0,23.0,3.0,,0.0,10.0,15.0,13.0,16.0,3.0,,,,83.0,44.0,7.3,8.0,0.00628383,3,,R14niele,,,3.0,6.0,10.0,1.0,,,2.0,,1.0,3.0,2.0,1.0,1.0,,6.0,1.0,,0.1005,1.0,2.0,,,1.0,0.0753,,,,,,,,,
12117109,home,Corinthians,Pedro Henrique,pedro-henrique,P. Henrique,M,7,179,1742,M,219190,EUR,645580800,M,16,16,False,12.0,10.0,,,1.0,4.0,4.0,6.0,11.0,1.0,,,,61.0,33.0,6.6,12.0,0.00295885,1,,,3.0,,1.0,6.0,7.0,,6.0,2.0,1.0,,,2.0,,1.0,1.0,,2.0,,2.0,0.0674,,1.0,,,1.0,,1.0,,,,,,,,
12117109,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174,33134,M,994454,EUR,883872000,M,10,10,False,34.0,24.0,2.0,,0.0,7.0,9.0,19.0,31.0,3.0,,,,90.0,51.0,7.9,18.0,0.0939234,2,,rodrigarroo,6.0,2.0,2.0,10.0,2.0,6.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,,3.0,0.068,2.0,1.0,,,,0.0555,,2.0,,,,,,,
12117109,home,Corinthians,Igor Coronado,igor-coronado,I. Coronado,M,77,170,5336,M,152098,EUR,714096000,M,77,77,False,35.0,29.0,2.0,1.0,0.0,10.0,11.0,19.0,27.0,1.0,,,,71.0,45.0,6.4,11.0,0.0115495,0,,igor_coronado,3.0,,,5.0,3.0,2.0,2.0,1.0,,,1.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
12117109,home,Corinthians,Wesley,wesley,Wesley,F,22,180,10411,M,1211632,EUR,1109980800,M,36,36,False,19.0,16.0,2.0,,0.0,3.0,3.0,15.0,20.0,4.0,,,,71.0,40.0,6.5,12.0,0.105116,2,,wesley_teixeira005,4.0,2.0,,10.0,5.0,3.0,5.0,2.0,,,,2.0,1.0,1.0,2.0,,,1.0,,0.0572,,,,,1.0,,4.0,,,,,,,,
