match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_lastManTackle,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyMiss,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceCreated
12764953,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190.0,180,M,121908,EUR,668995200,G,1,1,False,28.0,22.0,13.0,7.0,0.0,19.0,20.0,3.0,8.0,1.0,10.0,1.0,1.0,2.0,90.0,38.0,6.8,6.0,0.00119803,0,0.2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184.0,112,M,920022,EUR,886550400,D,23,23,False,64.0,55.0,4.0,4.0,0.0,26.0,31.0,30.0,38.0,5.0,3.0,1.0,1.0,,90.0,85.0,7.5,16.0,0.0446025,2,,,,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0424,0.1457,3.0,,,,,,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194.0,321,M,254429,EUR,784080000,D,6,6,False,74.0,68.0,4.0,2.0,0.0,39.0,41.0,29.0,34.0,3.0,5.0,,,,90.0,89.0,7.1,8.0,0.0248757,0,,,,1.0,,1.0,3.0,3.0,,,,,5.0,1.0,,,,,,True,2.0,2.0,1.0,,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187.0,118,M,988252,EUR,952560000,D,4,4,False,65.0,57.0,9.0,8.0,0.0,39.0,42.0,18.0,24.0,7.0,4.0,5.0,4.0,,90.0,81.0,7.5,10.0,0.0185014,0,,,,1.0,,2.0,,5.0,,1.0,1.0,,2.0,3.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Norman Theuerkauf,norman-theuerkauf,N. Theuerkauf,D,,183.0,29,M,15004,EUR,538444800,D,30,30,False,40.0,32.0,5.0,4.0,0.0,14.0,14.0,18.0,33.0,1.0,4.0,,,,73.0,60.0,7.2,16.0,0.0459554,1,,,,7.0,,3.0,1.0,4.0,,,,1.0,,2.0,,1.0,0.0436,0.0553,2.0,,,,,,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187.0,257,M,893962,EUR,939340800,M,33,33,False,73.0,64.0,3.0,2.0,0.0,47.0,48.0,17.0,25.0,5.0,2.0,1.0,1.0,,90.0,84.0,7.2,9.0,0.0190623,0,,,,,,,3.0,3.0,,,,,4.0,2.0,1.0,2.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Sirlord Conteh,sirlord-conteh,S. Conteh,F,31,178.0,173,M,800400,EUR,836870400,M,31,31,False,27.0,21.0,1.0,,0.0,8.0,8.0,13.0,20.0,1.0,1.0,,,,77.0,36.0,6.6,9.0,0.0185644,1,,,,1.0,,2.0,1.0,3.0,1.0,,,,1.0,,,,0.0339,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Adrian Beck,adrian-beck,A. Beck,M,21,186.0,110,M,845742,EUR,865814400,M,21,21,False,41.0,36.0,2.0,2.0,0.0,13.0,13.0,23.0,28.0,3.0,5.0,1.0,,,62.0,51.0,7.8,9.0,0.0402004,1,,,,,,,1.0,5.0,3.0,1.0,1.0,1.0,,,,1.0,0.1817,0.6659,3.0,,1.0,,1.0,,,,1.0,,,,,,,,,,
12764953,home,1. FC Heidenheim,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175.0,330,M,794995,EUR,884822400,M,39,39,False,57.0,52.0,2.0,1.0,0.0,27.0,28.0,25.0,29.0,6.0,5.0,2.0,1.0,,63.0,70.0,7.3,7.0,0.0222671,2,,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,3.0,2.0,0.1014,0.1242,,,,,1.0,,1.0,,,,,,,,,,,,
12764953,home,1. FC Heidenheim,Leo Scienza,leo-scienza,L. Scienza,M,13,175.0,995,M,1386651,EUR,905644800,M,8,8,False,24.0,21.0,2.0,2.0,0.0,7.0,7.0,14.0,20.0,6.0,2.0,2.0,,,90.0,55.0,6.7,15.0,0.122219,4,,,,3.0,,,,8.0,5.0,3.0,2.0,,1.0,,2.0,2.0,0.2299,,,,,,1.0,,2.0,,,2.0,1.0,,,,,,,,
