match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAGoal,stat_ownGoals,stat_goodHighClaim,stat_punches,player_sofascoreId,stat_goals,stat_goalAssist
10434007,home,Konyaspor,Erhan Erentürk,erhan-erenturk,E. Erentürk,G,18,190,42,M,997705,EUR,801792000,G,1,1,False,33.0,11.0,28.0,6.0,7.0,10.0,4.0,23.0,1.0,2.0,9.0,1.0,2.0,2.0,1.0,1.0,90.0,43.0,6.4,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,44.0,31.0,7.0,2.0,18.0,22.0,14.0,24.0,9.0,1.0,8.0,3.0,,,,,90.0,79.0,7.1,22.0,0,,,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,40.0,34.0,6.0,3.0,22.0,26.0,12.0,14.0,6.0,4.0,7.0,1.0,,,,,90.0,54.0,6.6,9.0,0,,,,,4.0,4.0,9.0,1.0,,3.0,1.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,15,15,False,31.0,24.0,4.0,1.0,19.0,22.0,5.0,9.0,5.0,8.0,5.0,,,,,,90.0,44.0,6.4,9.0,1,,,,,1.0,5.0,4.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,38.0,31.0,5.0,3.0,10.0,13.0,24.0,35.0,6.0,6.0,8.0,,,,,,90.0,73.0,7.7,16.0,0,,,10.0,3.0,1.0,,1.0,,,,1.0,2.0,2.0,,1.0,,4.0,4.0,1.0,3.0,,,,,,,,,,,,,
10434007,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,15.0,11.0,,,6.0,8.0,5.0,11.0,2.0,,3.0,1.0,,,,,64.0,31.0,6.3,14.0,0,Konrad,Michalak,4.0,,,,4.0,,1.0,1.0,,,,1.0,2.0,,3.0,1.0,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1356,M,795421,EUR,857779200,M,18,18,False,50.0,41.0,12.0,9.0,20.0,23.0,21.0,27.0,5.0,4.0,7.0,2.0,,,,,90.0,77.0,7.7,17.0,2,,,,,1.0,1.0,3.0,,1.0,2.0,2.0,1.0,,,5.0,1.0,2.0,1.0,1.0,2.0,True,1.0,,,,,,,,,,,
10434007,home,Konyaspor,Bruno Paz,bruno-paz,B. Paz,M,80,178,194,M,845821,EUR,893289600,M,80,80,False,25.0,21.0,1.0,1.0,11.0,13.0,10.0,12.0,6.0,1.0,5.0,2.0,,,,,77.0,33.0,6.7,5.0,0,,,,,2.0,2.0,3.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Zymer Bytyqi,zymer-bytyqi,Z. Bytyqi,M,,176,255,M,226784,EUR,842400000,M,7,7,False,26.0,23.0,,,4.0,4.0,22.0,27.0,5.0,1.0,8.0,1.0,,,,,90.0,53.0,7.3,11.0,4,,,5.0,3.0,,,4.0,,2.0,,1.0,3.0,3.0,,2.0,2.0,3.0,1.0,,5.0,,1.0,1.0,1.0,1.0,,,,,,,,
10434007,home,Konyaspor,Muhammet Demir,muhammet-demir,M. Demir,F,99,180,108,M,43543,EUR,695001600,F,9,9,False,6.0,5.0,,,,1.0,5.0,5.0,3.0,,2.0,1.0,,,,,45.0,14.0,6.3,6.0,0,,,,,3.0,2.0,8.0,1.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Mame Biram Diouf,mame-biram-diouf,M. B. Diouf,F,55,185,388,M,22481,EUR,566611200,F,99,99,False,8.0,5.0,,,2.0,2.0,3.0,6.0,6.0,1.0,1.0,2.0,,,,,89.0,22.0,7.1,5.0,5,Mame,Biram Diouf,,,7.0,2.0,8.0,,1.0,,,2.0,1.0,,1.0,2.0,,,,1.0,,1.0,,2.0,,1.0,,,,,,,
10434007,home,Konyaspor,Endri Çekiçi,endri-cekici,E. Çekiçi,M,22,179,229,M,187153,EUR,848707200,M,23,23,True,12.0,9.0,,,,,9.0,12.0,5.0,,,1.0,,,,,45.0,17.0,6.6,4.0,1,,,,,2.0,3.0,3.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,
10434007,home,Konyaspor,Robert Murić,robert-muric,R. Murić,M,,182,210,M,283853,EUR,826588800,M,11,11,True,8.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,,1.0,1.0,,,,,26.0,11.0,6.3,4.0,0,,,,,1.0,,2.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,14,14,True,10.0,8.0,,,7.0,7.0,2.0,4.0,2.0,,2.0,1.0,,,,,13.0,16.0,6.8,2.0,2,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,
10434007,home,Konyaspor,Uche Ikpeazu,uche-ikpeazu,U. Ikpeazu,F,18,190,726,M,368128,EUR,793929600,F,29,29,True,,,,,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Mehmet Erdoğan,mehmet-erdogan,M. Erdoğan,G,1,193,37,M,1173536,EUR,1088899200,G,64,64,True,,,,,,,,,,,,,,,,,,,,,0,Mehmet Erdogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,M,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Kahraman Demirtaş,kahraman-demirtas,K. Demirtaş,D,47,184,25,M,845313,EUR,762480000,D,20,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Cebrail Karayel,cebrail-karayel,C. Karayel,D,77,176,32,M,816485,EUR,776908800,D,90,90,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Yasir Subaşı,yasir-subasi,Y. Subaşı,D,3,180,51,M,796555,EUR,820454400,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434007,home,Konyaspor,Amilton da Silva,amilton-da-silva,A. d. Silva,M,89,172,45,M,803148,EUR,618883200,F,93,93,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
