match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_possessionLostCtrl,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside
11391261,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,21.0,21.0,6.0,6.0,18.0,18.0,3.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,90.0,29.0,7.4,0.00185338,1.0,0,0.1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391261,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,91.0,77.0,13.0,8.0,47.0,49.0,32.0,47.0,2.0,6.0,,,,,,90.0,115.0,7.9,0.185051,3.0,0,,5.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,19.0,,,,,,,,,,,,,,,,,
11391261,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,98.0,88.0,9.0,4.0,56.0,59.0,32.0,40.0,3.0,3.0,,,,,,90.0,109.0,7.3,0.0110713,,0,,1.0,,6.0,6.0,9.0,,,,,2.0,1.0,,12.0,,,True,5.0,1.0,1.0,1.0,1.0,,,,,,,,,
11391261,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,106.0,93.0,13.0,6.0,62.0,66.0,31.0,40.0,5.0,7.0,,,,,,90.0,117.0,7.3,0.012117,,0,,,,2.0,1.0,4.0,,,,,,,,14.0,,,,1.0,,2.0,,2.0,,,,,,,,,
11391261,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,72.0,61.0,2.0,,29.0,30.0,32.0,47.0,1.0,4.0,,,,,,90.0,94.0,7.1,0.0196993,,1,,5.0,,2.0,2.0,4.0,,2.0,,,,,1.0,21.0,,,,,,1.0,4.0,1.0,1.0,1.0,0.0193,0.3145,,,,,
11391261,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,27.0,24.0,5.0,4.0,16.0,18.0,8.0,9.0,,7.0,,,,,,28.0,34.0,6.8,0.00318176,,0,,,,1.0,2.0,3.0,1.0,,,,1.0,1.0,,5.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
11391261,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,53.0,48.0,3.0,1.0,22.0,23.0,27.0,31.0,,2.0,,,,,,90.0,59.0,7.0,0.143253,1.0,2,,1.0,1.0,1.0,,1.0,,,,,,,,6.0,,,,,,,1.0,,,,0.1388,,1.0,1.0,,,
11391261,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,29.0,25.0,3.0,1.0,7.0,8.0,18.0,23.0,1.0,3.0,,,,,,41.0,45.0,6.8,0.0721143,1.0,0,,2.0,,,7.0,6.0,,6.0,,,2.0,2.0,1.0,11.0,,,,,2.0,,,2.0,2.0,,,,,,,,
11391261,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,33.0,27.0,,,13.0,15.0,14.0,19.0,,2.0,,,,,,74.0,53.0,6.8,0.0140645,,2,,1.0,,1.0,3.0,8.0,1.0,3.0,,,4.0,4.0,,14.0,,,,,,,4.0,2.0,1.0,,0.2041,,2.0,,1.0,,
11391261,home,Stade Brestois,Martín Satriano,martin-satriano,M. Satriano,F,10,187,2192,M,973536,EUR,982627200,M,7,7,False,30.0,25.0,5.0,4.0,9.0,9.0,17.0,23.0,2.0,,,,,,,90.0,48.0,6.3,0.0671092,1.0,0,,2.0,1.0,,9.0,1.0,4.0,2.0,,,,,,17.0,,,,3.0,,,4.0,1.0,,,,,,,,,
