match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_totalOffside
12764354,home,RFS,Fabrice Ondoa,fabrice-ondoa,F. Ondoa,G,185,1247,M,316088,EUR,819763200,G,40,40,False,25.0,8.0,21.0,5.0,0.0,5.0,9.0,3.0,16.0,2.0,2.0,3.0,12.0,1.0,2.0,5.0,3.0,90.0,39.0,8.3,17.0,0.00087849,0,0.5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764354,home,RFS,Roberts Savaļnieks,roberts-savalnieks,R. Savaļnieks,D,168,60,M,63482,EUR,728784000,D,11,11,False,26.0,21.0,3.0,2.0,0.0,14.0,15.0,7.0,12.0,,4.0,3.0,4.0,,,,,90.0,47.0,6.9,12.0,0.0079364,2,,11,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,0.0527,,,,,,,,,,,,,,,,,,,,,,,,
12764354,home,RFS,Haruna Njie,haruna-njie,H. Njie,D,169,229,M,1471503,EUR,1127433600,D,30,30,False,34.0,27.0,5.0,2.0,0.0,19.0,24.0,8.0,10.0,1.0,6.0,5.0,4.0,,,,,90.0,47.0,7.4,8.0,0.005404,0,,30,,,,,,5.0,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12764354,home,RFS,Herdi Prenga,herdi-prenga,H. Prenga,D,190,38,M,149669,EUR,778291200,D,23,23,False,23.0,18.0,11.0,6.0,0.0,14.0,15.0,4.0,8.0,2.0,3.0,7.0,3.0,,,,,90.0,33.0,6.8,6.0,0.0019704,0,,23,,2.0,5.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12764354,home,RFS,Žiga Lipušček,ziga-lipuscek,Ž. Lipušček,D,199,45,M,886112,EUR,852422400,D,43,43,False,29.0,18.0,12.0,5.0,0.0,15.0,20.0,3.0,9.0,4.0,7.0,9.0,5.0,,,,,90.0,46.0,7.3,13.0,0.00200468,0,,43,,1.0,4.0,,,2.0,2.0,1.0,,,,2.0,,1.0,True,1.0,2.0,1.0,,,,,,,,,,,,,,,
12764354,home,RFS,Lasha Odisharia,lasha-odisharia,L. Odisharia,M,184,185,M,1117380,EUR,1035331200,D,8,8,False,21.0,16.0,4.0,1.0,0.0,9.0,12.0,7.0,10.0,,7.0,1.0,7.0,,,,,90.0,57.0,7.2,16.0,0.005668,1,,8,1.0,1.0,9.0,3.0,1.0,4.0,3.0,5.0,0.0262,Lasha Odisharia,,4.0,,3.0,,,5.0,3.0,1.0,,,,,,,,,,,,,,
12764354,home,RFS,Adam Markhiev,adam-markhiyev,A. Markhiev,M,183,295,M,1047004,EUR,1016323200,M,27,27,False,29.0,25.0,4.0,3.0,0.0,11.0,12.0,14.0,17.0,2.0,8.0,,13.0,,,,,90.0,51.0,7.5,10.0,0.0516896,3,,6,,2.0,8.0,1.0,,2.0,1.0,2.0,0.1019,,,,2.0,3.0,,1.0,4.0,2.0,2.0,1.0,2.0,1.0,0.4105,,,,,,,,,,
12764354,home,RFS,Stefan Panić,stefan-panic,S. Panić,M,195,72,M,799189,EUR,716947200,M,26,26,False,44.0,39.0,4.0,3.0,0.0,22.0,26.0,17.0,18.0,3.0,8.0,3.0,8.0,,,,,90.0,61.0,7.3,7.0,0.0260711,0,,26,,,3.0,1.0,,2.0,2.0,1.0,,,,3.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
12764354,home,RFS,Dmitrijs Zelenkovs,dmitrijs-zelenkovs,D. Zelenkovs,M,178,53,M,970871,EUR,958348800,M,18,18,False,27.0,17.0,1.0,,0.0,7.0,9.0,10.0,18.0,,,2.0,6.0,,,,,90.0,40.0,6.5,13.0,0.0154568,0,,18,,,2.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
12764354,home,RFS,Jānis Ikaunieks,janis-ikaunieks,J. Ikaunieks,M,183,461,M,170345,EUR,792892800,F,9,9,False,28.0,17.0,5.0,,0.0,7.0,10.0,10.0,19.0,3.0,6.0,4.0,10.0,,,,,90.0,60.0,7.0,31.0,0.00382527,1,,10,1.0,7.0,13.0,3.0,,2.0,1.0,13.0,0.0549,,,1.0,,1.0,,,3.0,1.0,,1.0,,,0.5157,1.0,1.0,,,,,,,,
