match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_wonContest,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_errorLeadToAShot,player_firstName,player_lastName,stat_bigChanceMissed,stat_totalOffside
14109718,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,40.0,17.0,32.0,10.0,0.0,9.0,10.0,8.0,30.0,2.0,2.0,1.0,11.0,1.0,1.0,8.0,1.0,8.0,90.0,51.0,9.5,23.0,0.00461845,36.142565184358,6.0,26.775,6.615,1.9312,0,0.5705,0.15,0.01,-0.22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109718,home,Başakşehir FK,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,6,6,False,20.0,16.0,1.0,,1.0,4.0,5.0,12.0,15.0,,7.0,4.0,3.0,1.0,,,,,90.0,44.0,6.5,8.0,0.314365,32.252894590349,4.0,24.045,12.81,,0,,0.49,0.03,-0.82,,5.0,4.0,1.0,6.0,2.0,2.0,1.0,6.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
14109718,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,21.0,17.0,2.0,1.0,0.0,12.0,14.0,5.0,7.0,2.0,5.0,4.0,4.0,,,,,,90.0,33.0,5.9,5.0,0.00152083,28.213895021346,4.0,15.435,9.765,,2,,0.03,0.01,-0.6,,,,1.0,1.0,,,1.0,3.0,1.0,,2.0,True,1.0,1.0,1.0,1.0,1.0,0.0868,-0.3,,,,,,,,,,,,
14109718,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,20.0,19.0,3.0,3.0,0.0,12.0,12.0,7.0,8.0,1.0,4.0,3.0,3.0,1.0,,,,,90.0,30.0,6.1,2.0,0.00286399,44.473034066335,6.0,11.76,12.18,,0,,0.04,0.02,-0.34,,,,3.0,6.0,1.0,,,2.0,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,
14109718,home,Başakşehir FK,Festy Ebosele,festy-ebosele,F. Ebosele,D,36,180,588,M,983059,EUR,1028246400,D,36,36,False,6.0,3.0,1.0,,0.0,,,3.0,6.0,1.0,1.0,,,,,,,,10.0,7.0,3.0,3.0,0.00147233,,,,,,0,,-0.09,-0.02,0.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14109718,home,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,False,28.0,26.0,5.0,4.0,0.0,13.0,13.0,13.0,15.0,,4.0,3.0,3.0,2.0,,,,,81.0,41.0,6.4,5.0,0.0175233,149.03370253176,12.0,76.755,29.085,,0,,0.12,0.23,-0.24,,,,1.0,4.0,,2.0,2.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
14109718,home,Başakşehir FK,Umut Güneş,umut-gunes,U. Güneş,M,20,177,131,M,876782,EUR,953164800,M,20,20,False,15.0,15.0,1.0,1.0,0.0,4.0,4.0,11.0,11.0,1.0,4.0,2.0,2.0,,,,,,81.0,34.0,6.9,3.0,0.015384,37.632917769343,6.0,18.06,8.61,,1,,0.13,-0.19,0.16,,1.0,,,2.0,,1.0,2.0,3.0,2.0,1.0,,,,1.0,,,,0.0742,-0.05,,,,,,,,,,,,
14109718,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,,,,13.0,4.0,6.6,2.0,0.00548506,13.24449916251,2.0,-4.935,0.0,,0,,-0.02,0.03,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109718,home,Başakşehir FK,Eldor Shomurodov,shomurodov-eldor,E. Shomurodov,F,14,190,32386,M,791355,EUR,804384000,M,14,14,False,25.0,17.0,1.0,1.0,0.0,8.0,9.0,9.0,16.0,5.0,7.0,,2.0,1.0,,,,,90.0,41.0,7.1,18.0,0.0167186,49.17604416489,6.0,21.63,25.83,,2,,-0.18,0.08,-0.26,,1.0,,3.0,9.0,1.0,3.0,,2.0,,,,,,1.0,,1.0,4.0,0.1672,0.49,2.0,,,1.0,1.0,0.7127,,,,,,
14109718,home,Başakşehir FK,Amine Harit,amine-harit,A. Harit,M,25,179,11354,M,827522,EUR,866592000,M,25,25,False,17.0,14.0,1.0,1.0,0.0,3.0,5.0,11.0,12.0,,3.0,1.0,3.0,2.0,,,,,62.0,24.0,6.8,4.0,0.133004,51.728673489273,6.0,11.97,11.76,,0,,0.3,0.05,-0.14,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,amineharit,1.0,,,,
