match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,from,confirmed,reason
14109718,FT,3.0,4.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
14109718,,,,,90,11.0,,1,,,card,Ernest Muçi,False,124378170.0,False,yellow,924670.0,Ernest Muçi,,,,,
14109718,,3.0,4.0,,90,11.0,,1,,,goal,,,330284870.0,False,regular,924670.0,Ernest Muçi,,,,,
14109718,,3.0,3.0,,90,1.0,,1,,,goal,,,330284515.0,True,regular,1382235.0,Bertuğ Yıldırım,,,,,
14109718,,,,,90,0.0,,1,,,injuryTime,,,,,,,,8.0,,,,
14109718,,,,,86,,,5,,,substitution,,,125182173.0,False,regular,,,,False,,,
14109718,,,,,81,,,10,,,substitution,,,125182147.0,True,regular,,,,False,,,
14109718,,,,,81,,,10,,,substitution,,,125182137.0,True,regular,,,,False,,,
14109718,,,,,81,,,10,,,substitution,,,125182148.0,True,regular,,,,False,,,
14109718,,2.0,3.0,,77,,,14,,,goal,,,330283828.0,False,regular,924670.0,Ernest Muçi,,,,,
14109718,,2.0,2.0,,76,,,15,,,goal,,,330283752.0,False,penalty,295123.0,Paul Onuachu,,,penalty,,
14109718,,,,,73,,,18,,,varDecision,,,91929.0,False,penaltyNotAwarded,353282.0,Oleksandr Zubkov,,,,False,
14109718,,,,,63,,,28,,,substitution,,,125182110.0,False,injury,,,,True,,,
14109718,,,,,62,,,29,,,substitution,,,125182107.0,True,regular,,,,False,,,
14109718,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
14109718,,2.0,1.0,,45,,,1,,,goal,,,330281390.0,True,regular,791355.0,Eldor Shomurodov,,,,,
14109718,,,,,45,0.0,,1,,,injuryTime,,,,,,,,7.0,,,,
14109718,,1.0,1.0,,37,,,9,,,goal,,,330280968.0,False,regular,1106681.0,Felipe Augusto,,,,,
14109718,,,,,33,,,13,,,card,Olivier Kemen,False,124377948.0,True,yellow,280447.0,Olivier Kemen,,,,,Foul
14109718,,,,,31,,,15,,,card,Ousseynou Ba,False,124377946.0,True,yellow,889430.0,Ousseynou Ba,,,,,Foul
14109718,,1.0,0.0,,22,,,24,,,goal,,,330280282.0,True,penalty,187437.0,Davie Selke,,,penalty,,
14109718,,,,,19,,,27,,,varDecision,,,91921.0,True,penaltyNotAwarded,839982.0,Léo Duarte,,,,False,
14109718,,,,,16,,,30,,,card,Christ Inao Oulaï,False,124377919.0,False,yellow,1888002.0,Christ Inao Oulaï,,,,,Foul
14109718,,,,,13,,,33,,,substitution,,,125181855.0,True,regular,,,,False,,,
14109718,,,,,11,,,35,,,substitution,,,125181849.0,False,injury,,,,True,,,
14109718,,,,,10,,,36,,,card,Festy Ebosele,False,124377906.0,True,red,983059.0,Festy Ebosele,,,,,Foul
14109718,,,,,9,,,37,,,varDecision,,,91920.0,True,cardUpgrade,983059.0,Festy Ebosele,,,,False,
