match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,length,playerName,reason,rescinded
11409204,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11409204,,2.0,1.0,,90,10.0,,1,,,goal,171596555.0,True,regular,869461.0,Léo Cordeiro,,,,,
11409204,,,,,90,9.0,,1,,,substitution,121961690.0,False,injury,,,True,,,,
11409204,,,,,90,0.0,,1,,,injuryTime,,,,,,,10.0,,,
11409204,,,,,87,,,4,,,substitution,121961629.0,True,regular,,,False,,,,
11409204,,,,,87,,,4,,,card,120864542.0,False,yellow,920684.0,Jordan Holsgrove,,,Jordan Holsgrove,Time wasting,False
11409204,,,,,87,,,4,,,card,120864541.0,True,yellow,1123234.0,Ronald,,,Ronald,Argument,False
11409204,,,,,81,,,10,,,substitution,121961610.0,True,regular,,,False,,,,
11409204,,,,,72,,,19,,,substitution,121961542.0,True,regular,,,False,,,,
11409204,,,,,72,,,19,,,substitution,121961541.0,True,regular,,,False,,,,
11409204,,,,,72,,,19,,,substitution,121961540.0,True,regular,,,False,,,,
11409204,,1.0,1.0,,67,,,24,,,goal,171595866.0,False,regular,1087321.0,Joao Marques,,,,,
11409204,,,,,60,,,31,,,substitution,121961486.0,False,injury,,,True,,,,
11409204,,,,,54,,,37,,,substitution,121961437.0,False,regular,,,False,,,,
11409204,,,,,54,,,37,,,substitution,121961438.0,False,regular,,,False,,,,
11409204,,,,,54,,,37,,,substitution,121961436.0,False,regular,,,False,,,,
11409204,,1.0,0.0,,47,,,44,,,goal,171595574.0,True,regular,828707.0,Ronaldo Tavares,,,,,
11409204,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11409204,,,,,45,0.0,,1,,,injuryTime,,,,,,,2.0,,,
