match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_bigChanceCreated,stat_goals
12499404,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,28.0,24.0,7.0,3.0,0.0,24.0,25.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,90.0,34.0,6.2,4.0,8.751e-05,0,-1.2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499404,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,51.0,43.0,7.0,4.0,0.0,29.0,31.0,20.0,8.0,3.0,1.0,,,,,90.0,68.0,7.3,9.0,0.00981967,4,,True,14.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7955,0.1648,1.0,,,,,,,,,,,,,,,,,
12499404,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,35.0,31.0,2.0,1.0,0.0,25.0,26.0,9.0,8.0,2.0,2.0,2.0,,,,90.0,58.0,6.9,8.0,0.0228543,4,,,6.0,,2.0,3.0,1.0,,,,1.0,2.0,2.0,3.0,2.0,0.235,0.067,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,
12499404,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,52.0,39.0,13.0,5.0,0.0,24.0,28.0,24.0,3.0,4.0,1.0,,,,,90.0,63.0,6.8,13.0,0.0530867,2,,,15.0,2.0,1.0,4.0,1.0,,,,1.0,,,3.0,,0.2411,0.0717,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,
12499404,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,M,23,23,False,49.0,41.0,3.0,2.0,0.0,15.0,18.0,35.0,3.0,5.0,,,,,,90.0,77.0,6.7,18.0,0.0442243,1,,,26.0,,,1.0,,2.0,1.0,,,1.0,4.0,,,0.0207,,1.0,,,2.0,,,,,4.0,,,,,,,,,
12499404,home,1. FC Heidenheim,Luca Kerber,luca-kerber,L. Kerber,M,20,180,120,M,1097453,EUR,1015718400,M,20,20,False,12.0,8.0,1.0,,0.0,8.0,9.0,3.0,2.0,3.0,1.0,1.0,,,,33.0,17.0,6.3,5.0,0.00015058,0,,,,1.0,,3.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
12499404,home,1. FC Heidenheim,Paul Wanner,paul-wanner,P. Wanner,M,10,186,3841,M,1146018,EUR,1135296000,M,10,10,False,28.0,22.0,4.0,1.0,0.0,4.0,4.0,26.0,,2.0,,,,,,71.0,40.0,6.6,12.0,0.0934588,2,,,19.0,1.0,,2.0,1.0,,,,,2.0,1.0,1.0,3.0,0.0593,,,,,,,,,,2.0,1.0,,,,,,,,
12499404,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,M,19,19,False,12.0,12.0,2.0,2.0,0.0,3.0,3.0,11.0,1.0,1.0,1.0,,,,,62.0,22.0,6.4,2.0,0.0178975,0,,,9.0,,,2.0,,,,,,,1.0,,,,,,,,,2.0,,,,2.0,,1.0,,,,,,,
12499404,home,1. FC Heidenheim,Sirlord Conteh,sirlord-conteh,S. Conteh,F,31,178,175,M,800400,EUR,836870400,F,31,31,False,10.0,8.0,,,0.0,,2.0,10.0,1.0,,,,,,,45.0,13.0,6.6,4.0,0.0169512,1,,,8.0,,1.0,,,,,,,,,,,0.0235,,,,1.0,,,,,,2.0,,1.0,,,,,,,
12499404,home,1. FC Heidenheim,Mathias Honsak,mathias-honsak,M. Honsak,M,17,188,255,M,575952,EUR,851040000,F,17,17,False,33.0,30.0,1.0,1.0,0.0,15.0,15.0,23.0,3.0,7.0,1.0,1.0,,,,90.0,54.0,6.6,15.0,0.286998,0,,,16.0,3.0,1.0,9.0,1.0,1.0,,,,,1.0,,2.0,,,2.0,3.0,,1.0,1.0,,,,5.0,1.0,,,,,,,,
