match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,stat_errorLeadToAGoal,stat_shotOffTarget,stat_expectedGoals,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_totalContest,stat_bigChanceMissed,stat_wonContest,stat_totalOffside,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_hitWoodwork
12448379,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,True,46.0,36.0,17.0,7.0,0.0,31.0,32.0,5.0,14.0,1.0,12.0,1.0,2.0,90.0,55.0,6.6,10.0,0.281471,1.0,0,-1.0927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448379,home,Sparta Rotterdam,Boyd Reith,boyd-reith,B. Reith,D,2,175,53,M,825836,EUR,925862400,D,2,2,False,,23.0,19.0,1.0,,0.0,12.0,14.0,7.0,9.0,,2.0,,,33.0,36.0,6.3,5.0,0.0338487,1.0,0,,,,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12448379,home,Sparta Rotterdam,Rick Meissen,rick-meissen,R. Meissen,D,3,193,44,M,1048906,EUR,1014508800,D,3,3,False,,33.0,29.0,6.0,3.0,0.0,20.0,21.0,9.0,12.0,,1.0,,,33.0,36.0,6.0,4.0,0.00386649,,0,,Rick Meijssen,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12448379,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,,105.0,93.0,14.0,8.0,0.0,42.0,46.0,51.0,59.0,,5.0,,,90.0,112.0,7.0,12.0,0.0878651,1.0,1,,,,6.0,1.0,6.0,,4.0,,,,,,1.0,,,1.0,0.0369,,,,,,,,,,,,,,,,
12448379,home,Sparta Rotterdam,Mike Kleijn,kleijn-mike,M. Kleijn,D,15,175,123,M,1193084,EUR,1107907200,D,5,5,False,,18.0,16.0,5.0,5.0,0.0,10.0,10.0,6.0,8.0,,1.0,,,33.0,23.0,6.5,2.0,0.00185994,,0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12448379,home,Sparta Rotterdam,Pelle Clement,pelle-clement,P. Clement,M,6,177,70,M,795135,EUR,832464000,M,8,8,False,,62.0,50.0,6.0,4.0,0.0,20.0,26.0,31.0,41.0,,2.0,,,90.0,77.0,7.6,17.0,0.163898,2.0,4,,,,6.0,6.0,6.0,2.0,,,,,,,2.0,,,1.0,0.7214,,5.0,1.0,1.0,1.0,2.0,1.0,1.0,0.248,,,,,,,
12448379,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,6,6,False,,56.0,49.0,3.0,1.0,1.0,21.0,21.0,29.0,36.0,,5.0,,,72.0,69.0,7.1,10.0,0.161656,3.0,2,,,,2.0,2.0,5.0,,,,2.0,2.0,,2.0,1.0,,,1.0,0.4716,1.0,1.0,1.0,,1.0,,,,0.1861,1.0,1.0,,,,,
12448379,home,Sparta Rotterdam,Camiel Neghli,camiel-neghli,C. Neghli,M,10,180,992,M,1089021,EUR,1005004800,M,7,7,False,,50.0,39.0,4.0,3.0,0.0,9.0,10.0,32.0,44.0,1.0,4.0,,,90.0,70.0,8.1,19.0,0.366998,4.0,3,,Camiel Neghli,,1.0,8.0,4.0,,,1.0,2.0,2.0,,3.0,4.0,,,2.0,0.0951,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,0.2261,2.0,,,,,,
12448379,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,,22.0,17.0,3.0,,0.0,6.0,7.0,11.0,16.0,,5.0,,,90.0,37.0,6.7,9.0,0.0122486,,2,,,,1.0,4.0,4.0,2.0,,,2.0,,,3.0,,,,,0.3585,1.0,1.0,,,2.0,,,2.0,0.4434,,,,,,,
12448379,home,Sparta Rotterdam,Mohamed Nassoh,mohamed-nassoh,M. Nassoh,M,10,186,724,M,1088895,EUR,1043539200,M,11,11,False,,39.0,33.0,3.0,2.0,0.0,7.0,7.0,26.0,35.0,,3.0,,,80.0,55.0,6.8,12.0,0.058004,,0,,Mohamed Nassoh,,,5.0,4.0,,,,2.0,1.0,,2.0,4.0,,,,,1.0,3.0,,,,,,1.0,,1.0,,1.0,,,,
