match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_interceptionWon,stat_unsuccessfulTouch,player_sofascoreId,stat_goalAssist,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_keyPass,stat_totalCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_errorLeadToAShot,captain,stat_totalOffside,player_firstName,player_lastName,stat_bigChanceMissed,stat_bigChanceCreated
11406799,home,Bologna,Federico Ravaglia,federico-ravaglia,F. Ravaglia,G,13,196.0,580,M,850952,EUR,942278400,G,34,34,False,30.0,26.0,5.0,1.0,25.0,27.0,1.0,3.0,1.0,9.0,2.0,2.0,1.0,90.0,37.0,7.1,4.0,0.00016132,0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406799,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188.0,1364,M,355486,EUR,863568000,D,3,3,False,71.0,67.0,4.0,3.0,46.0,47.0,21.0,24.0,2.0,3.0,,,,83.0,84.0,6.9,4.0,0.0243017,0,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11406799,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185.0,4571,M,818481,EUR,898819200,D,26,26,False,105.0,98.0,5.0,3.0,68.0,70.0,30.0,35.0,2.0,7.0,,,,90.0,115.0,7.3,8.0,0.0252481,0,,,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406799,home,Bologna,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188.0,24414,M,957602,EUR,1021766400,D,33,33,False,117.0,108.0,6.0,2.0,67.0,69.0,41.0,48.0,3.0,9.0,,,,90.0,136.0,8.4,12.0,0.102295,0,,1.0,1.0,3.0,7.0,,4.0,3.0,1.0,1.0,2.0,richycala,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
11406799,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188.0,706,M,98212,EUR,751248000,D,22,22,False,61.0,53.0,4.0,1.0,26.0,29.0,27.0,35.0,,5.0,,,,90.0,79.0,7.7,12.0,0.0170775,3,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,3.0,2.0,1.0,1.0,0.1613,0.3634,,,,,,,,,,
11406799,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181.0,1928,M,115516,EUR,703296000,M,8,8,False,75.0,73.0,1.0,,38.0,38.0,35.0,37.0,1.0,5.0,,,,74.0,90.0,8.1,3.0,0.156577,0,,,,,7.0,,7.0,4.0,,3.0,1.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,
11406799,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183.0,5740,M,793645,EUR,854064000,M,7,7,False,29.0,21.0,1.0,,10.0,12.0,12.0,18.0,,4.0,,,,64.0,43.0,6.5,17.0,0.114732,3,,,,8.0,,2.0,,,1.0,,2.0,,,4.0,,,,1.0,1.0,1.0,1.0,1.0,0.1747,0.5443,1.0,2.0,1.0,1.0,,,,,,
11406799,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182.0,1236,M,850891,EUR,852508800,M,20,20,False,92.0,85.0,1.0,1.0,48.0,50.0,37.0,42.0,,9.0,,,,90.0,97.0,7.2,9.0,0.0641133,0,,,,2.0,3.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,
11406799,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181.0,1972,M,907152,EUR,935452800,M,19,19,False,63.0,59.0,2.0,1.0,17.0,17.0,42.0,46.0,,1.0,,,,74.0,79.0,6.8,9.0,0.0561386,3,,,1.0,8.0,4.0,2.0,,,2.0,,,,,4.0,2.0,1.0,2.0,1.0,,,,,0.2114,,,2.0,3.0,,True,,,,,
11406799,home,Bologna,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180.0,7592,M,901891,EUR,930441600,M,56,56,False,54.0,48.0,,,17.0,18.0,31.0,39.0,1.0,7.0,,,,90.0,81.0,8.4,16.0,0.130037,1,,,,4.0,5.0,,1.0,1.0,1.0,1.0,1.0,AS56,1.0,3.0,,,4.0,2.0,3.0,,1.0,1.0,0.0297,0.6628,,1.0,,,,,,,,
