match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalContest,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed
13981510,home,Cremonese,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,40.0,30.0,17.0,7.0,0.0,28.0,33.0,2.0,7.0,1.0,1.0,1.0,8.0,1.0,1.0,3.0,90.0,49.0,7.3,10.0,0.00028673,0.5893,0,-0.3806,0.01,0.14,-0.07,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181,1614,M,1034303,EUR,1044662400,D,24,24,False,49.0,45.0,2.0,,0.0,33.0,34.0,12.0,15.0,2.0,2.0,8.0,3.0,,,,81.0,67.0,6.0,5.0,0.00372796,,0,,0.03,0.13,-0.51,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Federico Baschirotto,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,65.0,62.0,4.0,3.0,0.0,46.0,47.0,16.0,18.0,3.0,4.0,6.0,5.0,,,,90.0,81.0,6.3,5.0,0.0137449,,0,,0.21,0.11,-0.43,,1.0,6.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Matteo Bianchetti,matteo-bianchetti,M. Bianchetti,D,15,189,177,M,158037,EUR,732326400,D,15,15,False,73.0,67.0,5.0,4.0,0.0,42.0,45.0,25.0,28.0,4.0,6.0,5.0,4.0,,,,90.0,89.0,6.5,10.0,0.0159776,,0,,0.22,-0.14,-0.43,,2.0,3.0,,,,,,2.0,1.0,1.0,1.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Tommaso Barbieri,tommaso-barbieri,T. Barbieri,M,4,181,494,M,993389,EUR,1030320000,M,4,4,False,35.0,25.0,5.0,1.0,0.0,13.0,18.0,12.0,17.0,1.0,7.0,2.0,4.0,2.0,,,90.0,69.0,6.8,21.0,0.0245359,,1,,-0.03,0.11,-0.02,,7.0,5.0,1.0,1.0,1.0,,,4.0,2.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,0.0458,1.0,-0.14,,,,,,,,,,,,,
13981510,home,Cremonese,Martín Payero,martin-payero,M. Payero,M,32,182,791,M,895592,EUR,905472000,M,32,32,False,34.0,26.0,5.0,1.0,0.0,12.0,15.0,14.0,19.0,,5.0,2.0,2.0,3.0,,,90.0,56.0,6.6,17.0,0.0334199,,1,,0.2,0.18,-0.08,,4.0,4.0,,,,,2.0,2.0,,,6.0,3.0,,,,,1.0,,,0.0155,1.0,-0.07,1.0,,,,,,,,,,,,
13981510,home,Cremonese,Warren Bondo,warren-bondo,W. Bondo,M,38,177,2004,M,1000366,EUR,1063584000,M,38,38,False,33.0,29.0,2.0,2.0,0.0,15.0,16.0,14.0,17.0,,5.0,,2.0,3.0,,,62.0,44.0,6.7,6.0,0.0602374,,0,,0.04,0.15,-0.06,,,4.0,,,,,1.0,,,,,1.0,,2.0,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,
13981510,home,Cremonese,Jari Vandeputte,jari-vandeputte,J. Vandeputte,M,27,174,901,M,318645,EUR,824256000,M,27,27,False,59.0,49.0,10.0,4.0,0.0,28.0,30.0,21.0,29.0,1.0,6.0,2.0,3.0,1.0,,,90.0,74.0,6.8,14.0,0.0384219,,1,,0.21,0.17,-0.26,,2.0,4.0,2.0,,1.0,1.0,1.0,4.0,2.0,,1.0,,,,,,,1.0,1.0,0.0315,1.0,0.01,,,,,,,,,,,,,
13981510,home,Cremonese,Romano Floriani Mussolini,romano-floriani-mussolini,R. F. Mussolini,M,22,188,1584,M,1100354,EUR,1043625600,M,22,22,False,18.0,15.0,1.0,1.0,0.0,8.0,10.0,7.0,8.0,1.0,1.0,1.0,4.0,,,,71.0,30.0,6.2,8.0,0.0024355,,0,,-0.08,-0.1,-0.06,,,6.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,Romano,Floriani,,2.0,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Federico Bonazzoli,federico-bonazzoli,F. Bonazzoli,F,90,182,985,M,284363,EUR,864172800,F,90,90,False,23.0,20.0,,,0.0,6.0,7.0,14.0,16.0,,1.0,1.0,1.0,1.0,,,71.0,28.0,6.4,5.0,0.0156427,,1,,-0.25,0.04,0.13,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,0.0774,,0.11,,,1.0,0.6295,,,,,,,,,
13981510,home,Cremonese,Jamie Vardy,jamie-vardy,J. Vardy,F,10,178,23077,M,173827,EUR,537321600,F,10,10,False,8.0,4.0,,,0.0,2.0,2.0,2.0,6.0,3.0,4.0,,1.0,,,,90.0,14.0,8.0,6.0,0.0171654,,2,,-0.1,0.3,-0.01,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,0.3013,,0.5,,,1.0,0.4136,Vardy7,1.0,,,,,,,
13981510,home,Cremonese,Jeremy Sarmiento,jeremy-sarmiento,J. Sarmiento,M,45,178,5120,M,983816,EUR,1024185600,M,19,19,True,6.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,,2.0,,,1.0,,,28.0,17.0,6.4,5.0,0.00272433,,0,,-0.04,0.04,-0.09,,1.0,3.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,jeremysarm7ento,,,,,,,,
13981510,home,Cremonese,Mikayil Faye,mikayil-faye,M. Faye,D,30,183,9505,M,1002564,EUR,1089763200,D,30,30,True,10.0,8.0,2.0,1.0,0.0,6.0,7.0,2.0,3.0,,2.0,,1.0,1.0,,,19.0,15.0,6.8,2.0,0.0003671,,1,,-0.04,0.06,0.15,,,,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,0.0258,,-0.09,,,,,mikayilfaye,,,,,,,,
13981510,home,Cremonese,Franco Vázquez,franco-vazquez,F. Vázquez,F,20,187,1036,M,215246,EUR,604108800,F,20,20,True,12.0,12.0,1.0,1.0,0.0,3.0,3.0,9.0,9.0,1.0,4.0,,3.0,1.0,,,19.0,18.0,6.9,2.0,0.0247141,,1,,0.12,0.14,0.16,,,3.0,,,,,1.0,2.0,2.0,,,,,,,,,2.0,1.0,0.0258,1.0,-0.06,,,,,,,,,,,,,
13981510,home,Cremonese,Dennis Johnsen,dennis-johnsen,D. Johnsen,F,7,185,301,M,869275,EUR,887673600,F,11,11,True,5.0,2.0,2.0,1.0,1.0,,1.0,2.0,4.0,,,,1.0,,,,9.0,9.0,6.6,5.0,0.0028732,,1,,-0.03,0.02,-0.02,,,,,,,,,,,,2.0,,,,,,,,,0.0169,1.0,-0.05,1.0,,,,,,1.0,,,,,,
13981510,home,Cremonese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,16,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Lapo Nava,lapo-nava,L. Nava,G,69,189,465,M,1141168,EUR,1074729600,G,69,69,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981510,home,Cremonese,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,23,187,130,M,139410,EUR,705542400,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
