match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13472696,away,Palmeiras,Agustín Giay,agustin-giay,A. Giay,D,4,180,5030,M,,1106603,EUR,1074211200,D,4,4,False,64.0,53.0,9.0,6.0,0.0,20.0,23.0,33.0,41.0,1.0,4.0,,,,90.0,91.0,7.6,15.0,0.0307351,1,,Agustín Giay,,3.0,,,1.0,6.0,,,1.0,1.0,3.0,2.0,2.0,,,0.0304,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
13472696,away,Palmeiras,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190,3790,M,,973737,EUR,922924800,D,3,3,False,47.0,41.0,14.0,9.0,0.0,27.0,29.0,14.0,18.0,5.0,,,,,90.0,62.0,7.1,6.0,0.0125075,0,,,,,,2.0,3.0,5.0,,,,2.0,1.0,1.0,3.0,,,,,1.0,1.0,,,1.0,,,,,,,,,
13472696,away,Palmeiras,Micael,micael,Micael,D,13,190,2254,M,,1105341,EUR,966038400,D,13,13,False,37.0,32.0,7.0,5.0,0.0,27.0,30.0,5.0,7.0,4.0,4.0,,,,90.0,51.0,7.1,6.0,0.00391257,1,,Micael,,,,4.0,5.0,7.0,,,,,3.0,2.0,,1.0,,0.0188,,4.0,,1.0,,,,,1.0,,0.033,,,,
13472696,away,Palmeiras,Joaquín Piquerez,joaquin-piquerez,J. Piquerez,D,22,183,6392,M,,881110,EUR,903916800,D,22,22,False,46.0,39.0,7.0,4.0,0.0,17.0,18.0,22.0,28.0,,7.0,,,,90.0,81.0,6.7,16.0,0.0949992,3,,,,7.0,1.0,,5.0,5.0,2.0,,,1.0,3.0,1.0,1.0,2.0,,0.0413,1.0,1.0,,1.0,,1.0,,,1.0,2.0,0.2128,,,,
13472696,away,Palmeiras,Richard Ríos,richard-rios,R. Ríos,M,20,185,34402,M,richardrios,1015292,EUR,959904000,M,8,8,False,29.0,27.0,4.0,4.0,0.0,8.0,8.0,19.0,21.0,,5.0,,,,63.0,46.0,6.9,7.0,0.0213637,0,,,,4.0,2.0,,3.0,4.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,
13472696,away,Palmeiras,Emiliano Martínez,emiliano-martinez,E. Martínez,M,32,184,3839,M,,973533,EUR,934848000,M,32,32,False,26.0,24.0,3.0,2.0,0.0,6.0,6.0,18.0,20.0,1.0,3.0,,,,63.0,40.0,7.1,5.0,0.0244982,3,,,,,,1.0,5.0,5.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,0.1827,1.0,2.0,,1.0,,1.0,1.0,,1.0,2.0,0.2757,,,,
13472696,away,Palmeiras,Estêvão,estevao,Estêvão,M,41,176,196577,M,Estêvão,1597265,EUR,1177372800,M,41,41,False,31.0,23.0,1.0,1.0,0.0,2.0,4.0,21.0,27.0,,2.0,,,,90.0,63.0,6.4,23.0,0.171552,2,,Estêvão,,7.0,3.0,,11.0,6.0,11.0,2.0,,1.0,1.0,,3.0,2.0,,0.0252,5.0,,,2.0,,,,,,2.0,,,,,
13472696,away,Palmeiras,Raphael Veiga,raphael-veiga,R. Veiga,M,23,176,17123,M,raphaelveiga,840020,EUR,803520000,M,23,23,False,17.0,16.0,3.0,3.0,0.0,3.0,4.0,13.0,13.0,,1.0,,,,45.0,28.0,6.8,5.0,0.116534,0,,,,5.0,2.0,,,1.0,,,,,,,1.0,,,,2.0,,,1.0,,,,True,,,,,,,
13472696,away,Palmeiras,Mauricio,mauricio,Mauricio,M,18,174,5655,M,,986233,EUR,993168000,M,18,18,False,33.0,28.0,1.0,1.0,0.0,5.0,6.0,23.0,27.0,,2.0,,,,74.0,49.0,6.7,11.0,0.111524,2,,,,3.0,1.0,,5.0,2.0,1.0,,,,,,1.0,2.0,,0.1091,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,0.0086,,,,
13472696,away,Palmeiras,José López,jose-lopez,J. López,F,42,188,16738,M,,1094179,EUR,976060800,F,42,42,False,4.0,3.0,,,0.0,3.0,3.0,,1.0,,1.0,,,,45.0,17.0,6.7,6.0,0.00018448,2,,José López,,,,3.0,5.0,5.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,0.0545,,1.0,,3.0,,,1.0,,,1.0,,,,,
13472696,away,Palmeiras,Vitor Roque,vitor-roque,V. Roque,F,9,174,72751,M,VRoque,1150391,EUR,1109548800,F,9,9,True,8.0,4.0,,,0.0,,,4.0,8.0,,,,,,45.0,19.0,6.8,9.0,0.0304246,1,,Vitor Roque,,1.0,,,4.0,3.0,2.0,1.0,1.0,,,,1.0,3.0,,0.0839,2.0,1.0,,2.0,,,,,,,,,,,
13472696,away,Palmeiras,Paulinho,paulinho,Paulinho,F,10,175,11050,M,paulinho10,885179,EUR,963619200,F,10,10,True,19.0,15.0,2.0,2.0,0.0,2.0,4.0,13.0,15.0,,1.0,,,,45.0,26.0,6.6,9.0,0.0371278,0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
13472696,away,Palmeiras,Aníbal Moreno,anibal-moreno,A. Moreno,M,5,177,5203,M,,977677,EUR,926553600,M,5,5,True,20.0,18.0,4.0,2.0,0.0,7.0,7.0,11.0,13.0,,1.0,,,,27.0,23.0,6.7,3.0,0.0135513,1,,,,,,,1.0,2.0,,,1.0,,1.0,,,,,0.0214,,1.0,,1.0,,1.0,,,,,,,,,
13472696,away,Palmeiras,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181,3216,M,,331397,EUR,799718400,M,30,30,True,10.0,8.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,,,,,,27.0,15.0,6.9,5.0,0.00749887,1,,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,,0.0882,1.0,,,1.0,,,,,,,,,,,
13472696,away,Palmeiras,Allan,allan,Allan,F,40,175,4618,M,,1835889,EUR,1082332800,F,40,40,True,7.0,7.0,,,0.0,1.0,1.0,6.0,6.0,,1.0,,,,16.0,12.0,7.3,1.0,0.00628458,1,,Allan,,,,,1.0,,,,,,,,,,,0.0206,,,,,,,1.0,,1.0,,0.2241,1.0,,,
13472696,away,Palmeiras,Marcelo Lomba,marcelo-lomba,M. Lomba,G,14,187,2235,M,,34141,EUR,535248000,G,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Marcos Rocha,marcos-rocha,M. Rocha,D,14,176,2464,M,,82576,EUR,597801600,D,2,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Mayke,mayke,Mayke,D,12,178,2322,M,,273329,EUR,721353600,D,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Vanderlan,vanderlan,Vanderlan,D,6,183,1727,M,,1067640,EUR,1031356800,D,6,6,True,,,,,,,,,,,,,,,,,,,,0,,Vanderlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Kaiky Naves,kaiky-naves,K. Naves,D,4,186,1828,M,,1167068,EUR,1020816000,D,34,34,True,,,,,,,,,,,,,,,,,,,,0,,Kaiky Naves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Facundo Torres,facundo-torres,F. Torres,M,17,177,5945,M,,874572,EUR,955584000,F,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,away,Palmeiras,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6076,M,F_Andersoon,152276,EUR,734832000,M,7,7,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
