match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalCross,stat_challengeLost,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed
10438163,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,24.0,19.0,13.0,8.0,16.0,16.0,3.0,8.0,5.0,1.0,1.0,90.0,28.0,6.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438163,home,Vitória SC,André Amaro,andre-amaro,A. Amaro,D,13,185,207,M,1095752,EUR,1029196800,D,13,13,False,,52.0,48.0,8.0,6.0,31.0,32.0,17.0,20.0,4.0,,,90.0,61.0,7.0,7.0,1,André Amaro,,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,
10438163,home,Vitória SC,Ibrahima Bamba,ibrahima-bamba,I. Bamba,D,22,184,312,M,1131044,EUR,1019433600,D,22,22,False,,51.0,41.0,11.0,4.0,34.0,37.0,7.0,14.0,6.0,,,90.0,67.0,7.7,10.0,1,Ibrahima Bamba,,3.0,2.0,6.0,11.0,,,,1.0,,3.0,3.0,1.0,1.0,2.0,6.0,3.0,,,,,,,,,,,,,
10438163,home,Vitória SC,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192,343,M,836279,EUR,734745600,D,3,3,False,,73.0,64.0,11.0,9.0,34.0,38.0,30.0,35.0,6.0,,,90.0,81.0,7.4,9.0,0,,,1.0,2.0,2.0,4.0,,,,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,
10438163,home,Vitória SC,Miguel Maga,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,M,2,2,False,,45.0,35.0,4.0,2.0,7.0,10.0,28.0,39.0,7.0,,,90.0,72.0,6.9,17.0,0,Miguel Maga,,1.0,,4.0,3.0,,1.0,,,2.0,,2.0,,,2.0,3.0,2.0,,4.0,,,,,,,,,,,
10438163,home,Vitória SC,André André,andre-andre,A. André,M,11,174,123,M,59777,EUR,620092800,M,21,21,False,,29.0,27.0,1.0,1.0,16.0,16.0,11.0,13.0,5.0,,,64.0,37.0,6.9,5.0,1,,,,2.0,2.0,6.0,1.0,,1.0,,2.0,3.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,
10438163,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,48.0,42.0,9.0,7.0,19.0,20.0,25.0,34.0,6.0,,,87.0,61.0,7.4,11.0,1,,,,,2.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,,,,,2.0,6.0,,2.0,,,,,,,,,
10438163,home,Vitória SC,Helder Sá,helder-sa,H. Sá,D,28,184,56,M,1113073,EUR,1036886400,M,5,5,False,,47.0,37.0,1.0,1.0,12.0,16.0,25.0,34.0,6.0,,,90.0,81.0,6.3,18.0,1,Helder Sá,,,,9.0,5.0,1.0,5.0,,,,,4.0,,2.0,,3.0,3.0,,3.0,1.0,,2.0,1.0,,,,,,,
10438163,home,Vitória SC,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,False,,21.0,15.0,,,2.0,3.0,13.0,24.0,7.0,,,73.0,49.0,6.8,24.0,1,,,1.0,3.0,6.0,8.0,3.0,3.0,,,5.0,3.0,,,1.0,,1.0,,,6.0,,,1.0,1.0,1.0,,,,,,
10438163,home,Vitória SC,André Silva,andre-silva,A. Silva,F,17,181,2951,M,925072,EUR,865296000,F,17,17,False,,20.0,12.0,,,6.0,7.0,7.0,14.0,1.0,,,90.0,38.0,6.6,16.0,3,,,2.0,2.0,8.0,5.0,2.0,2.0,,1.0,4.0,2.0,3.0,1.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,
