match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,player_gender,stat_totalCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_outfielderBlock,stat_fouls,stat_aerialWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_keyPass,player_sofascoreId,captain,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goalAssist
10408563,home,Real Valladolid,Sergio Asenjo,,,sergio-asenjo,S. Asenjo,G,189,121,41011,EUR,614995200,G,25,25,False,32.0,24.0,15.0,7.0,21.0,24.0,3.0,8.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,38.0,5.8,8.0,0.0,0.0,0.0005964,0,-1.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408563,home,Real Valladolid,Luis Pérez,,,luis-perez,L. Pérez,D,173,199,843180,EUR,791856000,D,2,2,False,33.0,29.0,4.0,2.0,13.0,14.0,16.0,22.0,4.0,2.0,1.0,2.0,,,,,90.0,55.0,6.6,9.0,0.0,0.0,0.00791262,0,,2,M,3.0,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10408563,home,Real Valladolid,Joaquín Fernández,,,joaquin-fernandez,J. Fernández,D,190,92,822923,EUR,833500800,D,24,24,False,40.0,34.0,4.0,1.0,23.0,27.0,11.0,13.0,3.0,3.0,2.0,2.0,,,,,90.0,52.0,6.2,7.0,0.0,0.0,0.00372217,0,,24,M,,3.0,4.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408563,home,Real Valladolid,Jawad El Yamiq,,,jawad-el-yamiq,J. E. Yamiq,D,190,4375,877103,EUR,699321600,D,15,15,False,45.0,43.0,4.0,3.0,31.0,32.0,12.0,13.0,6.0,5.0,3.0,,,,,,90.0,63.0,7.3,3.0,0.0381,0.0,0.00511395,2,,18,M,,,,6.0,1.0,,1.0,,,,3.0,2.0,2.0,2.0,,,,,,,,,,,,
10408563,home,Real Valladolid,Sergio Escudero,,,sergio-escudero,S. Escudero,D,176,182,88859,EUR,620697600,D,18,18,False,32.0,23.0,3.0,,12.0,16.0,12.0,19.0,4.0,2.0,5.0,,,,,,80.0,50.0,6.2,16.0,0.1174,0.0859,0.0613403,1,,18,M,3.0,,6.0,,2.0,2.0,,,,,2.0,2.0,,,1.0,4.0,1.0,1.0,,,,,,,,
10408563,home,Real Valladolid,Monchu,,,monchu,Monchu,M,173,615,859774,EUR,937180800,M,8,8,False,46.0,38.0,6.0,1.0,20.0,24.0,20.0,26.0,6.0,2.0,8.0,1.0,,,,,89.0,67.0,6.9,13.0,0.0,0.0,0.231509,0,,6,M,4.0,1.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,,1.0,,,,2.0,2.0,,1.0,,,,,,,,
10408563,home,Real Valladolid,Gonzalo Plata,,,gonzalo-plata,G. Plata,M,178,20323,937937,EUR,973036800,M,11,11,False,16.0,13.0,,,9.0,9.0,4.0,7.0,4.0,,2.0,,,,,,56.0,30.0,6.4,7.0,0.0,0.0,0.00195184,0,,19,M,,2.0,8.0,2.0,1.0,,1.0,1.0,,2.0,,5.0,3.0,,,1.0,,,gonzaloplata,,,,,,,
10408563,home,Real Valladolid,Roque Mesa,,,roque-mesa,Roque,M,171,180,182243,EUR,613180800,M,17,17,False,28.0,22.0,6.0,3.0,12.0,16.0,10.0,12.0,4.0,,5.0,1.0,,,,,56.0,41.0,6.4,10.0,0.0216,0.1023,0.0199105,1,,,M,,1.0,8.0,,1.0,,,1.0,,1.0,,4.0,2.0,,,3.0,1.0,,,True,,,,,,
10408563,home,Real Valladolid,Álvaro Aguado,,,alvaro-aguado,Á. Aguado,M,174,148,916136,EUR,830908800,M,6,6,False,61.0,53.0,6.0,5.0,26.0,28.0,27.0,33.0,,1.0,3.0,,,,,,90.0,71.0,6.7,10.0,0.0,0.0,0.0346561,0,,,M,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,
10408563,home,Real Valladolid,Toni Villa,,,toni-villa,Toni,M,171,108,813523,EUR,789436800,M,19,19,False,18.0,12.0,,,3.0,6.0,9.0,17.0,4.0,,4.0,1.0,,,,,62.0,32.0,6.3,15.0,0.0,0.0,0.00468892,0,,19,M,5.0,,7.0,,2.0,1.0,1.0,1.0,,,,3.0,1.0,,,4.0,,1.0,,,,,,,,
