match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_aerialWon,stat_interceptionWon,player_firstName,captain,stat_dispossessed,stat_wonContest,stat_keyPass,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_totalOffside,player_lastName,stat_goodHighClaim,stat_punches,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated
11453095,home,Al-Riyadh,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200,G,25,25,False,34.0,26.0,20.0,12.0,21.0,25.0,5.0,9.0,2.0,8.0,4.0,8.0,2.0,2.0,90.0,46.0,9.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Khalid Bin Shuwayyi,khalid-bin-shuwayyi,K. B. Shuwayyi,D,75,176.0,10,M,893516,EUR,828921600,D,5,5,False,44.0,38.0,4.0,3.0,18.0,20.0,21.0,26.0,1.0,3.0,,,,,90.0,59.0,6.8,9.0,1,2.0,1.0,4.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Dino Arslanagić,dino-arslanagic,D. Arslanagić,D,,191.0,53,M,94280,EUR,735609600,D,36,36,False,49.0,47.0,5.0,4.0,35.0,35.0,12.0,14.0,6.0,2.0,,,,,90.0,58.0,7.3,2.0,0,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179.0,31,M,350060,EUR,690076800,D,29,29,False,71.0,65.0,10.0,7.0,50.0,51.0,15.0,20.0,12.0,4.0,,,,,90.0,90.0,7.6,7.0,0,,,4.0,3.0,,,,,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Abdulelah Al Khaibari,abdulelah-al-khaibari,A. A. Khaibari,D,80,174.0,142,M,1519328,EUR,864259200,D,8,8,False,67.0,53.0,4.0,,21.0,28.0,33.0,42.0,,7.0,,,,,90.0,101.0,7.1,24.0,0,3.0,1.0,7.0,7.0,1.0,5.0,,1.0,1.0,,3.0,2.0,1.0,1.0,,1.0,Abdulelah Al Khaibari,True,2.0,3.0,1.0,,,,,,,,,,
11453095,home,Al-Riyadh,Birama Touré,birama-toure,B. Touré,M,60,183.0,134,M,246507,EUR,707788800,M,60,60,False,59.0,56.0,8.0,7.0,34.0,35.0,22.0,24.0,1.0,5.0,,,,,89.0,67.0,6.9,3.0,0,,,3.0,4.0,1.0,1.0,,3.0,2.0,,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,
11453095,home,Al-Riyadh,Fahad Al-Reshedi,fahad-al-reshedi,F. Al-Reshedi,M,80,173.0,10,M,818573,EUR,676339200,M,80,80,False,32.0,28.0,6.0,4.0,15.0,15.0,13.0,17.0,3.0,4.0,,,,,68.0,39.0,7.0,4.0,0,,,1.0,2.0,,,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Yahia Al-Shehri,yahia-al-shehri,Y. A. Shehri,M,88,164.0,76,M,196396,EUR,646358400,M,88,88,False,64.0,55.0,3.0,3.0,20.0,24.0,35.0,43.0,1.0,6.0,,,,,90.0,75.0,6.9,15.0,1,3.0,,2.0,1.0,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,
11453095,home,Al-Riyadh,Didier N'Dong,didier-ndong,D. N'Dong,M,,179.0,1107,M,786029,EUR,771811200,M,20,20,False,53.0,47.0,2.0,,20.0,20.0,27.0,35.0,1.0,3.0,,,,,90.0,70.0,7.0,12.0,1,2.0,,3.0,9.0,,2.0,1.0,2.0,1.0,2.0,3.0,,,2.0,3.0,1.0,,,,1.0,,,,1.0,,,,,,,
11453095,home,Al-Riyadh,Abdullah Al-Dossari,abdullah-al-dossari,A. Al-Dossari,D,41,174.0,7,M,1525070,EUR,903052800,M,12,12,False,21.0,19.0,1.0,1.0,7.0,8.0,13.0,20.0,,2.0,,,,,68.0,32.0,6.6,10.0,0,7.0,1.0,4.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,Abdullah Al-Dossari,,1.0,,,,,,,,,,,,
11453095,home,Al-Riyadh,Saleh Al Abbas,saleh-al-abbas,S. A. Abbas,F,14,177.0,52,M,989766,EUR,797904000,F,14,14,False,8.0,4.0,,,1.0,2.0,3.0,6.0,,2.0,,,,,60.0,14.0,6.7,5.0,0,,,1.0,3.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Andre Gray,andre-gray,A. Gray,F,45,178.0,272,M,73951,EUR,677894400,F,9,9,True,6.0,5.0,,,1.0,1.0,4.0,5.0,,1.0,,,,,30.0,10.0,6.5,2.0,0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
11453095,home,Al-Riyadh,Abdulhadi Al-Harajin,abdulhadi-al-harajin,A. Al-Harajin,M,8,171.0,18,M,818887,EUR,785289600,M,15,15,True,15.0,13.0,1.0,1.0,4.0,4.0,9.0,12.0,,,,,,,22.0,19.0,6.9,3.0,0,1.0,,1.0,3.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,
11453095,home,Al-Riyadh,Juanmi,juanmi,Juanmi,F,7,169.0,641,M,96369,EUR,737856000,F,10,10,True,9.0,5.0,1.0,1.0,2.0,3.0,3.0,7.0,,,,,,,22.0,15.0,6.6,7.0,0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
