match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_totalClearance,stat_accurateCross,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_unsuccessfulTouch,stat_goalAssist,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_aerialWon,captain,stat_hitWoodwork,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded
11407480,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,23.0,23.0,2.0,2.0,23.0,23.0,4.0,1.0,90.0,26.0,6.9,6.391e-05,0,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407480,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5415,M,,906275,EUR,975456000,D,31,31,False,113.0,107.0,9.0,8.0,61.0,62.0,4.0,,90.0,126.0,8.3,0.278363,1,,46.0,52.0,1.0,2.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,0.0249,1.0,,,,,,,,,,,,,,,,,,,,,,
11407480,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,106.0,104.0,6.0,6.0,64.0,64.0,3.0,,90.0,112.0,7.4,0.00911239,0,,40.0,42.0,,,,,,,,,,1.0,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
11407480,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,71.0,68.0,6.0,5.0,34.0,34.0,3.0,,56.0,78.0,7.3,0.346997,0,,36.0,40.0,3.0,1.0,2.0,1.0,,,,,,,,,1.0,,4.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,
11407480,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,82.0,74.0,7.0,4.0,42.0,46.0,6.0,,90.0,96.0,7.2,0.0653991,0,,32.0,36.0,,,2.0,2.0,,,,,,,2.0,1.0,,,9.0,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
11407480,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,89.0,80.0,3.0,2.0,31.0,31.0,10.0,,90.0,103.0,7.1,0.16388,0,,49.0,59.0,1.0,1.0,7.0,4.0,1.0,3.0,1.0,,,,3.0,2.0,,,15.0,,1.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,
11407480,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,63.0,56.0,3.0,2.0,18.0,20.0,3.0,,71.0,78.0,8.2,0.0759464,3,,38.0,47.0,4.0,,4.0,1.0,,,,,1.0,2.0,,,1.0,,12.0,0.8362,2.0,,,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933,,,,,,,,,
11407480,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,43.0,40.0,3.0,3.0,9.0,10.0,7.0,,79.0,59.0,7.8,0.581722,2,,32.0,35.0,2.0,,3.0,4.0,,2.0,,1.0,1.0,,4.0,3.0,,,6.0,0.1068,1.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,
11407480,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,37.0,36.0,1.0,1.0,10.0,10.0,2.0,,71.0,63.0,7.9,0.635772,2,,29.0,42.0,15.0,,3.0,2.0,,1.0,1.0,1.0,,,1.0,,,,14.0,0.5774,3.0,,3.0,,,,3.0,1.0,,2.0,,1.0,,1.3064,1.0,,,,,,,,
11407480,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,21.0,19.0,,,1.0,1.0,1.0,,56.0,32.0,7.9,0.0449331,4,,18.0,21.0,1.0,,2.0,4.0,,2.0,1.0,,1.0,,1.0,,,,5.0,1.2304,,,,,,,1.0,1.0,,3.0,,1.0,,1.1022,,2.0,,,,,,,
