match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist
11352305,home,Burnley,James Trafford,,,james-trafford,J. Trafford,G,1,197,21722,M,980643,EUR,1034208000,G,1,1,False,33.0,29.0,6.0,2.0,27.0,28.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,90.0,38.0,6.4,4.0,0.00143277,0,-0.1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352305,home,Burnley,Vitinho,,,vitinho,Vitinho,D,2,175,3591,M,914477,EUR,932688000,D,22,22,False,47.0,37.0,3.0,,20.0,25.0,17.0,26.0,6.0,1.0,1.0,,,90.0,82.0,6.3,24.0,0.0202873,0,,4.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11352305,home,Burnley,Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,660,M,856719,EUR,920505600,D,2,2,False,99.0,77.0,10.0,2.0,52.0,57.0,26.0,43.0,6.0,7.0,,,,90.0,110.0,6.9,22.0,0.0621305,1,,1.0,1.0,4.0,2.0,,,,2.0,2.0,,,1.0,1.0,1.0,2.0,0.0767,0.2883,1.0,,,,,,,,,,,,
11352305,home,Burnley,Jordan Beyer,,,jordan-beyer,J. Beyer,D,36,187,325,M,927175,EUR,958694400,D,5,5,False,88.0,80.0,6.0,4.0,68.0,72.0,12.0,16.0,3.0,2.0,,,,86.0,97.0,6.2,9.0,0.00570184,1,,,1.0,1.0,2.0,,,,3.0,2.0,,1.0,,,,1.0,0.0648,,,1.0,1.0,1.0,,,,,,,,,
11352305,home,Burnley,Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,248,M,166381,EUR,748224000,D,3,3,False,67.0,58.0,12.0,5.0,33.0,36.0,26.0,36.0,3.0,2.0,,,,90.0,93.0,6.8,17.0,0.0543337,1,,5.0,2.0,1.0,5.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,0.0058,,2.0,,1.0,,1.0,,,,,,,,
11352305,home,Burnley,Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,451,M,49805,EUR,656985600,M,7,7,False,38.0,36.0,5.0,4.0,9.0,9.0,32.0,39.0,3.0,5.0,1.0,,,89.0,55.0,8.3,8.0,0.448974,3,,10.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,5.0,,1.0,0.2222,,5.0,1.0,2.0,,1.0,1.0,,,,,,,
11352305,home,Burnley,Sander Berge,,,sander-berge,S. Berge,M,16,195,2096,M,793167,EUR,887414400,M,16,16,False,70.0,65.0,3.0,3.0,38.0,38.0,27.0,32.0,6.0,2.0,3.0,,,90.0,78.0,7.1,5.0,0.0164558,0,,,4.0,3.0,4.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,
11352305,home,Burnley,Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,817,M,358394,EUR,819331200,M,8,8,False,60.0,53.0,5.0,3.0,22.0,25.0,31.0,40.0,6.0,6.0,2.0,,,90.0,73.0,7.3,12.0,0.0653382,1,,5.0,5.0,2.0,7.0,,1.0,1.0,,1.0,1.0,,2.0,,1.0,2.0,0.029,0.1358,2.0,,,,,,,True,,,,,
11352305,home,Burnley,Luca Koleosho,Luca Koleosho,,luca-koleosho,L. Koleosho,M,24,175,1584,M,1216282,EUR,1095206400,M,30,30,False,26.0,20.0,1.0,1.0,8.0,9.0,12.0,19.0,5.0,7.0,1.0,,,78.0,49.0,6.8,15.0,0.144864,4,,2.0,1.0,,7.0,1.0,6.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,0.1798,0.0313,1.0,,2.0,,,1.0,,,1.0,1.0,,,
11352305,home,Burnley,Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,305,M,26989,EUR,617673600,F,9,9,False,21.0,11.0,3.0,1.0,3.0,4.0,8.0,17.0,4.0,2.0,,,,90.0,33.0,6.8,12.0,0.0251626,3,,,3.0,1.0,4.0,,1.0,1.0,,2.0,1.0,2.0,1.0,,1.0,1.0,0.3875,0.045,1.0,,2.0,,,,,,1.0,1.0,,,
