match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_wonTackle,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_punches,stat_clearanceOffLine
10385365,home,Tottenham Hotspur,Hugo Lloris,hugo-lloris,H. Lloris,G,1,188,5077,M,LlorisH,9048,EUR,535939200,G,1,1,False,True,21.0,15.0,12.0,7.0,10.0,13.0,5.0,8.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,32.0,5.8,8.0,0.0,0.0,0.00105532,0,-1.014,,,,,,,,,,,,,,,,,,,,,,,,,,
10385365,home,Tottenham Hotspur,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,12158,M,DAVINSON,566102,EUR,834537600,D,6,6,False,,37.0,28.0,4.0,,20.0,26.0,9.0,12.0,4.0,5.0,5.0,5.0,,,,,,,,,81.0,50.0,6.6,10.0,0.0,0.0,0.0843618,0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
10385365,home,Tottenham Hotspur,Eric Dier,eric-dier,E. Dier,D,3,191,4317,M,ericdier,146101,EUR,758592000,D,15,15,False,,77.0,57.0,19.0,8.0,45.0,53.0,12.0,24.0,1.0,1.0,5.0,4.0,,,,,,,,,90.0,91.0,7.0,20.0,0.0513,0.0,0.00986548,1,,,,5.0,,,,9.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
10385365,home,Tottenham Hotspur,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,34,34,False,,55.0,48.0,5.0,3.0,36.0,38.0,12.0,18.0,1.0,5.0,3.0,6.0,,1.0,1.0,,,,,,81.0,64.0,6.7,10.0,0.1096,0.0,0.225191,1,,1.0,,2.0,,1.0,,,,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,
10385365,home,Tottenham Hotspur,Emerson Royal,emerson-royal,E. Royal,D,22,183,10057,M,emerson_royal,856123,EUR,916272000,M,12,12,False,,51.0,42.0,4.0,3.0,20.0,24.0,22.0,31.0,2.0,4.0,5.0,9.0,,2.0,1.0,,,,,,90.0,83.0,6.8,16.0,0.0,0.0,0.193682,0,,4.0,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,
10385365,home,Tottenham Hotspur,Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1315,M,,859901,EUR,969062400,M,4,4,False,,15.0,11.0,2.0,1.0,2.0,3.0,10.0,14.0,1.0,2.0,1.0,2.0,,,,,,,,,66.0,17.0,6.7,5.0,0.0,0.0,0.0551586,0,,2.0,1.0,1.0,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
10385365,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19170,M,YB8,844842,EUR,841363200,M,38,38,False,,53.0,49.0,2.0,,35.0,36.0,14.0,17.0,,4.0,2.0,6.0,,2.0,,,,,,,90.0,61.0,6.6,7.0,0.0285,0.0,0.00893377,1,,,,,1.0,,,,2.0,,,,1.0,,,,,3.0,,,1.0,1.0,,,,,
10385365,home,Tottenham Hotspur,Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8306,M,rodrigo_bentancur,791190,EUR,867196800,M,30,30,False,,57.0,46.0,3.0,2.0,32.0,35.0,14.0,22.0,1.0,4.0,12.0,7.0,,1.0,,,,,,,90.0,79.0,7.8,13.0,0.1184,0.0,0.202509,1,,,,2.0,1.0,4.0,4.0,,6.0,2.0,1.0,,4.0,,,2.0,,,,,,4.0,,,,,
10385365,home,Tottenham Hotspur,Ryan Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,178,1731,M,,836698,EUR,958608000,M,19,19,False,,21.0,13.0,2.0,1.0,8.0,15.0,7.0,9.0,1.0,4.0,3.0,4.0,,2.0,,,,,,,61.0,42.0,7.1,12.0,0.1613,0.0,0.352161,2,,3.0,2.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,,,,2.0,,,,,
10385365,home,Tottenham Hotspur,Harry Kane,harry-kane,H. Kane,F,9,188,297679,M,HurriKane,108579,EUR,743817600,F,10,10,False,,20.0,13.0,1.0,,4.0,4.0,9.0,16.0,1.0,4.0,7.0,2.0,,1.0,1.0,,,,,,90.0,42.0,7.9,13.0,0.6313,0.4265,0.285753,5,,,,4.0,1.0,4.0,2.0,1.0,,3.0,2.0,,,,,,1.0,,,,1.0,,2.0,1.0,,,
