match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_wonTackle,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,player_lastName,stat_accurateCross,stat_wasFouled,captain,stat_goals,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalOffside,player_sofascoreId
14053769,home,SC Heerenveen,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196.0,132,M,945955,EUR,878256000,G,31,31,False,31.0,22.0,14.0,6.0,0.0,19.0,25.0,3.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,36.0,5.6,9.0,0.00543455,63.629481820412,10.0,16.59,5.985,-0.0004,0,-0.5186,0.04,-0.01,-0.53,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053769,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174.0,214,M,1150061,EUR,1077321600,D,45,45,False,57.0,44.0,7.0,1.0,0.0,24.0,28.0,20.0,29.0,,6.0,,,,,90.0,78.0,5.6,17.0,0.0188802,157.41205357387,20.0,10.5,20.895,,1,,0.01,-0.18,-0.47,,Oliver Braude,2.0,4.0,2.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0421,25.937934555396,1.0,1.0,-0.15,,,,,,,,,,,,,,,,,,
14053769,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191.0,83,M,847072,EUR,886118400,D,4,4,False,93.0,88.0,7.0,5.0,0.0,51.0,51.0,37.0,42.0,1.0,9.0,,,,,90.0,101.0,6.5,6.0,0.0195477,221.4187326795,29.0,55.335,19.005,,0,,0.21,0.08,-0.27,,,,2.0,2.0,7.0,5.0,2.0,,,3.0,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
14053769,home,SC Heerenveen,Maas Willemsen,maas-willemsen,M. Willemsen,D,3,190.0,70,M,1132765,EUR,1051574400,D,3,3,False,88.0,80.0,8.0,3.0,0.0,43.0,46.0,37.0,42.0,2.0,8.0,,,,,90.0,98.0,7.1,8.0,0.0365363,363.47011596729,41.0,176.295,40.74,,1,,0.16,0.26,-0.17,,Maas Willemsen,,,3.0,2.0,6.0,,1.0,,2.0,,2.0,0.0411,60.008009149893,2.0,1.0,0.14,,2.0,1.0,1.0,1.0,0.3323,,,,,,,,,,,,
14053769,home,SC Heerenveen,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,227,M,1064426,EUR,988934400,D,19,19,False,22.0,20.0,,,0.0,9.0,10.0,11.0,12.0,1.0,2.0,,,,,76.0,43.0,6.2,9.0,0.151532,71.747026968205,8.0,44.205,15.96,,0,,0.11,0.11,-0.33,,,3.0,1.0,1.0,3.0,2.0,,,,1.0,4.0,1.0,,12.903165658086,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,
14053769,home,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186.0,207,M,1627623,EUR,1054512000,M,16,16,False,50.0,44.0,1.0,1.0,0.0,17.0,20.0,27.0,30.0,1.0,4.0,,,,,86.0,61.0,7.2,6.0,0.149223,197.66246649687,20.0,105.735,23.625,,0,,0.25,0.43,-0.04,,Marcus Linday,,,,4.0,5.0,1.0,1.0,,3.0,,3.0,,40.047134525812,2.0,3.0,,,3.0,1.0,,2.0,,,,1.0,,,,,,,,,
14053769,home,SC Heerenveen,Joris van Overeem,joris-van-overeem,J. v. Overeem,M,6,181.0,103,M,138842,EUR,770428800,M,6,6,False,82.0,69.0,14.0,6.0,1.0,20.0,24.0,49.0,58.0,,17.0,,,,,90.0,95.0,7.7,19.0,0.153766,211.93766238231,31.0,44.52,19.32,,0,,0.54,0.26,-0.04,,,3.0,,,3.0,4.0,,2.0,,1.0,1.0,,,19.346906729501,1.0,4.0,,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,,
14053769,home,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,20,178.0,432,M,1015627,EUR,975196800,M,20,20,False,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,,2.0,,,,,13.0,9.0,6.5,2.0,0.00530672,17.734923124876,2.0,4.935,7.98,,0,,-0.19,0.11,0.13,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
14053769,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180.0,141,M,794014,EUR,894153600,M,8,8,False,38.0,34.0,1.0,1.0,0.0,12.0,12.0,22.0,26.0,,2.0,,,,,90.0,53.0,7.9,7.0,0.134069,105.93146309168,11.0,27.51,22.155,,2,,0.37,0.14,-0.07,,,,,1.0,2.0,2.0,,,,1.0,3.0,2.0,0.1921,48.202861237327,2.0,1.0,0.5,,,,2.0,1.0,0.672,,,,True,1.0,,,,,,,
14053769,home,SC Heerenveen,Ringo Meerveld,ringo-meerveld,R. Meerveld,M,10,177.0,424,M,992018,EUR,1040428800,M,10,10,False,36.0,26.0,5.0,3.0,1.0,13.0,15.0,13.0,21.0,,9.0,,,,,75.0,51.0,7.5,16.0,0.367204,262.02609246689,20.0,60.9,21.735,,1,,0.32,0.42,-0.09,,,,,1.0,3.0,4.0,,1.0,1.0,3.0,3.0,,0.0271,124.03018490515,8.0,2.0,-0.09,2.0,2.0,,,1.0,,,,,,,1.0,,,,,,
