match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,from,confirmed
13637082,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
13637082,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
13637082,,,,,84,,,7,,,substitution,,123758641.0,False,True,regular,,,,,,,
13637082,,,,,84,,,7,,,substitution,,123758642.0,False,False,regular,,,,,,,
13637082,,,,,83,,,8,,,substitution,,123758640.0,False,True,regular,,,,,,,
13637082,,3.0,0.0,,77,,,14,,,goal,,274679111.0,,True,regular,41789.0,Robert Lewandowski,,,,,
13637082,,,,,68,,,23,,,substitution,,123758615.0,False,True,regular,,,,,,,
13637082,,,,,61,,,30,,,substitution,,123758603.0,False,False,regular,,,,,,,
13637082,,,,,61,,,30,,,substitution,,123758602.0,False,False,regular,,,,,,,
13637082,,,,,50,,,41,,,card,,123255967.0,,False,yellow,897902.0,Juan Cruz,Juan Cruz,Off the ball foul,False,,
13637082,,,,,46,,,45,,,substitution,,123758556.0,False,False,regular,,,,,,,
13637082,,,,,46,,,45,,,substitution,,123758555.0,False,True,regular,,,,,,,
13637082,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
13637082,,,,,45,0.0,,1,,,injuryTime,5.0,,,,,,,,,,,
13637082,,,,,40,,,6,,,card,,123255918.0,,True,yellow,876214.0,Eric García,Eric García,Foul,False,,
13637082,,,,,38,,,8,,,card,,123255916.0,,False,yellow,900792.0,Alejandro Catena,Alejandro Catena,Foul,False,,
13637082,,,,,34,,,12,,,substitution,,123758488.0,True,False,injury,,,,,,,
13637082,,,,,28,,,18,,,substitution,,123758482.0,True,True,injury,,,,,,,
13637082,,2.0,0.0,,21,,,25,,,goal,,274600269.0,,True,penalty,789071.0,Dani Olmo,,,,penalty,
13637082,,,,,20,,,26,,,varDecision,,32294.0,,True,review,789071.0,Dani Olmo,,,,,False
13637082,,,,,18,,,28,,,card,,123255892.0,,False,yellow,294377.0,Sergio Herrera,Sergio Herrera,Foul,False,,
13637082,,1.0,0.0,,11,,,35,,,goal,,274590063.0,,True,regular,855833.0,Ferran Torres,,,,,
