match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_sofascoreId,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_outfielderBlock,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,captain,stat_savedShotsFromInsideTheBox,stat_punches,stat_ownGoals,stat_hitWoodwork,stat_goals
11369351,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,21.0,12.0,11.0,2.0,10.0,10.0,2.0,11.0,6.0,1.0,90.0,26.0,6.4,9.0,0.0,0.0,0.00567958,0,0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,D,2,2,False,27.0,18.0,2.0,1.0,6.0,10.0,12.0,19.0,6.0,,90.0,49.0,7.2,11.0,0.0411,0.1013,0.0162193,1,,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Abdelkabir Abqar,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,35.0,29.0,9.0,5.0,21.0,23.0,8.0,12.0,6.0,,90.0,45.0,6.8,7.0,0.0,0.0,0.00345555,0,,,,,1.0,3.0,1.0,,4.0,1.0,,,1.0,abdel.abqar,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Aleksandar Sedlar,aleksandar-sedlar,A. Sedlar,D,4,180.0,222,M,799195,EUR,692582400,D,4,4,False,42.0,37.0,7.0,3.0,28.0,30.0,9.0,12.0,6.0,,90.0,53.0,6.7,5.0,0.0,0.0,0.00294437,0,,,,,3.0,2.0,,,5.0,2.0,,,1.0,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Javi López,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,23.0,18.0,4.0,2.0,7.0,9.0,12.0,19.0,5.0,,86.0,45.0,6.7,12.0,0.0,0.0,0.0822989,0,,5.0,,,3.0,4.0,2.0,,1.0,1.0,,,1.0,,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,29.0,23.0,,,6.0,8.0,18.0,23.0,7.0,,90.0,43.0,7.0,9.0,0.0,0.0,0.217424,0,,2.0,2.0,1.0,4.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Ander Guevara,ander-guevara,A. Guevara,M,6,180.0,265,M,891931,EUR,868233600,M,6,6,False,53.0,37.0,2.0,1.0,15.0,22.0,22.0,31.0,7.0,,90.0,65.0,6.9,17.0,0.0,0.0,0.0188634,0,,,1.0,1.0,8.0,7.0,4.0,,1.0,,4.0,2.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Álex Sola,alex-sola,Á. Sola,M,7,178.0,195,M,966836,EUR,928886400,M,7,7,False,13.0,9.0,2.0,,,2.0,11.0,14.0,4.0,,73.0,27.0,6.5,10.0,0.2763,0.0,0.0280102,2,,3.0,1.0,,4.0,3.0,1.0,,,,,,1.0,,3.0,2.0,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,
11369351,home,Deportivo Alavés,Ianis Hagi,ianis-hagi,I. Hagi,M,14,180.0,7098,M,756344,EUR,909014400,M,10,10,False,29.0,25.0,2.0,2.0,4.0,4.0,23.0,29.0,1.0,,73.0,45.0,7.4,8.0,0.0746,0.0,0.343909,1,,4.0,1.0,,5.0,1.0,3.0,,,,,,,ianishagi,2.0,1.0,,1.0,4.0,2.0,,,,,,1.0,,,1.0,,,,,,
11369351,home,Deportivo Alavés,Luis Rioja,luis-rioja,L. Rioja,M,11,173.0,860,M,900433,EUR,750729600,M,11,11,False,29.0,19.0,3.0,,6.0,10.0,14.0,23.0,10.0,,86.0,50.0,7.3,17.0,0.1511,0.8922,0.123627,4,,4.0,,,3.0,2.0,,3.0,1.0,2.0,1.0,,,,3.0,1.0,,2.0,2.0,1.0,,,,,,1.0,,,,True,,,,,
11369351,home,Deportivo Alavés,Kike García,kike-garcia,K. García,F,19,186.0,1005,M,84972,EUR,627955200,F,15,15,False,11.0,7.0,2.0,1.0,3.0,3.0,4.0,8.0,4.0,,77.0,31.0,6.7,11.0,0.6865,0.5077,0.00851962,5,,,,2.0,3.0,5.0,,1.0,1.0,,,,2.0,,1.0,1.0,5.0,1.0,,,2.0,,,,2.0,3.0,1.0,,,,,,,,
11369351,home,Deportivo Alavés,Xeber Alkain,xeber-alkain,X. Alkain,M,7,174.0,53,M,1010409,EUR,867283200,F,17,17,True,8.0,5.0,,,,2.0,6.0,7.0,1.0,,17.0,13.0,6.9,3.0,0.0966,0.0,0.00445501,1,,1.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,
11369351,home,Deportivo Alavés,Carlos Benavídez,carlos-benavidez,C. Benavídez,M,23,185.0,382,M,873717,EUR,891216000,M,23,23,True,10.0,7.0,2.0,,3.0,4.0,4.0,6.0,,,17.0,12.0,6.6,4.0,0.0,0.0,0.00326733,0,,,,1.0,,2.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Samu Aghehowa,omorodion-samuel,S. Aghehowa,F,9,193.0,14784,M,1503836,EUR,1083715200,F,32,32,True,5.0,3.0,,,1.0,1.0,2.0,4.0,1.0,,13.0,9.0,6.4,4.0,0.0236,0.0,0.00297542,1,,,,,2.0,,,,,,,,,samuaghehowa9,1.0,,1.0,1.0,,,,,Samuel,Aghehowa,,1.0,,,,,,,,,
11369351,home,Deportivo Alavés,Rubén Duarte,ruben-duarte,R. Duarte,D,5,180.0,322,M,253415,EUR,813974400,D,3,3,True,1.0,1.0,,,,,1.0,2.0,1.0,,11.0,4.0,6.5,1.0,0.0,0.0,0.00013912,0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Abderrahman Rebbach,abderrahman-rebbach,A. Rebbach,M,21,176.0,1315,M,1082968,EUR,902793600,F,21,21,True,2.0,1.0,1.0,,,,1.0,3.0,,,11.0,6.0,6.7,3.0,0.0,0.0,0.00296847,0,,1.0,,2.0,,3.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Jesús Owono,jesus-owono,J. Owono,G,13,183.0,434,M,990659,EUR,983404800,G,31,31,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369351,home,Deportivo Alavés,Ruben Montero,montero-ruben,R. Montero,G,33,,14,M,1561798,EUR,1125187200,G,43,43,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,Rúben Montero,,,,,,,,,,,,
